type,start_point,end_point,hex_code,d_code
gap,00401000,00401006,"['C7', '01', '58', '42', '40', '00']","['None', 'None', 'None', 'sub_401000 proc near  ', 'mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@  ']"
entry,00401006,0040100C,"['FF', '25', 'FC', '40', '40', '00']","['jmp ds:??1exception@std@@UAE@XZ  ', 'sub_401000 endp ', 'None', 'None']"
entry,0040100C,00401010,"['CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401010,00401011,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_401010 proc near  ', 'None', 'arg_0 = byte ptr 8 ', 'None', 'push ebp ']"
entry,00401011,00401013,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401013,00401014,['56'],['push esi ']
entry,00401014,00401016,"['8B', 'F1']","['mov esi, ecx ']"
entry,00401016,0040101C,"['C7', '06', '58', '42', '40', '00']","['mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ']"
entry,0040101C,00401022,"['FF', '15', 'FC', '40', '40', '00']",['call ds:??1exception@std@@UAE@XZ  ']
entry,00401022,00401026,"['F6', '45', '08', '01']","['test [ebp+arg_0], 1 ']"
entry,00401026,00401028,"['74', '0A']",['jz short loc_401032 ']
entry,00401028,00401029,['56'],['push esi ']
entry,00401029,0040102F,"['FF', '15', 'E0', '40', '40', '00']",['call ds:__imp_??3@YAXPAX@Z  ']
entry,0040102F,00401032,"['83', 'C4', '04']","['add esp, 4 ']"
gap,00401032,00401034,"['8B', 'C6']","['None', 'loc_401032:  ', 'mov eax, esi ']"
entry,00401034,00401035,['5E'],['pop esi ']
entry,00401035,00401036,['5D'],['pop ebp ']
entry,00401036,00401039,"['C2', '04', '00']","['retn 4 ', 'sub_401010 endp ', 'None', 'None']"
entry,00401039,00401040,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401040,00401041,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_401040 proc near  ', 'None', 'None', 'arg_0 = dword ptr 8 ', 'arg_4 = dword ptr 0Ch ', 'arg_8 = dword ptr 10h ', 'None', 'push ebp ']"
entry,00401041,00401043,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401043,00401046,"['8B', '4D', '10']","['mov ecx, [ebp+arg_8] ']"
entry,00401046,00401047,['53'],['push ebx ']
entry,00401047,0040104A,"['8B', '5D', '08']","['mov ebx, [ebp+arg_0] ']"
entry,0040104A,0040104C,"['8B', 'C3']","['mov eax, ebx ']"
entry,0040104C,00401052,"['69', 'C0', '71', '17', '00', '00']","['imul eax, 1771h ']"
entry,00401052,00401055,"['03', '45', '0C']","['add eax, [ebp+arg_4] ']"
entry,00401055,00401056,['56'],['push esi ']
entry,00401056,00401058,"['03', 'C0']","['add eax, eax ']"
entry,00401058,0040105A,"['03', 'C0']","['add eax, eax ']"
entry,0040105A,0040105B,['57'],['push edi ']
entry,0040105B,00401061,"['8B', '3D', '64', '29', '42', '00']","['mov edi, dword_422964 ']"
entry,00401061,00401067,"['89', '88', 'C0', 'C4', '6E', '11']","['mov dword_116EC4C0[eax], ecx ']"
entry,00401067,0040106D,"['89', 'B8', '70', '29', '42', '00']","['mov dword_422970[eax], edi ']"
entry,0040106D,0040106F,"['33', 'F6']","['xor esi, esi ']"
entry,0040106F,00401070,['90'],['nop ']
gap,00401070,00401076,"['8B', '96', '84', '41', '40', '00']","['None', 'loc_401070:  ', 'mov edx, ds:dword_404184[esi] ']"
entry,00401076,0040107C,"['8B', '86', '6C', '41', '40', '00']","['mov eax, ds:dword_40416C[esi] ']"
entry,0040107C,0040107F,"['03', '55', '0C']","['add edx, [ebp+arg_4] ']"
entry,0040107F,00401081,"['03', 'C3']","['add eax, ebx ']"
entry,00401081,00401083,"['78', '46']",['js short loc_4010C9 ']
entry,00401083,00401085,"['85', 'D2']","['test edx, edx ']"
entry,00401085,00401087,"['78', '42']",['js short loc_4010C9 ']
entry,00401087,0040108D,"['8B', '0D', '68', '29', '42', '00']","['mov ecx, dword_422968 ']"
entry,0040108D,0040108F,"['03', 'C9']","['add ecx, ecx ']"
entry,0040108F,00401091,"['3B', 'C1']","['cmp eax, ecx ']"
entry,00401091,00401093,"['7F', '36']",['jg short loc_4010C9 ']
entry,00401093,00401095,"['3B', 'D1']","['cmp edx, ecx ']"
entry,00401095,00401097,"['7F', '32']",['jg short loc_4010C9 ']
entry,00401097,00401099,"['8B', 'C8']","['mov ecx, eax ']"
entry,00401099,0040109F,"['69', 'C9', '71', '17', '00', '00']","['imul ecx, 1771h ']"
entry,0040109F,004010A1,"['03', 'CA']","['add ecx, edx ']"
entry,004010A1,004010A3,"['03', 'C9']","['add ecx, ecx ']"
entry,004010A3,004010A5,"['03', 'C9']","['add ecx, ecx ']"
entry,004010A5,004010AB,"['39', 'B9', '70', '29', '42', '00']","['cmp dword_422970[ecx], edi ']"
entry,004010AB,004010AD,"['74', '1C']",['jz short loc_4010C9 ']
entry,004010AD,004010B3,"['39', 'B9', 'F8', '28', 'D8', '08']","['cmp dword_8D828F8[ecx], edi ']"
entry,004010B3,004010B5,"['74', '14']",['jz short loc_4010C9 ']
entry,004010B5,004010B8,"['8B', '4D', '10']","['mov ecx, [ebp+arg_8] ']"
entry,004010B8,004010B9,['51'],['push ecx ']
entry,004010B9,004010BA,['52'],['push edx ']
entry,004010BA,004010BB,['50'],['push eax ']
entry,004010BB,004010C0,"['E8', '80', 'FF', 'FF', 'FF']",['call sub_401040 ']
entry,004010C0,004010C6,"['8B', '3D', '64', '29', '42', '00']","['mov edi, dword_422964 ']"
entry,004010C6,004010C9,"['83', 'C4', '0C']","['add esp, 0Ch ']"
gap,004010C9,004010CC,"['83', 'C6', '04']","['None', 'loc_4010C9:  ', 'None', 'add esi, 4 ']"
entry,004010CC,004010CF,"['83', 'FE', '18']","['cmp esi, 18h ']"
entry,004010CF,004010D1,"['7C', '9F']",['jl short loc_401070 ']
entry,004010D1,004010D2,['5F'],['pop edi ']
entry,004010D2,004010D3,['5E'],['pop esi ']
entry,004010D3,004010D5,"['33', 'C0']","['xor eax, eax ']"
entry,004010D5,004010D6,['5B'],['pop ebx ']
entry,004010D6,004010D7,['5D'],['pop ebp ']
entry,004010D7,004010D8,['C3'],"['retn ', 'sub_401040 endp ', 'None', 'None']"
entry,004010D8,004010E0,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,004010E0,004010E1,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_4010E0 proc near  ', 'None', 'None', 'arg_0 = dword ptr 8 ', 'None', 'push ebp ']"
