type,start_point,end_point,hex_code,d_code
gap,00401000,00401001,['55'],"['None', 'None', 'None', 'None', 'None', '_main proc near  ', 'None', 'var_4 = dword ptr -4 ', 'argc = dword ptr 8 ', 'argv = dword ptr 0Ch ', 'envp = dword ptr 10h ', 'None', 'push ebp ']"
entry,00401001,00401003,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401003,00401004,['51'],['push ecx ']
entry,00401004,00401005,['56'],['push esi ']
entry,00401005,00401008,"['8D', '45', 'FC']","['lea eax, [ebp+var_4] ']"
entry,00401008,00401009,['50'],['push eax ']
entry,00401009,0040100E,"['68', 'A0', 'A7', '41', '00']",['push offset Format  ']
entry,0040100E,00401014,"['FF', '15', 'AC', '20', '40', '00']",['call ds:scanf ']
entry,00401014,00401019,"['BE', '01', '00', '00', '00']","['mov esi, 1 ']"
entry,00401019,0040101C,"['83', 'C4', '08']","['add esp, 8 ']"
entry,0040101C,0040101F,"['39', '75', 'FC']","['cmp [ebp+var_4], esi ']"
entry,0040101F,00401025,"['0F', '8C', '8B', '00', '00', '00']",['jl loc_4010B0 ']
entry,00401025,00401026,['53'],['push ebx ']
entry,00401026,0040102C,"['8B', '1D', 'A4', '20', '40', '00']","['mov ebx, ds:__iob_func ']"
entry,0040102C,0040102D,['57'],['push edi ']
entry,0040102D,00401033,"['8B', '3D', 'A0', '20', '40', '00']","['mov edi, ds:fgets ']"
gap,00401033,00401035,"['FF', 'D3']","['None', 'loc_401033:  ', 'call ebx  ']"
entry,00401035,00401036,['50'],['push eax  ']
entry,00401036,0040103B,"['68', 'A5', '86', '01', '00']",['push 186A5h  ']
entry,0040103B,00401040,"['68', '78', 'B3', '41', '00']",['push offset Buf  ']
entry,00401040,00401042,"['FF', 'D7']",['call edi  ']
entry,00401042,00401047,"['B8', '78', 'B3', '41', '00']","['mov eax, offset Buf ']"
entry,00401047,0040104A,"['83', 'C4', '0C']","['add esp, 0Ch ']"
entry,0040104A,0040104D,"['8D', '50', '01']","['lea edx, [eax+1] ']"
entry,0040104D,00401050,"['8D', '49', '00']","['lea ecx, [ecx+0] ']"
gap,00401050,00401052,"['8A', '08']","['None', 'loc_401050:  ', 'mov cl, [eax] ']"
entry,00401052,00401053,['40'],['inc eax ']
entry,00401053,00401055,"['84', 'C9']","['test cl, cl ']"
entry,00401055,00401057,"['75', 'F9']",['jnz short loc_401050 ']
entry,00401057,00401059,"['2B', 'C2']","['sub eax, edx ']"
entry,00401059,0040105B,"['8B', 'D0']","['mov edx, eax ']"
entry,0040105B,0040105D,"['33', 'C0']","['xor eax, eax ']"
entry,0040105D,00401063,"['89', '15', '70', 'B3', '41', '00']","['mov dword_41B370, edx ']"
entry,00401063,00401065,"['85', 'D2']","['test edx, edx ']"
entry,00401065,00401067,"['7E', '2D']",['jle short loc_401094 ']
entry,00401067,00401069,"['EB', '07']","['jmp short loc_401070 ', 'None']"
entry,00401069,00401070,"['8D', 'A4', '24', '00', '00', '00', '00']",['align 10h ']
gap,00401070,00401076,"['8A', '88', '78', 'B3', '41', '00']","['None', 'loc_401070:  ', 'None', 'mov cl, Buf[eax] ']"
entry,00401076,00401079,"['80', 'F9', '61']","['cmp cl, 61h  ']"
entry,00401079,0040107B,"['7C', '14']",['jl short loc_40108F ']
entry,0040107B,0040107E,"['80', 'F9', '7A']","['cmp cl, 7Ah  ']"
entry,0040107E,00401080,"['7F', '0F']",['jg short loc_40108F ']
entry,00401080,00401083,"['0F', 'BE', 'C9']","['movsx ecx, cl ']"
entry,00401083,00401089,"['8A', '89', '97', '20', '40', '00']","['mov cl, byte ptr ds:(__getmainargs+3)[ecx] ']"
entry,00401089,0040108F,"['88', '88', '78', 'B3', '41', '00']","['mov Buf[eax], cl ']"
gap,0040108F,00401090,['40'],"['None', 'loc_40108F:  ', 'None', 'inc eax ']"
entry,00401090,00401092,"['3B', 'C2']","['cmp eax, edx ']"
entry,00401092,00401094,"['7C', 'DC']",['jl short loc_401070 ']
gap,00401094,00401099,"['68', '78', 'B3', '41', '00']","['None', 'loc_401094:  ', 'push offset Buf ']"
entry,00401099,0040109A,['56'],['push esi ']
entry,0040109A,0040109F,"['68', 'A8', 'A7', '41', '00']",['push offset aCaseDS  ']
entry,0040109F,004010A5,"['FF', '15', '9C', '20', '40', '00']",['call ds:printf ']
entry,004010A5,004010A6,['46'],['inc esi ']
entry,004010A6,004010A9,"['83', 'C4', '0C']","['add esp, 0Ch ']"
entry,004010A9,004010AC,"['3B', '75', 'FC']","['cmp esi, [ebp+var_4] ']"
entry,004010AC,004010AE,"['7E', '85']",['jle short loc_401033 ']
entry,004010AE,004010AF,['5F'],['pop edi ']
entry,004010AF,004010B0,['5B'],['pop ebx ']
gap,004010B0,004010B2,"['33', 'C0']","['None', 'loc_4010B0:  ', 'xor eax, eax ']"
entry,004010B2,004010B3,['5E'],['pop esi ']
