type,start_point,end_point,hex_code,d_code
gap,0000000100000880,0000000100000881,['55'],"['None', 'None', 'None', 'None', 'None', 'public __Z2l1ii ', '__Z2l1ii proc near  ', 'None', 'var_A = byte ptr -0Ah ', 'var_9 = byte ptr -9 ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'None', 'push rbp ']"
entry,0000000100000881,0000000100000884,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000100000884,0000000100000886,"['B0', '01']","['mov al, 1 ']"
entry,0000000100000886,000000010000088D,"['48', '8D', '0D', '13', '49', '00', '00']","['lea rcx, _x ']"
entry,000000010000088D,0000000100000892,"['BA', '64', '00', '00', '00']","['mov edx, 64h  ']"
entry,0000000100000892,0000000100000899,"['4C', '8D', '05', 'A7', '58', '00', '00']","['lea r8, _y ']"
entry,0000000100000899,000000010000089C,"['89', '7D', 'FC']","['mov [rbp+var_4], edi ']"
entry,000000010000089C,000000010000089F,"['89', '75', 'F8']","['mov [rbp+var_8], esi ']"
entry,000000010000089F,00000001000008A3,"['4C', '63', '4D', 'FC']","['movsxd r9, [rbp+var_4] ']"
entry,00000001000008A3,00000001000008AB,"['42', '69', '34', '89', '64', '00', '00', '00']","['imul esi, [rcx+r9*4], 64h  ']"
entry,00000001000008AB,00000001000008AF,"['4C', '63', '4D', 'FC']","['movsxd r9, [rbp+var_4] ']"
entry,00000001000008AF,00000001000008B1,"['89', 'D7']","['mov edi, edx ']"
entry,00000001000008B1,00000001000008B5,"['43', '2B', '3C', '88']","['sub edi, [r8+r9*4] ']"
entry,00000001000008B5,00000001000008B9,"['4C', '63', '4D', 'F8']","['movsxd r9, [rbp+var_8] ']"
entry,00000001000008B9,00000001000008BE,"['42', '0F', 'AF', '3C', '89']","['imul edi, [rcx+r9*4] ']"
entry,00000001000008BE,00000001000008C0,"['01', 'FE']","['add esi, edi ']"
entry,00000001000008C0,00000001000008C4,"['4C', '63', '4D', 'F8']","['movsxd r9, [rbp+var_8] ']"
entry,00000001000008C4,00000001000008CC,"['42', '69', '3C', '89', '64', '00', '00', '00']","['imul edi, [rcx+r9*4], 64h  ']"
entry,00000001000008CC,00000001000008D0,"['4C', '63', '4D', 'F8']","['movsxd r9, [rbp+var_8] ']"
entry,00000001000008D0,00000001000008D4,"['43', '2B', '14', '88']","['sub edx, [r8+r9*4] ']"
entry,00000001000008D4,00000001000008D8,"['4C', '63', '45', 'FC']","['movsxd r8, [rbp+var_4] ']"
entry,00000001000008D8,00000001000008DD,"['42', '0F', 'AF', '14', '81']","['imul edx, [rcx+r8*4] ']"
entry,00000001000008DD,00000001000008DF,"['01', 'D7']","['add edi, edx ']"
entry,00000001000008DF,00000001000008E1,"['39', 'FE']","['cmp esi, edi ']"
entry,00000001000008E1,00000001000008E4,"['88', '45', 'F7']","['mov [rbp+var_9], al ']"
entry,00000001000008E4,00000001000008EA,"['0F', '8C', '74', '00', '00', '00']",['jl loc_10000095E ']
entry,00000001000008EA,00000001000008EC,"['B0', '00']","['mov al, 0 ']"
entry,00000001000008EC,00000001000008F3,"['48', '8D', '0D', 'AD', '48', '00', '00']","['lea rcx, _x ']"
entry,00000001000008F3,00000001000008F8,"['BA', '64', '00', '00', '00']","['mov edx, 64h  ']"
entry,00000001000008F8,00000001000008FF,"['48', '8D', '35', '41', '58', '00', '00']","['lea rsi, _y ']"
entry,00000001000008FF,0000000100000903,"['48', '63', '7D', 'FC']","['movsxd rdi, [rbp+var_4] ']"
entry,0000000100000903,000000010000090B,"['44', '69', '04', 'B9', '64', '00', '00', '00']","['imul r8d, [rcx+rdi*4], 64h  ']"
entry,000000010000090B,000000010000090F,"['48', '63', '7D', 'FC']","['movsxd rdi, [rbp+var_4] ']"
entry,000000010000090F,0000000100000912,"['41', '89', 'D1']","['mov r9d, edx ']"
entry,0000000100000912,0000000100000916,"['44', '2B', '0C', 'BE']","['sub r9d, [rsi+rdi*4] ']"
entry,0000000100000916,000000010000091A,"['48', '63', '7D', 'F8']","['movsxd rdi, [rbp+var_8] ']"
entry,000000010000091A,000000010000091F,"['44', '0F', 'AF', '0C', 'B9']","['imul r9d, [rcx+rdi*4] ']"
entry,000000010000091F,0000000100000922,"['45', '01', 'C8']","['add r8d, r9d ']"
entry,0000000100000922,0000000100000926,"['48', '63', '7D', 'F8']","['movsxd rdi, [rbp+var_8] ']"
entry,0000000100000926,000000010000092E,"['44', '69', '0C', 'B9', '64', '00', '00', '00']","['imul r9d, [rcx+rdi*4], 64h  ']"
entry,000000010000092E,0000000100000932,"['48', '63', '7D', 'F8']","['movsxd rdi, [rbp+var_8] ']"
entry,0000000100000932,0000000100000935,"['2B', '14', 'BE']","['sub edx, [rsi+rdi*4] ']"
entry,0000000100000935,0000000100000939,"['48', '63', '75', 'FC']","['movsxd rsi, [rbp+var_4] ']"
entry,0000000100000939,000000010000093D,"['0F', 'AF', '14', 'B1']","['imul edx, [rcx+rsi*4] ']"
entry,000000010000093D,0000000100000940,"['41', '01', 'D1']","['add r9d, edx ']"
entry,0000000100000940,0000000100000943,"['45', '39', 'C8']","['cmp r8d, r9d ']"
entry,0000000100000943,0000000100000946,"['88', '45', 'F6']","['mov [rbp+var_A], al ']"
entry,0000000100000946,000000010000094C,"['0F', '85', '0C', '00', '00', '00']",['jnz loc_100000958 ']
entry,000000010000094C,000000010000094F,"['8B', '45', 'FC']","['mov eax, [rbp+var_4] ']"
entry,000000010000094F,0000000100000952,"['3B', '45', 'F8']","['cmp eax, [rbp+var_8] ']"
entry,0000000100000952,0000000100000955,"['0F', '9C', 'C1']",['setl cl ']
