type,start_point,end_point,hex_code,d_code
gap,0000000100001450,0000000100001451,['55'],"['None', 'None', 'None', 'None', 'None', 'public __Z1Fii ', '__Z1Fii proc near  ', 'None', 'None', 'var_24 = dword ptr -24h ', 'var_20 = dword ptr -20h ', 'var_1C = dword ptr -1Ch ', 'var_18 = dword ptr -18h ', 'var_14 = dword ptr -14h ', 'var_10 = dword ptr -10h ', 'var_C = dword ptr -0Ch ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'None', 'push rbp ']"
entry,0000000100001451,0000000100001454,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000100001454,0000000100001458,"['48', '83', 'EC', '30']","['sub rsp, 30h ']"
entry,0000000100001458,000000010000145F,"['48', '8D', '05', '71', '0D', '00', '00']","['lea rax, _FF ']"
entry,000000010000145F,0000000100001462,"['89', '7D', 'F8']","['mov [rbp+var_8], edi ']"
entry,0000000100001462,0000000100001465,"['89', '75', 'F4']","['mov [rbp+var_C], esi ']"
entry,0000000100001465,0000000100001469,"['48', '63', '4D', 'F4']","['movsxd rcx, [rbp+var_C] ']"
entry,0000000100001469,000000010000146D,"['48', '63', '55', 'F8']","['movsxd rdx, [rbp+var_8] ']"
entry,000000010000146D,0000000100001474,"['48', '69', 'D2', '80', '1A', '06', '00']","['imul rdx, 61A80h ']"
entry,0000000100001474,0000000100001477,"['48', '01', 'D0']","['add rax, rdx ']"
entry,0000000100001477,000000010000147E,"['81', '3C', '88', 'FF', 'FF', 'FF', 'FF']","['cmp dword ptr [rax+rcx*4], 0FFFFFFFFh ']"
entry,000000010000147E,0000000100001484,"['0F', '85', '61', '01', '00', '00']",['jnz loc_1000015E5 ']
entry,0000000100001484,0000000100001487,"['8B', '45', 'F8']","['mov eax, [rbp+var_8] ']"
entry,0000000100001487,000000010000148D,"['3B', '05', '43', '1F', '7A', '00']","['cmp eax, cs:_m ']"
entry,000000010000148D,0000000100001493,"['0F', '85', '2C', '00', '00', '00']",['jnz loc_1000014BF ']
entry,0000000100001493,000000010000149A,"['48', '8D', '05', '36', '0D', '00', '00']","['lea rax, _FF ']"
entry,000000010000149A,000000010000149E,"['48', '63', '4D', 'F4']","['movsxd rcx, [rbp+var_C] ']"
entry,000000010000149E,00000001000014A2,"['48', '63', '55', 'F8']","['movsxd rdx, [rbp+var_8] ']"
entry,00000001000014A2,00000001000014A9,"['48', '69', 'D2', '80', '1A', '06', '00']","['imul rdx, 61A80h ']"
entry,00000001000014A9,00000001000014AC,"['48', '01', 'D0']","['add rax, rdx ']"
entry,00000001000014AC,00000001000014B3,"['C7', '04', '88', '00', '00', '00', '00']","['mov dword ptr [rax+rcx*4], 0 ']"
entry,00000001000014B3,00000001000014BA,"['C7', '45', 'FC', '00', '00', '00', '00']","['mov [rbp+var_4], 0 ']"
entry,00000001000014BA,00000001000014BF,"['E9', '45', '01', '00', '00']",['jmp loc_100001604 ']
gap,00000001000014BF,00000001000014C6,"['C7', '45', 'F0', '00', '00', '00', '00']","['None', 'None', 'loc_1000014BF:  ', 'mov [rbp+var_10], 0 ']"
gap,00000001000014C6,00000001000014CD,"['48', '8D', '05', '13', '78', '7A', '01']","['None', 'loc_1000014C6:  ', 'lea rax, _sAA ']"
entry,00000001000014CD,00000001000014D0,"['8B', '4D', 'F0']","['mov ecx, [rbp+var_10] ']"
entry,00000001000014D0,00000001000014D4,"['48', '63', '55', 'F8']","['movsxd rdx, [rbp+var_8] ']"
entry,00000001000014D4,00000001000014D7,"['3B', '0C', '90']","['cmp ecx, [rax+rdx*4] ']"
entry,00000001000014D7,00000001000014DD,"['0F', '8D', '03', '01', '00', '00']",['jge loc_1000015E0 ']
entry,00000001000014DD,00000001000014E4,"['48', '8D', '05', 'EC', '0C', '00', '00']","['lea rax, _FF ']"
entry,00000001000014E4,00000001000014EB,"['48', '8D', '0D', '75', '39', '80', '00']","['lea rcx, _S3 ']"
entry,00000001000014EB,00000001000014F2,"['48', '8D', '15', 'EE', '1E', '7A', '00']","['lea rdx, _S ']"
entry,00000001000014F2,00000001000014F9,"['48', '8D', '35', 'E7', '65', '00', '01']","['lea rsi, _AA ']"
entry,00000001000014F9,00000001000014FD,"['48', '63', '7D', 'F0']","['movsxd rdi, [rbp+var_10] ']"
entry,00000001000014FD,0000000100001501,"['4C', '63', '45', 'F8']","['movsxd r8, [rbp+var_8] ']"
entry,0000000100001501,0000000100001508,"['4D', '69', 'C0', '80', '1A', '06', '00']","['imul r8, 61A80h ']"
entry,0000000100001508,000000010000150B,"['4C', '01', 'C6']","['add rsi, r8 ']"
entry,000000010000150B,000000010000150F,"['44', '8B', '0C', 'BE']","['mov r9d, [rsi+rdi*4] ']"
entry,000000010000150F,0000000100001513,"['44', '89', '4D', 'E8']","['mov [rbp+var_18], r9d ']"
entry,0000000100001513,0000000100001517,"['48', '63', '75', 'E8']","['movsxd rsi, [rbp+var_18] ']"
entry,0000000100001517,000000010000151B,"['44', '8B', '0C', 'B2']","['mov r9d, [rdx+rsi*4] ']"
entry,000000010000151B,000000010000151F,"['41', 'C1', 'E1', '02']","['shl r9d, 2 ']"
entry,000000010000151F,0000000100001523,"['44', '8B', '55', 'F4']","['mov r10d, [rbp+var_C] ']"
entry,0000000100001523,0000000100001527,"['44', '23', '55', 'E8']","['and r10d, [rbp+var_18] ']"
entry,0000000100001527,000000010000152A,"['49', '63', 'F2']","['movsxd rsi, r10d ']"
entry,000000010000152A,000000010000152E,"['44', '8B', '14', 'B2']","['mov r10d, [rdx+rsi*4] ']"
entry,000000010000152E,0000000100001532,"['41', 'C1', 'E2', '01']","['shl r10d, 1 ']"
entry,0000000100001532,0000000100001535,"['45', '29', 'D1']","['sub r9d, r10d ']"
entry,0000000100001535,0000000100001539,"['48', '63', '55', 'E8']","['movsxd rdx, [rbp+var_18] ']"
entry,0000000100001539,000000010000153D,"['44', '8B', '14', '91']","['mov r10d, [rcx+rdx*4] ']"
entry,000000010000153D,0000000100001541,"['41', 'C1', 'E2', '01']","['shl r10d, 1 ']"
entry,0000000100001541,0000000100001544,"['45', '29', 'D1']","['sub r9d, r10d ']"
entry,0000000100001544,0000000100001548,"['44', '89', '4D', 'EC']","['mov [rbp+var_14], r9d ']"
entry,0000000100001548,000000010000154C,"['48', '63', '4D', 'F4']","['movsxd rcx, [rbp+var_C] ']"
entry,000000010000154C,0000000100001550,"['48', '63', '55', 'F8']","['movsxd rdx, [rbp+var_8] ']"
entry,0000000100001550,0000000100001557,"['48', '69', 'D2', '80', '1A', '06', '00']","['imul rdx, 61A80h ']"
entry,0000000100001557,000000010000155A,"['48', '01', 'D0']","['add rax, rdx ']"
entry,000000010000155A,000000010000155E,"['44', '8B', '0C', '88']","['mov r9d, [rax+rcx*4] ']"
entry,000000010000155E,0000000100001562,"['44', '8B', '55', 'EC']","['mov r10d, [rbp+var_14] ']"
entry,0000000100001562,0000000100001566,"['44', '8B', '5D', 'F8']","['mov r11d, [rbp+var_8] ']"
entry,0000000100001566,000000010000156D,"['41', '81', 'C3', '01', '00', '00', '00']","['add r11d, 1 ']"
entry,000000010000156D,0000000100001570,"['8B', '75', 'E8']","['mov esi, [rbp+var_18]  ']"
entry,0000000100001570,0000000100001573,"['44', '89', 'DF']","['mov edi, r11d  ']"
entry,0000000100001573,0000000100001577,"['44', '89', '4D', 'E4']","['mov [rbp+var_1C], r9d ']"
entry,0000000100001577,000000010000157B,"['44', '89', '55', 'E0']","['mov [rbp+var_20], r10d ']"
entry,000000010000157B,0000000100001580,"['E8', 'D0', 'FE', 'FF', 'FF']",['call __Z1Fii  ']
entry,0000000100001580,0000000100001583,"['8B', '75', 'E0']","['mov esi, [rbp+var_20] ']"
entry,0000000100001583,0000000100001585,"['01', 'C6']","['add esi, eax ']"
entry,0000000100001585,0000000100001588,"['8B', '45', 'E4']","['mov eax, [rbp+var_1C] ']"
entry,0000000100001588,000000010000158A,"['39', 'F0']","['cmp eax, esi ']"
