type,start_point,end_point,hex_code,d_code
gap,0000000000400D10,0000000000400D12,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000400D12,0000000000400D15,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000400D15,0000000000400D16,['5E'],['pop rsi  ']
entry,0000000000400D16,0000000000400D19,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000400D19,0000000000400D1D,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,0000000000400D1D,0000000000400D1E,['50'],['push rax ']
entry,0000000000400D1E,0000000000400D1F,['54'],['push rsp  ']
entry,0000000000400D1F,0000000000400D26,"['49', 'C7', 'C0', 'A0', '1F', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000400D26,0000000000400D2D,"['48', 'C7', 'C1', '10', '1F', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,0000000000400D2D,0000000000400D34,"['48', 'C7', 'C7', '00', '0E', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000400D34,0000000000400D39,"['E8', 'B7', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000400D39,0000000000400D3A,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,0000000000400D3A,0000000000400D3C,"['90', '90']",['align 4 ']
gap,0000000000400D3C,0000000000400D40,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000400D40,0000000000400D47,"['48', '8B', '05', 'C9', '2B', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000400D47,0000000000400D4A,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000400D4A,0000000000400D4C,"['74', '02']",['jz short loc_400D4E ']
entry,0000000000400D4C,0000000000400D4E,"['FF', 'D0']",['call rax  ']
gap,0000000000400D4E,0000000000400D52,"['48', '83', 'C4', '08']","['None', 'loc_400D4E:  ', 'add rsp, 8 ']"
entry,0000000000400D52,0000000000400D53,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000400D53,0000000000400D60,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 20h ']
gap,0000000000400D60,0000000000400D61,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000400D61,0000000000400D64,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000400D64,0000000000400D65,['53'],['push rbx ']
entry,0000000000400D65,0000000000400D69,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
entry,0000000000400D69,0000000000400D70,"['80', '3D', '60', '30', '20', '00', '00']","['cmp cs:completed_6531, 0 ']"
entry,0000000000400D70,0000000000400D72,"['75', '4B']",['jnz short loc_400DBD ']
entry,0000000000400D72,0000000000400D77,"['BB', '40', '33', '60', '00']","['mov ebx, offset __DTOR_END__ ']"
entry,0000000000400D77,0000000000400D7E,"['48', '8B', '05', '5A', '30', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,0000000000400D7E,0000000000400D85,"['48', '81', 'EB', '38', '33', '60', '00']","['sub rbx, offset __DTOR_LIST__ ']"
entry,0000000000400D85,0000000000400D89,"['48', 'C1', 'FB', '03']","['sar rbx, 3 ']"
entry,0000000000400D89,0000000000400D8D,"['48', '83', 'EB', '01']","['sub rbx, 1 ']"
entry,0000000000400D8D,0000000000400D90,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000400D90,0000000000400D92,"['73', '24']",['jnb short loc_400DB6 ']
entry,0000000000400D92,0000000000400D98,"['66', '0F', '1F', '44', '00', '00']",['nop word ptr [rax+rax+00h] ']
gap,0000000000400D98,0000000000400D9C,"['48', '83', 'C0', '01']","['None', 'loc_400D98:  ', 'add rax, 1 ']"
