type,start_point,end_point,hex_code,d_code
gap,00401000,00401006,"['C7', '01', '3C', '62', '40', '00']","['None', 'None', 'None', 'sub_401000 proc near  ', 'mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@  ']"
entry,00401006,0040100C,"['FF', '25', '04', '61', '40', '00']","['jmp ds:??1exception@std@@UAE@XZ  ', 'sub_401000 endp ', 'None', 'None']"
entry,0040100C,00401010,"['CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401010,00401011,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_401010 proc near  ', 'None', 'arg_0 = byte ptr 8 ', 'None', 'push ebp ']"
entry,00401011,00401013,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401013,00401014,['56'],['push esi ']
entry,00401014,00401016,"['8B', 'F1']","['mov esi, ecx ']"
entry,00401016,0040101C,"['C7', '06', '3C', '62', '40', '00']","['mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ']"
entry,0040101C,00401022,"['FF', '15', '04', '61', '40', '00']",['call ds:??1exception@std@@UAE@XZ  ']
entry,00401022,00401026,"['F6', '45', '08', '01']","['test [ebp+arg_0], 1 ']"
entry,00401026,00401028,"['74', '0A']",['jz short loc_401032 ']
entry,00401028,00401029,['56'],['push esi ']
entry,00401029,0040102F,"['FF', '15', 'E8', '60', '40', '00']",['call ds:__imp_??3@YAXPAX@Z  ']
entry,0040102F,00401032,"['83', 'C4', '04']","['add esp, 4 ']"
gap,00401032,00401034,"['8B', 'C6']","['None', 'loc_401032:  ', 'mov eax, esi ']"
entry,00401034,00401035,['5E'],['pop esi ']
entry,00401035,00401036,['5D'],['pop ebp ']
entry,00401036,00401039,"['C2', '04', '00']","['retn 4 ', 'sub_401010 endp ', 'None', 'None']"
entry,00401039,00401040,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401040,00401041,['C3'],['None']
entry,00401041,00401050,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401050,00401051,['56'],"['None', 'None', 'None', 'None', 'sub_401050 proc near  ', 'None', 'push esi ']"
entry,00401051,00401053,"['8B', 'F0']","['mov esi, eax ']"
entry,00401053,00401054,['57'],['push edi ']
entry,00401054,00401057,"['83', 'FE', '04']","['cmp esi, 4 ']"
entry,00401057,00401059,"['72', '1B']",['jb short loc_401074 ']
entry,00401059,00401060,"['8D', 'A4', '24', '00', '00', '00', '00']","['lea esp, [esp+0] ']"
gap,00401060,00401062,"['8B', '02']","['None', 'loc_401060:  ', 'mov eax, [edx] ']"
entry,00401062,00401064,"['3B', '01']","['cmp eax, [ecx] ']"
entry,00401064,00401066,"['75', '12']",['jnz short loc_401078 ']
entry,00401066,00401069,"['83', 'EE', '04']","['sub esi, 4 ']"
entry,00401069,0040106C,"['83', 'C1', '04']","['add ecx, 4 ']"
entry,0040106C,0040106F,"['83', 'C2', '04']","['add edx, 4 ']"
entry,0040106F,00401072,"['83', 'FE', '04']","['cmp esi, 4 ']"
entry,00401072,00401074,"['73', 'EC']",['jnb short loc_401060 ']
gap,00401074,00401076,"['85', 'F6']","['None', 'loc_401074:  ', 'test esi, esi ']"
entry,00401076,00401078,"['74', '44']",['jz short loc_4010BC ']
gap,00401078,0040107B,"['0F', 'B6', '02']","['None', 'loc_401078:  ', 'movzx eax, byte ptr [edx] ']"
entry,0040107B,0040107E,"['0F', 'B6', '39']","['movzx edi, byte ptr [ecx] ']"
entry,0040107E,00401080,"['2B', 'C7']","['sub eax, edi ']"
entry,00401080,00401082,"['75', '31']",['jnz short loc_4010B3 ']
entry,00401082,00401085,"['83', 'FE', '01']","['cmp esi, 1 ']"
entry,00401085,00401087,"['76', '35']",['jbe short loc_4010BC ']
entry,00401087,0040108B,"['0F', 'B6', '42', '01']","['movzx eax, byte ptr [edx+1] ']"
entry,0040108B,0040108F,"['0F', 'B6', '79', '01']","['movzx edi, byte ptr [ecx+1] ']"
entry,0040108F,00401091,"['2B', 'C7']","['sub eax, edi ']"
entry,00401091,00401093,"['75', '20']",['jnz short loc_4010B3 ']
entry,00401093,00401096,"['83', 'FE', '02']","['cmp esi, 2 ']"
entry,00401096,00401098,"['76', '24']",['jbe short loc_4010BC ']
