type,start_point,end_point,hex_code,d_code
gap,0000000000400F90,0000000000400F92,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000400F92,0000000000400F95,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000400F95,0000000000400F96,['5E'],['pop rsi  ']
entry,0000000000400F96,0000000000400F99,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000400F99,0000000000400F9D,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,0000000000400F9D,0000000000400F9E,['50'],['push rax ']
entry,0000000000400F9E,0000000000400F9F,['54'],['push rsp  ']
entry,0000000000400F9F,0000000000400FA6,"['49', 'C7', 'C0', '80', '35', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000400FA6,0000000000400FAD,"['48', 'C7', 'C1', 'F0', '34', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,0000000000400FAD,0000000000400FB4,"['48', 'C7', 'C7', '80', '10', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000400FB4,0000000000400FB9,"['E8', '67', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000400FB9,0000000000400FBA,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,0000000000400FBA,0000000000400FBC,"['90', '90']",['align 4 ']
gap,0000000000400FBC,0000000000400FC0,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000400FC0,0000000000400FC7,"['48', '8B', '05', '29', '46', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000400FC7,0000000000400FCA,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000400FCA,0000000000400FCC,"['74', '02']",['jz short loc_400FCE ']
entry,0000000000400FCC,0000000000400FCE,"['FF', 'D0']",['call rax  ']
gap,0000000000400FCE,0000000000400FD2,"['48', '83', 'C4', '08']","['None', 'loc_400FCE:  ', 'add rsp, 8 ']"
entry,0000000000400FD2,0000000000400FD3,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
