type,start_point,end_point,hex_code,d_code
gap,00000000004013C0,00000000004013C2,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,00000000004013C2,00000000004013C5,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,00000000004013C5,00000000004013C6,['5E'],['pop rsi  ']
entry,00000000004013C6,00000000004013C9,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,00000000004013C9,00000000004013CD,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,00000000004013CD,00000000004013CE,['50'],['push rax ']
entry,00000000004013CE,00000000004013CF,['54'],['push rsp  ']
entry,00000000004013CF,00000000004013D6,"['49', 'C7', 'C0', 'F0', '49', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,00000000004013D6,00000000004013DD,"['48', 'C7', 'C1', '60', '49', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,00000000004013DD,00000000004013E4,"['48', 'C7', 'C7', 'B0', '14', '40', '00']","['mov rdi, offset main  ']"
entry,00000000004013E4,00000000004013E9,"['E8', 'F7', 'FD', 'FF', 'FF']",['call ___libc_start_main ']
entry,00000000004013E9,00000000004013EA,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,00000000004013EA,00000000004013EC,"['90', '90']",['align 4 ']
gap,00000000004013EC,00000000004013F0,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,00000000004013F0,00000000004013F7,"['48', '8B', '05', 'F9', '5A', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,00000000004013F7,00000000004013FA,"['48', '85', 'C0']","['test rax, rax ']"
entry,00000000004013FA,00000000004013FC,"['74', '02']",['jz short loc_4013FE ']
entry,00000000004013FC,00000000004013FE,"['FF', 'D0']",['call rax  ']
gap,00000000004013FE,0000000000401402,"['48', '83', 'C4', '08']","['None', 'loc_4013FE:  ', 'add rsp, 8 ']"
entry,0000000000401402,0000000000401403,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000401403,0000000000401410,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 10h ']
gap,0000000000401410,0000000000401411,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000401411,0000000000401414,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000401414,0000000000401415,['53'],['push rbx ']
entry,0000000000401415,0000000000401419,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
entry,0000000000401419,0000000000401420,"['80', '3D', '40', '61', '20', '00', '00']","['cmp cs:completed_6531, 0 ']"
entry,0000000000401420,0000000000401422,"['75', '4B']",['jnz short loc_40146D ']
entry,0000000000401422,0000000000401427,"['BB', '18', '69', '60', '00']","['mov ebx, offset __DTOR_END__ ']"
entry,0000000000401427,000000000040142E,"['48', '8B', '05', '3A', '61', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,000000000040142E,0000000000401435,"['48', '81', 'EB', '10', '69', '60', '00']","['sub rbx, offset __DTOR_LIST__ ']"
entry,0000000000401435,0000000000401439,"['48', 'C1', 'FB', '03']","['sar rbx, 3 ']"
entry,0000000000401439,000000000040143D,"['48', '83', 'EB', '01']","['sub rbx, 1 ']"
entry,000000000040143D,0000000000401440,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000401440,0000000000401442,"['73', '24']",['jnb short loc_401466 ']
entry,0000000000401442,0000000000401448,"['66', '0F', '1F', '44', '00', '00']",['nop word ptr [rax+rax+00h] ']
gap,0000000000401448,000000000040144C,"['48', '83', 'C0', '01']","['None', 'loc_401448:  ', 'add rax, 1 ']"
entry,000000000040144C,0000000000401453,"['48', '89', '05', '15', '61', '20', '00']","['mov cs:dtor_idx_6533, rax ']"
entry,0000000000401453,000000000040145A,"['FF', '14', 'C5', '10', '69', '60', '00']",['call ds:__DTOR_LIST__[rax*8] ']
entry,000000000040145A,0000000000401461,"['48', '8B', '05', '07', '61', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,0000000000401461,0000000000401464,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000401464,0000000000401466,"['72', 'E2']",['jb short loc_401448 ']
gap,0000000000401466,000000000040146D,"['C6', '05', 'F3', '60', '20', '00', '01']","['None', 'loc_401466:  ', 'mov cs:completed_6531, 1 ']"
gap,000000000040146D,0000000000401471,"['48', '83', 'C4', '08']","['None', 'loc_40146D:  ', 'add rsp, 8 ']"
entry,0000000000401471,0000000000401472,['5B'],['pop rbx ']
entry,0000000000401472,0000000000401473,['5D'],['pop rbp ']
entry,0000000000401473,0000000000401474,['C3'],"['retn ', '__do_global_dtors_aux endp ', 'None', 'None']"
