type,start_point,end_point,hex_code,d_code
gap,0000000100000820,0000000100000821,['55'],"['None', 'None', 'None', 'None', 'None', 'public __Z4readv ', '__Z4readv proc near  ', 'None', 'var_8 = qword ptr -8 ', 'None', 'push rbp ']"
entry,0000000100000821,0000000100000824,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000100000824,0000000100000828,"['48', '83', 'EC', '10']","['sub rsp, 10h ']"
entry,0000000100000828,000000010000082F,"['48', '8B', '3D', 'E1', '07', '00', '00']","['mov rdi, cs:__ZNSt3__13cinE_ptr ']"
entry,000000010000082F,0000000100000836,"['48', '8D', '35', '6A', '08', '00', '00']","['lea rsi, _a ']"
entry,0000000100000836,000000010000083B,"['E8', 'F5', '05', '00', '00']",['call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ']
entry,000000010000083B,0000000100000842,"['48', '8D', '35', '62', '08', '00', '00']","['lea rsi, _b ']"
entry,0000000100000842,0000000100000845,"['48', '89', 'C7']","['mov rdi, rax ']"
entry,0000000100000845,000000010000084A,"['E8', 'E6', '05', '00', '00']",['call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ']
entry,000000010000084A,000000010000084E,"['48', '89', '45', 'F8']","['mov [rbp+var_8], rax ']"
entry,000000010000084E,0000000100000852,"['48', '83', 'C4', '10']","['add rsp, 10h ']"
entry,0000000100000852,0000000100000853,['5D'],['pop rbp ']
entry,0000000100000853,0000000100000854,['C3'],"['retn ', '__Z4readv endp ', 'None', 'None']"
entry,0000000100000854,0000000100000860,"['66', '66', '66', '2E', '0F', '1F', '84', '00', '00', '00', '00', '00']",['align 20h ']
gap,0000000100000860,0000000100000861,['55'],"['None', 'None', 'None', 'None', 'None', 'None', 'public __Z3leni ', '__Z3leni proc near  ', 'None', 'var_C = dword ptr -0Ch ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'None', 'push rbp ']"
entry,0000000100000861,0000000100000864,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000100000864,0000000100000867,"['89', '7D', 'FC']","['mov [rbp+var_4], edi ']"
entry,0000000100000867,000000010000086E,"['C7', '45', 'F8', 'FF', 'FF', 'FF', 'FF']","['mov [rbp+var_8], 0FFFFFFFFh ']"
gap,000000010000086E,0000000100000875,"['81', '7D', 'FC', '00', '00', '00', '00']","['None', 'loc_10000086E:  ', 'cmp [rbp+var_4], 0 ']"
entry,0000000100000875,000000010000087B,"['0F', '84', '27', '00', '00', '00']",['jz loc_1000008A2 ']
entry,000000010000087B,0000000100000880,"['B8', '0A', '00', '00', '00']","['mov eax, 0Ah ']"
entry,0000000100000880,0000000100000883,"['8B', '4D', 'F8']","['mov ecx, [rbp+var_8] ']"
entry,0000000100000883,0000000100000889,"['81', 'C1', '01', '00', '00', '00']","['add ecx, 1 ']"
entry,0000000100000889,000000010000088C,"['89', '4D', 'F8']","['mov [rbp+var_8], ecx ']"
entry,000000010000088C,000000010000088F,"['8B', '4D', 'FC']","['mov ecx, [rbp+var_4] ']"
entry,000000010000088F,0000000100000892,"['89', '45', 'F4']","['mov [rbp+var_C], eax ']"
entry,0000000100000892,0000000100000894,"['89', 'C8']","['mov eax, ecx ']"
entry,0000000100000894,0000000100000895,['99'],['cdq ']
entry,0000000100000895,0000000100000898,"['8B', '4D', 'F4']","['mov ecx, [rbp+var_C] ']"
entry,0000000100000898,000000010000089A,"['F7', 'F9']",['idiv ecx ']
entry,000000010000089A,000000010000089D,"['89', '45', 'FC']","['mov [rbp+var_4], eax ']"
entry,000000010000089D,00000001000008A2,"['E9', 'CC', 'FF', 'FF', 'FF']",['jmp loc_10000086E ']
gap,00000001000008A2,00000001000008A5,"['8B', '45', 'F8']","['None', 'None', 'loc_1000008A2:  ', 'mov eax, [rbp+var_8] ']"
entry,00000001000008A5,00000001000008A6,['5D'],['pop rbp ']
entry,00000001000008A6,00000001000008A7,['C3'],"['retn ', '__Z3leni endp ', 'None', 'None']"
entry,00000001000008A7,00000001000008B0,"['66', '0F', '1F', '84', '00', '00', '00', '00', '00']",['align 10h ']
