type,start_point,end_point,hex_code,d_code
gap,00401819,004018B4,"['8B', 'FF', '55', '8B', 'EC', '83', 'EC', '5F', '5B', 'C9', 'C3']",['None']
gap,004018B4,004018BA,"['FF', '25', '50', '20', '40', '00']",['None']
gap,004018BA,004018C0,"['FF', '25', '44', '20', '40', '00']",['None']
gap,004018C0,004018C6,"['FF', '25', '48', '20', '40', '00']",['None']
gap,004018C6,004018CC,"['FF', '25', '4C', '20', '40', '00']",['None']
gap,004018CC,004018D2,"['FF', '25', 'A0', '20', '40', '00']",['None']
gap,004018D2,004018D8,"['FF', '25', '58', '20', '40', '00']",['None']
gap,004018D8,004018DE,"['FF', '25', '5C', '20', '40', '00']",['None']
gap,004018DE,004018E4,"['FF', '25', '60', '20', '40', '00']",['None']
entry,004018E4,00401A00,"['00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",['align 200h ']
entry,00401A00,None,,"['dd 180h dup(?) ', '_text ends ', 'None']"
