type,start_point,end_point,hex_code,d_code
gap,00401000,00401006,"['C7', '01', 'F4', '42', '40', '00']","['None', 'None', 'None', 'sub_401000 proc near  ', 'mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@  ']"
entry,00401006,0040100C,"['FF', '25', 'E4', '40', '40', '00']","['jmp ds:??1exception@std@@UAE@XZ  ', 'sub_401000 endp ', 'None', 'None']"
entry,0040100C,00401010,"['CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401010,00401011,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_401010 proc near  ', 'None', 'arg_0 = byte ptr 8 ', 'None', 'push ebp ']"
entry,00401011,00401013,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401013,00401014,['56'],['push esi ']
entry,00401014,00401016,"['8B', 'F1']","['mov esi, ecx ']"
entry,00401016,0040101C,"['C7', '06', 'F4', '42', '40', '00']","['mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ']"
entry,0040101C,00401022,"['FF', '15', 'E4', '40', '40', '00']",['call ds:??1exception@std@@UAE@XZ  ']
entry,00401022,00401026,"['F6', '45', '08', '01']","['test [ebp+arg_0], 1 ']"
entry,00401026,00401028,"['74', '0A']",['jz short loc_401032 ']
entry,00401028,00401029,['56'],['push esi ']
entry,00401029,0040102F,"['FF', '15', 'CC', '40', '40', '00']",['call ds:__imp_??3@YAXPAX@Z  ']
entry,0040102F,00401032,"['83', 'C4', '04']","['add esp, 4 ']"
gap,00401032,00401034,"['8B', 'C6']","['None', 'loc_401032:  ', 'mov eax, esi ']"
entry,00401034,00401035,['5E'],['pop esi ']
entry,00401035,00401036,['5D'],['pop ebp ']
entry,00401036,00401039,"['C2', '04', '00']","['retn 4 ', 'sub_401010 endp ', 'None', 'None']"
entry,00401039,00401040,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401040,00401041,['55'],"['None', 'None', 'None', 'None', 'None', 'None', '_main proc near  ', 'None', 'var_78 = dword ptr -78h ', 'var_74 = dword ptr -74h ', 'var_70 = dword ptr -70h ', 'var_6C = dword ptr -6Ch ', 'var_66 = byte ptr -66h ', 'var_65 = byte ptr -65h ', 'var_64 = dword ptr -64h ', 'var_54 = dword ptr -54h ', 'var_50 = dword ptr -50h ', 'var_48 = dword ptr -48h ', 'var_38 = dword ptr -38h ', 'var_34 = dword ptr -34h ', 'var_2C = dword ptr -2Ch ', 'var_1C = dword ptr -1Ch ', 'var_18 = dword ptr -18h ', 'var_10 = dword ptr -10h ', 'var_C = dword ptr -0Ch ', 'var_4 = dword ptr -4 ', 'argc = dword ptr 8 ', 'argv = dword ptr 0Ch ', 'envp = dword ptr 10h ', 'None', 'None', 'None', 'None', 'push ebp ']"
entry,00401041,00401043,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401043,00401045,"['6A', 'FF']",['push 0FFFFFFFFh ']
entry,00401045,0040104A,"['68', 'F8', '2C', '40', '00']",['push offset _main_SEH ']
entry,0040104A,00401050,"['64', 'A1', '00', '00', '00', '00']","['mov eax, large fs:0 ']"
entry,00401050,00401051,['50'],['push eax ']
entry,00401051,00401054,"['83', 'EC', '6C']","['sub esp, 6Ch ']"
entry,00401054,00401059,"['A1', '18', '50', '40', '00']","['mov eax, ___security_cookie ']"
entry,00401059,0040105B,"['33', 'C5']","['xor eax, ebp ']"
entry,0040105B,0040105E,"['89', '45', 'F0']","['mov [ebp+var_10], eax ']"
entry,0040105E,0040105F,['53'],['push ebx ']
entry,0040105F,00401060,['56'],['push esi ']
entry,00401060,00401061,['57'],['push edi ']
entry,00401061,00401062,['50'],['push eax ']
entry,00401062,00401065,"['8D', '45', 'F4']","['lea eax, [ebp+var_C] ']"
entry,00401065,0040106B,"['64', 'A3', '00', '00', '00', '00']","['mov large fs:0, eax ']"
entry,0040106B,00401070,"['BE', 'F4', '50', '40', '00']","['mov esi, offset byte_4050F4 ']"
entry,00401070,00401073,"['89', '75', '94']","['mov [ebp+var_6C], esi ']"
gap,00401073,00401075,"['33', 'C0']","['None', 'loc_401073:  ', 'xor eax, eax ']"
entry,00401075,00401078,"['89', '45', 'C8']","['mov [ebp+var_38], eax ']"
entry,00401078,0040107B,"['88', '45', 'B8']","['mov byte ptr [ebp+var_48], al ']"
entry,0040107B,00401081,"['8D', '86', '74', 'FF', 'FF', 'FF']","['lea eax, [esi-8Ch] ']"
entry,00401081,00401082,['50'],['push eax  ']
entry,00401082,00401087,"['BF', '0F', '00', '00', '00']","['mov edi, 0Fh ']"
entry,00401087,0040108A,"['83', 'C8', 'FF']","['or eax, 0FFFFFFFFh ']"
entry,0040108A,0040108C,"['33', 'DB']","['xor ebx, ebx ']"
entry,0040108C,0040108F,"['8D', '4D', 'B8']","['lea ecx, [ebp+var_48]  ']"
entry,0040108F,00401092,"['89', '7D', 'CC']","['mov [ebp+var_34], edi ']"
entry,00401092,00401097,"['E8', 'D9', '02', '00', '00']",['call sub_401370 ']
entry,00401097,00401099,"['33', 'C0']","['xor eax, eax ']"
gap,00401099,0040109C,"['89', '45', 'FC']","['None', 'mov [ebp+var_4], eax ']"
entry,0040109C,0040109F,"['89', '45', 'AC']","['mov [ebp+var_54], eax ']"
entry,0040109F,004010A2,"['88', '45', '9C']","['mov byte ptr [ebp+var_64], al ']"
entry,004010A2,004010A3,['56'],['push esi  ']
entry,004010A3,004010A6,"['83', 'C8', 'FF']","['or eax, 0FFFFFFFFh ']"
entry,004010A6,004010A9,"['8D', '4D', '9C']","['lea ecx, [ebp+var_64]  ']"
entry,004010A9,004010AC,"['89', '7D', 'B0']","['mov [ebp+var_50], edi ']"
entry,004010AC,004010B1,"['E8', 'BF', '02', '00', '00']",['call sub_401370 ']
