type,start_point,end_point,hex_code,d_code
gap,00401000,00401006,"['8B', '0D', '60', '20', '40', '00']","['None', 'None', 'None', 'sub_401000 proc near  ', 'mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ']"
entry,00401006,00401007,['56'],['push esi ']
entry,00401007,0040100C,"['68', '30', 'EA', '46', '00']",['push offset dword_46EA30 ']
entry,0040100C,00401012,"['FF', '15', '58', '20', '40', '00']",['call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ']
entry,00401012,00401014,"['33', 'F6']","['xor esi, esi ']"
entry,00401014,0040101A,"['39', '35', '30', 'EA', '46', '00']","['cmp dword_46EA30, esi ']"
entry,0040101A,0040101C,"['7E', '38']",['jle short loc_401054 ']
entry,0040101C,0040101D,['57'],['push edi ']
entry,0040101D,00401023,"['8B', '3D', 'D8', '20', '40', '00']","['mov edi, ds:scanf ']"
entry,00401023,00401025,"['EB', '0B']","['jmp short loc_401030 ', 'None']"
entry,00401025,00401030,"['8D', 'A4', '24', '00', '00', '00', '00', '8D', '64', '24', '00']",['align 10h ']
gap,00401030,00401037,"['8D', '04', 'B5', '38', 'EA', '46', '00']","['None', 'loc_401030:  ', 'None', 'lea eax, dword_46EA38[esi*4] ']"
entry,00401037,00401038,['50'],['push eax ']
entry,00401038,0040103F,"['8D', '0C', 'B5', '70', '33', '40', '00']","['lea ecx, dword_403370[esi*4] ']"
entry,0040103F,00401040,['51'],['push ecx ']
entry,00401040,00401045,"['68', '34', '21', '40', '00']",['push offset Format  ']
entry,00401045,00401047,"['FF', 'D7']",['call edi  ']
entry,00401047,00401048,['46'],['inc esi ']
entry,00401048,0040104B,"['83', 'C4', '0C']","['add esp, 0Ch ']"
entry,0040104B,00401051,"['3B', '35', '30', 'EA', '46', '00']","['cmp esi, dword_46EA30 ']"
entry,00401051,00401053,"['7C', 'DD']",['jl short loc_401030 ']
entry,00401053,00401054,['5F'],['pop edi ']
gap,00401054,0040105A,"['8B', '0D', '60', '20', '40', '00']","['None', 'loc_401054:  ', 'mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ']"
entry,0040105A,0040105F,"['68', '34', 'EA', '46', '00']",['push offset dword_46EA34 ']
entry,0040105F,00401065,"['FF', '15', '58', '20', '40', '00']",['call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ']
entry,00401065,00401066,['5E'],['pop esi ']
entry,00401066,00401067,['C3'],"['retn ', 'sub_401000 endp ', 'None', 'None']"
entry,00401067,00401070,"['CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']",['align 10h ']
gap,00401070,00401071,['55'],"['None', 'None', 'None', 'None', 'None', 'sub_401070 proc near  ', 'None', 'var_C = dword ptr -0Ch ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'None', 'push ebp ']"
entry,00401071,00401073,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401073,00401076,"['83', 'EC', '0C']","['sub esp, 0Ch ']"
entry,00401076,0040107B,"['A1', '70', '33', '40', '00']","['mov eax, dword_403370 ']"
entry,0040107B,0040107C,['53'],['push ebx ']
entry,0040107C,0040107D,['56'],['push esi ']
entry,0040107D,0040107E,['57'],['push edi ']
entry,0040107E,00401081,"['8D', '3C', '00']","['lea edi, [eax+eax] ']"
entry,00401081,00401086,"['A3', '38', 'EA', '46', '00']","['mov dword_46EA38, eax ']"
entry,00401086,0040108B,"['A1', '34', 'EA', '46', '00']","['mov eax, dword_46EA34 ']"
entry,0040108B,0040108D,"['33', 'C9']","['xor ecx, ecx ']"
entry,0040108D,00401092,"['BA', '01', '00', '00', '00']","['mov edx, 1 ']"
entry,00401092,00401095,"['89', '7D', 'F8']","['mov [ebp+var_8], edi ']"
entry,00401095,00401098,"['89', '4D', 'FC']","['mov [ebp+var_4], ecx ']"
entry,00401098,0040109A,"['3B', 'F8']","['cmp edi, eax ']"
entry,0040109A,004010A0,"['0F', '8D', '99', '00', '00', '00']",['jge loc_401139 ']
gap,004010A0,004010A2,"['3B', 'CA']","['None', 'loc_4010A0:  ', 'cmp ecx, edx ']"
entry,004010A2,004010A8,"['0F', '8D', '8D', '00', '00', '00']",['jge loc_401135 ']
entry,004010A8,004010AE,"['3B', '15', '30', 'EA', '46', '00']","['cmp edx, dword_46EA30 ']"
entry,004010AE,004010B0,"['7D', '68']",['jge short loc_401118 ']
entry,004010B0,004010B7,"['8B', '1C', '8D', '70', '33', '40', '00']","['mov ebx, dword_403370[ecx*4] ']"
entry,004010B7,004010B9,"['EB', '0A']","['jmp short loc_4010C3 ', 'None']"
entry,004010B9,004010C0,"['8D', 'A4', '24', '00', '00', '00', '00']",['align 10h ']
gap,004010C0,004010C3,"['8B', '4D', 'FC']","['None', 'loc_4010C0:  ', 'mov ecx, [ebp+var_4] ']"
gap,004010C3,004010CA,"['8B', '34', '95', '70', '33', '40', '00']","['None', 'loc_4010C3:  ', 'mov esi, dword_403370[edx*4] ']"
entry,004010CA,004010CC,"['8B', 'C6']","['mov eax, esi ']"
entry,004010CC,004010CE,"['2B', 'C3']","['sub eax, ebx ']"
entry,004010CE,004010D5,"['3B', '04', '8D', '38', 'EA', '46', '00']","['cmp eax, dword_46EA38[ecx*4] ']"
entry,004010D5,004010D7,"['7F', '39']",['jg short loc_401110 ']
entry,004010D7,004010DE,"['3B', '04', '95', '38', 'EA', '46', '00']","['cmp eax, dword_46EA38[edx*4] ']"
entry,004010DE,004010E5,"['8D', '0C', '95', '38', 'EA', '46', '00']","['lea ecx, dword_46EA38[edx*4] ']"
entry,004010E5,004010E8,"['89', '45', 'F4']","['mov [ebp+var_C], eax ']"
entry,004010E8,004010EB,"['8D', '45', 'F4']","['lea eax, [ebp+var_C] ']"
entry,004010EB,004010ED,"['7C', '02']",['jl short loc_4010EF ']
entry,004010ED,004010EF,"['8B', 'C1']","['mov eax, ecx ']"
gap,004010EF,004010F1,"['8B', '00']","['None', 'loc_4010EF:  ', 'mov eax, [eax] ']"
entry,004010F1,004010F3,"['89', '01']","['mov [ecx], eax ']"
entry,004010F3,004010F5,"['03', 'C6']","['add eax, esi ']"
entry,004010F5,004010F8,"['89', '45', 'F4']","['mov [ebp+var_C], eax ']"
entry,004010F8,004010FA,"['3B', 'F8']","['cmp edi, eax ']"
entry,004010FA,004010FD,"['8D', '45', 'F4']","['lea eax, [ebp+var_C] ']"
entry,004010FD,004010FF,"['7C', '03']",['jl short loc_401102 ']
entry,004010FF,00401102,"['8D', '45', 'F8']","['lea eax, [ebp+var_8] ']"
gap,00401102,00401104,"['8B', '38']","['None', 'loc_401102:  ', 'mov edi, [eax] ']"
entry,00401104,00401105,['42'],['inc edx ']
entry,00401105,00401108,"['89', '7D', 'F8']","['mov [ebp+var_8], edi ']"
entry,00401108,0040110E,"['3B', '15', '30', 'EA', '46', '00']","['cmp edx, dword_46EA30 ']"
entry,0040110E,00401110,"['7C', 'B0']",['jl short loc_4010C0 ']
gap,00401110,00401115,"['A1', '34', 'EA', '46', '00']","['None', 'loc_401110:  ', 'mov eax, dword_46EA34 ']"
entry,00401115,00401118,"['8B', '4D', 'FC']","['mov ecx, [ebp+var_4] ']"
gap,00401118,00401119,['41'],"['None', 'loc_401118:  ', 'inc ecx ']"
