type,start_point,end_point,hex_code,d_code
gap,0000000000400FC0,0000000000400FC2,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000400FC2,0000000000400FC5,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000400FC5,0000000000400FC6,['5E'],['pop rsi  ']
entry,0000000000400FC6,0000000000400FC9,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000400FC9,0000000000400FCD,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,0000000000400FCD,0000000000400FCE,['50'],['push rax ']
entry,0000000000400FCE,0000000000400FCF,['54'],['push rsp  ']
entry,0000000000400FCF,0000000000400FD6,"['49', 'C7', 'C0', 'A0', '9F', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000400FD6,0000000000400FDD,"['48', 'C7', 'C1', '10', '9F', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,0000000000400FDD,0000000000400FE4,"['48', 'C7', 'C7', 'B0', '10', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000400FE4,0000000000400FE9,"['E8', '77', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000400FE9,0000000000400FEA,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,0000000000400FEA,0000000000400FEC,"['90', '90']",['align 4 ']
gap,0000000000400FEC,0000000000400FF0,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000400FF0,0000000000400FF7,"['48', '8B', '05', 'F9', 'B5', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000400FF7,0000000000400FFA,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000400FFA,0000000000400FFC,"['74', '02']",['jz short loc_400FFE ']
entry,0000000000400FFC,0000000000400FFE,"['FF', 'D0']",['call rax  ']
gap,0000000000400FFE,0000000000401002,"['48', '83', 'C4', '08']","['None', 'loc_400FFE:  ', 'add rsp, 8 ']"
entry,0000000000401002,0000000000401003,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000401003,0000000000401010,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 10h ']
gap,0000000000401010,0000000000401011,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000401011,0000000000401014,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000401014,0000000000401015,['53'],['push rbx ']
entry,0000000000401015,0000000000401019,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
entry,0000000000401019,0000000000401020,"['80', '3D', '20', 'C4', '20', '00', '00']","['cmp cs:completed_6531, 0 ']"
entry,0000000000401020,0000000000401022,"['75', '4B']",['jnz short loc_40106D ']
entry,0000000000401022,0000000000401027,"['BB', '28', 'C0', '60', '00']","['mov ebx, offset __DTOR_END__ ']"
entry,0000000000401027,000000000040102E,"['48', '8B', '05', '1A', 'C4', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,000000000040102E,0000000000401035,"['48', '81', 'EB', '20', 'C0', '60', '00']","['sub rbx, offset __DTOR_LIST__ ']"
entry,0000000000401035,0000000000401039,"['48', 'C1', 'FB', '03']","['sar rbx, 3 ']"
entry,0000000000401039,000000000040103D,"['48', '83', 'EB', '01']","['sub rbx, 1 ']"
entry,000000000040103D,0000000000401040,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000401040,0000000000401042,"['73', '24']",['jnb short loc_401066 ']
entry,0000000000401042,0000000000401048,"['66', '0F', '1F', '44', '00', '00']",['nop word ptr [rax+rax+00h] ']
gap,0000000000401048,000000000040104C,"['48', '83', 'C0', '01']","['None', 'loc_401048:  ', 'add rax, 1 ']"
entry,000000000040104C,0000000000401053,"['48', '89', '05', 'F5', 'C3', '20', '00']","['mov cs:dtor_idx_6533, rax ']"
entry,0000000000401053,000000000040105A,"['FF', '14', 'C5', '20', 'C0', '60', '00']",['call ds:__DTOR_LIST__[rax*8] ']
entry,000000000040105A,0000000000401061,"['48', '8B', '05', 'E7', 'C3', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,0000000000401061,0000000000401064,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000401064,0000000000401066,"['72', 'E2']",['jb short loc_401048 ']
gap,0000000000401066,000000000040106D,"['C6', '05', 'D3', 'C3', '20', '00', '01']","['None', 'loc_401066:  ', 'mov cs:completed_6531, 1 ']"
gap,000000000040106D,0000000000401071,"['48', '83', 'C4', '08']","['None', 'loc_40106D:  ', 'add rsp, 8 ']"
entry,0000000000401071,0000000000401072,['5B'],['pop rbx ']
entry,0000000000401072,0000000000401073,['5D'],['pop rbp ']
entry,0000000000401073,0000000000401074,['C3'],"['retn ', '__do_global_dtors_aux endp ', 'None', 'None']"
entry,0000000000401074,0000000000401080,"['66', '66', '66', '2E', '0F', '1F', '84', '00', '00', '00', '00', '00']",['align 20h ']
gap,0000000000401080,0000000000401088,"['48', '83', '3D', 'A8', 'AF', '20', '00', '00']","['None', 'None', 'None', 'None', 'None', 'frame_dummy proc near  ', 'cmp cs:__JCR_LIST__, 0 ']"
entry,0000000000401088,0000000000401089,['55'],['push rbp ']
entry,0000000000401089,000000000040108C,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,000000000040108C,000000000040108E,"['74', '12']",['jz short loc_4010A0 ']
entry,000000000040108E,0000000000401093,"['B8', '00', '00', '00', '00']","['mov eax, 0 ']"
entry,0000000000401093,0000000000401096,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000401096,0000000000401098,"['74', '08']",['jz short loc_4010A0 ']
entry,0000000000401098,0000000000401099,['5D'],['pop rbp ']
entry,0000000000401099,000000000040109E,"['BF', '30', 'C0', '60', '00']","['mov edi, offset __JCR_LIST__ ']"
entry,000000000040109E,00000000004010A0,"['FF', 'E0']",['jmp rax ']
gap,00000000004010A0,00000000004010A1,['5D'],"['None', 'None', 'loc_4010A0:  ', 'None', 'pop rbp ']"
entry,00000000004010A1,00000000004010A2,['C3'],"['retn ', 'frame_dummy endp ', 'None', 'None']"
entry,00000000004010A2,00000000004010B0,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 10h ']
gap,00000000004010B0,00000000004010B1,['55'],"['None', 'None', 'None', 'None', 'None', 'None', 'public main ', 'main proc near  ', 'None', 'var_100 = qword ptr -100h ', 'var_F8 = qword ptr -0F8h ', 'var_F0 = qword ptr -0F0h ', 'var_E8 = qword ptr -0E8h ', 'var_E0 = qword ptr -0E0h ', 'var_D8 = dword ptr -0D8h ', 'var_D0 = dword ptr -0D0h ', 'var_C8 = dword ptr -0C8h ', 'var_C0 = dword ptr -0C0h ', 'var_B8 = dword ptr -0B8h ', 'var_B0 = dword ptr -0B0h ', 'var_A8 = qword ptr -0A8h ', 'var_A0 = qword ptr -0A0h ', 'var_98 = dword ptr -98h ', 'var_90 = qword ptr -90h ', 'var_88 = dword ptr -88h ', 'var_80 = qword ptr -80h ', 'var_78 = qword ptr -78h ', 'var_70 = qword ptr -70h ', 'var_68 = qword ptr -68h ', 'var_60 = qword ptr -60h ', 'var_58 = qword ptr -58h ', 'None', 'None', 'push rbp ']"
entry,00000000004010B1,00000000004010B4,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,00000000004010B4,00000000004010B8,"['48', '83', 'E4', '80']","['and rsp, 0FFFFFFFFFFFFFF80h ']"
entry,00000000004010B8,00000000004010BF,"['48', '81', 'EC', '00', '01', '00', '00']","['sub rsp, 100h ']"
entry,00000000004010BF,00000000004010C9,"['48', 'BE', '00', '00', '00', '00', '00', '00', '00', '00']","['mov rsi, 0 ']"
entry,00000000004010C9,00000000004010CE,"['BF', '03', '00', '00', '00']","['mov edi, 3 ']"
entry,00000000004010CE,00000000004010D3,"['E8', 'BD', '0C', '00', '00']",['call __intel_new_feature_proc_init ']
entry,00000000004010D3,00000000004010D8,"['0F', 'AE', '5C', '24', '28']",['stmxcsr [rsp+100h+var_D8] ']
entry,00000000004010D8,00000000004010DD,"['BF', 'C0', 'D0', '60', '00']","['mov edi, offset _ZSt3cin@@GLIBCXX_3_4 ']"
entry,00000000004010DD,00000000004010E2,"['48', '8D', '74', '24', '40']","['lea rsi, [rsp+100h+var_C0] ']"
entry,00000000004010E2,00000000004010EA,"['81', '4C', '24', '28', '40', '80', '00', '00']","['or [rsp+100h+var_D8], 8040h ']"
entry,00000000004010EA,00000000004010EF,"['0F', 'AE', '54', '24', '28']",['ldmxcsr [rsp+100h+var_D8] ']
entry,00000000004010EF,00000000004010F4,"['E8', '4C', 'FE', 'FF', 'FF']",['call __ZNSirsERi  ']
entry,00000000004010F4,00000000004010F9,"['B8', '01', '00', '00', '00']","['mov eax, 1 ']"
entry,00000000004010F9,00000000004010FB,"['89', 'C1']","['mov ecx, eax ']"
entry,00000000004010FB,0000000000401100,"['83', '7C', '24', '40', '00']","['cmp [rsp+100h+var_C0], 0 ']"
entry,0000000000401100,0000000000401106,"['0F', '8E', '2F', '07', '00', '00']",['jle loc_401835 ']
entry,0000000000401106,0000000000401109,"['45', '33', 'C0']","['xor r8d, r8d ']"
entry,0000000000401109,000000000040110D,"['89', '44', '24', '28']","['mov [rsp+100h+var_D8], eax ']"
entry,000000000040110D,0000000000401111,"['66', '0F', '76', 'C9']","['pcmpeqd xmm1, xmm1 ']"
entry,0000000000401111,0000000000401116,"['4C', '89', '64', '24', '20']","['mov [rsp+100h+var_E0], r12 ']"
entry,0000000000401116,0000000000401119,"['41', '89', 'CC']","['mov r12d, ecx ']"
entry,0000000000401119,000000000040111D,"['4C', '89', '2C', '24']","['mov [rsp+100h+var_100], r13 ']"
entry,000000000040111D,0000000000401121,"['66', '0F', 'EF', 'C0']","['pxor xmm0, xmm0 ']"
entry,0000000000401121,0000000000401126,"['4C', '89', '74', '24', '08']","['mov [rsp+100h+var_F8], r14 ']"
entry,0000000000401126,000000000040112B,"['4C', '89', '7C', '24', '10']","['mov [rsp+100h+var_F0], r15 ']"
entry,000000000040112B,0000000000401130,"['48', '89', '5C', '24', '18']","['mov [rsp+100h+var_E8], rbx ']"
entry,0000000000401130,0000000000401133,"['44', '89', 'C3']","['mov ebx, r8d ']"
gap,0000000000401133,0000000000401138,"['BF', 'C0', 'D0', '60', '00']","['None', 'loc_401133:  ', 'mov edi, offset _ZSt3cin@@GLIBCXX_3_4 ']"
entry,0000000000401138,000000000040113D,"['BE', '10', '46', '61', '00']","['mov esi, offset n ']"
entry,000000000040113D,0000000000401142,"['E8', 'FE', 'FD', 'FF', 'FF']",['call __ZNSirsERi  ']
entry,0000000000401142,0000000000401145,"['48', '89', 'C7']","['mov rdi, rax ']"
entry,0000000000401145,000000000040114A,"['BE', '08', '46', '61', '00']","['mov esi, offset s ']"
entry,000000000040114A,000000000040114F,"['E8', '61', 'FD', 'FF', 'FF']",['call __ZStrsIcSt11char_traitsIcESaIcEERSt13basic_istreamIT_T0_ES7_RSbIS4_S5_T1_E  ']
entry,000000000040114F,0000000000401156,"['48', '8B', '05', 'B2', '34', '21', '00']","['mov rax, cs:s ']"
entry,0000000000401156,0000000000401159,"['45', '33', 'F6']","['xor r14d, r14d ']"
entry,0000000000401159,000000000040115C,"['45', '33', 'ED']","['xor r13d, r13d ']"
entry,000000000040115C,000000000040115F,"['8B', '50', 'E8']","['mov edx, [rax-18h] ']"
entry,000000000040115F,0000000000401161,"['85', 'D2']","['test edx, edx ']"
entry,0000000000401161,0000000000401167,"['89', '15', 'AD', '34', '21', '00']","['mov cs:m, edx ']"
entry,0000000000401167,000000000040116D,"['0F', '8E', '3A', '02', '00', '00']",['jle loc_4013A7 ']
gap,000000000040116D,0000000000401174,"['49', '8B', '8D', '60', 'D4', '60', '00']","['None', 'loc_40116D:  ', 'mov rcx, ds:v[r13] ']"
entry,0000000000401174,000000000040117B,"['49', '89', '8D', '68', 'D4', '60', '00']","['mov ds:qword_60D468[r13], rcx ']"
entry,000000000040117B,000000000040117F,"['83', '78', 'F8', '00']","['cmp dword ptr [rax-8], 0 ']"
entry,000000000040117F,0000000000401181,"['7C', '18']",['jl short loc_401199 ']
entry,0000000000401181,0000000000401186,"['BF', '08', '46', '61', '00']","['mov edi, offset s  ']"
entry,0000000000401186,000000000040118B,"['E8', '25', 'FE', 'FF', 'FF']",['call __ZNSs12_M_leak_hardEv  ']
entry,000000000040118B,0000000000401192,"['48', '8B', '05', '76', '34', '21', '00']","['mov rax, cs:s ']"
entry,0000000000401192,0000000000401199,"['49', '8B', '8D', '68', 'D4', '60', '00']","['mov rcx, ds:qword_60D468[r13] ']"
gap,0000000000401199,000000000040119E,"['42', '0F', 'BE', '1C', '30']","['None', 'loc_401199:  ', 'movsx ebx, byte ptr [rax+r14] ']"
entry,000000000040119E,00000000004011A1,"['83', 'C3', '9F']","['add ebx, 0FFFFFF9Fh ']"
entry,00000000004011A1,00000000004011A8,"['49', '3B', '8D', '70', 'D4', '60', '00']","['cmp rcx, ds:qword_60D470[r13] ']"
entry,00000000004011A8,00000000004011AE,"['0F', '85', '4F', '01', '00', '00']",['jnz loc_4012FD ']
entry,00000000004011AE,00000000004011B1,"['48', '89', 'C8']","['mov rax, rcx ']"
entry,00000000004011B1,00000000004011B8,"['49', '8B', '95', '60', 'D4', '60', '00']","['mov rdx, ds:v[r13] ']"
entry,00000000004011B8,00000000004011BB,"['48', '2B', 'C2']","['sub rax, rdx ']"
