type,start_point,end_point,hex_code,d_code
gap,0000000100000670,0000000100000671,['55'],"['None', 'None', 'None', 'None', 'None', 'public __Z4readv ', '__Z4readv proc near  ', 'None', 'var_18 = dword ptr -18h ', 'var_14 = dword ptr -14h ', 'var_10 = qword ptr -10h ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'None', 'push rbp ']"
entry,0000000100000671,0000000100000674,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000100000674,0000000100000678,"['48', '83', 'EC', '20']","['sub rsp, 20h ']"
entry,0000000100000678,000000010000067F,"['48', '8B', '3D', '91', '19', '00', '00']","['mov rdi, cs:__ZNSt3__13cinE_ptr ']"
entry,000000010000067F,0000000100000686,"['48', '8D', '35', '0A', '4E', '00', '00']","['lea rsi, _n ']"
entry,0000000100000686,000000010000068B,"['E8', '57', '15', '00', '00']",['call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ']
entry,000000010000068B,0000000100000692,"['C7', '45', 'FC', '00', '00', '00', '00']","['mov [rbp+var_4], 0 ']"
entry,0000000100000692,0000000100000696,"['48', '89', '45', 'F0']","['mov [rbp+var_10], rax ']"
gap,0000000100000696,0000000100000699,"['8B', '45', 'FC']","['None', 'loc_100000696:  ', 'mov eax, [rbp+var_4] ']"
entry,0000000100000699,000000010000069F,"['3B', '05', 'F1', '4D', '00', '00']","['cmp eax, cs:_n ']"
entry,000000010000069F,00000001000006A5,"['0F', '8D', '36', '00', '00', '00']",['jge loc_1000006DB ']
entry,00000001000006A5,00000001000006AC,"['48', '8D', '3D', '80', '18', '00', '00']","['lea rdi, aD  ']"
entry,00000001000006AC,00000001000006B3,"['48', '8D', '05', '4D', '1A', '00', '00']","['lea rax, _l ']"
entry,00000001000006B3,00000001000006B7,"['48', '63', '4D', 'FC']","['movsxd rcx, [rbp+var_4] ']"
entry,00000001000006B7,00000001000006BB,"['48', 'C1', 'E1', '02']","['shl rcx, 2 ']"
entry,00000001000006BB,00000001000006BE,"['48', '01', 'C8']","['add rax, rcx ']"
entry,00000001000006BE,00000001000006C1,"['48', '89', 'C6']","['mov rsi, rax ']"
entry,00000001000006C1,00000001000006C3,"['B0', '00']","['mov al, 0 ']"
entry,00000001000006C3,00000001000006C8,"['E8', '80', '15', '00', '00']",['call _scanf ']
entry,00000001000006C8,00000001000006CB,"['89', '45', 'EC']","['mov [rbp+var_14], eax ']"
entry,00000001000006CB,00000001000006CE,"['8B', '45', 'FC']","['mov eax, [rbp+var_4] ']"
entry,00000001000006CE,00000001000006D3,"['05', '01', '00', '00', '00']","['add eax, 1 ']"
entry,00000001000006D3,00000001000006D6,"['89', '45', 'FC']","['mov [rbp+var_4], eax ']"
entry,00000001000006D6,00000001000006DB,"['E9', 'BB', 'FF', 'FF', 'FF']",['jmp loc_100000696 ']
gap,00000001000006DB,00000001000006E2,"['C7', '45', 'F8', '00', '00', '00', '00']","['None', 'None', 'loc_1000006DB:  ', 'mov [rbp+var_8], 0 ']"
gap,00000001000006E2,00000001000006E5,"['8B', '45', 'F8']","['None', 'loc_1000006E2:  ', 'mov eax, [rbp+var_8] ']"
entry,00000001000006E5,00000001000006EB,"['3B', '05', 'A5', '4D', '00', '00']","['cmp eax, cs:_n ']"
entry,00000001000006EB,00000001000006F1,"['0F', '8D', '36', '00', '00', '00']",['jge loc_100000727 ']
entry,00000001000006F1,00000001000006F8,"['48', '8D', '3D', '34', '18', '00', '00']","['lea rdi, aD  ']"
entry,00000001000006F8,00000001000006FF,"['48', '8D', '05', '31', '2B', '00', '00']","['lea rax, _p ']"
entry,00000001000006FF,0000000100000703,"['48', '63', '4D', 'F8']","['movsxd rcx, [rbp+var_8] ']"
entry,0000000100000703,0000000100000707,"['48', 'C1', 'E1', '02']","['shl rcx, 2 ']"
entry,0000000100000707,000000010000070A,"['48', '01', 'C8']","['add rax, rcx ']"
entry,000000010000070A,000000010000070D,"['48', '89', 'C6']","['mov rsi, rax ']"
entry,000000010000070D,000000010000070F,"['B0', '00']","['mov al, 0 ']"
entry,000000010000070F,0000000100000714,"['E8', '34', '15', '00', '00']",['call _scanf ']
entry,0000000100000714,0000000100000717,"['89', '45', 'E8']","['mov [rbp+var_18], eax ']"
entry,0000000100000717,000000010000071A,"['8B', '45', 'F8']","['mov eax, [rbp+var_8] ']"
entry,000000010000071A,000000010000071F,"['05', '01', '00', '00', '00']","['add eax, 1 ']"
entry,000000010000071F,0000000100000722,"['89', '45', 'F8']","['mov [rbp+var_8], eax ']"
entry,0000000100000722,0000000100000727,"['E9', 'BB', 'FF', 'FF', 'FF']",['jmp loc_1000006E2 ']
gap,0000000100000727,000000010000072B,"['48', '83', 'C4', '20']","['None', 'None', 'loc_100000727:  ', 'add rsp, 20h ']"
entry,000000010000072B,000000010000072C,['5D'],['pop rbp ']
entry,000000010000072C,000000010000072D,['C3'],"['retn ', '__Z4readv endp ', 'None', 'None']"
entry,000000010000072D,0000000100000730,"['0F', '1F', '00']",['align 10h ']
gap,0000000100000730,0000000100000731,['55'],"['None', 'None', 'None', 'None', 'None', 'None', 'public __Z3cmpii ', '__Z3cmpii proc near  ', 'None', 'var_1A = byte ptr -1Ah ', 'var_19 = byte ptr -19h ', 'var_18 = qword ptr -18h ', 'var_10 = qword ptr -10h ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'None', 'push rbp ']"
entry,0000000100000731,0000000100000734,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000100000734,0000000100000736,"['B0', '01']","['mov al, 1 ']"
entry,0000000100000736,000000010000073B,"['B9', '64', '00', '00', '00']","['mov ecx, 64h  ']"
entry,000000010000073B,0000000100000742,"['48', '8D', '15', 'EE', '2A', '00', '00']","['lea rdx, _p ']"
entry,0000000100000742,0000000100000749,"['4C', '8D', '05', 'B7', '19', '00', '00']","['lea r8, _l ']"
entry,0000000100000749,000000010000074C,"['89', '7D', 'FC']","['mov [rbp+var_4], edi ']"
entry,000000010000074C,000000010000074F,"['89', '75', 'F8']","['mov [rbp+var_8], esi ']"
entry,000000010000074F,0000000100000753,"['4C', '63', '4D', 'FC']","['movsxd r9, [rbp+var_4] ']"
entry,0000000100000753,000000010000075B,"['43', '69', '34', '88', '10', '27', '00', '00']","['imul esi, [r8+r9*4], 2710h ']"
entry,000000010000075B,000000010000075F,"['4C', '63', '4D', 'F8']","['movsxd r9, [rbp+var_8] ']"
entry,000000010000075F,0000000100000767,"['43', '69', '3C', '88', '64', '00', '00', '00']","['imul edi, [r8+r9*4], 64h  ']"
entry,0000000100000767,000000010000076B,"['4C', '63', '4D', 'FC']","['movsxd r9, [rbp+var_4] ']"
entry,000000010000076B,000000010000076E,"['41', '89', 'CA']","['mov r10d, ecx ']"
entry,000000010000076E,0000000100000772,"['46', '2B', '14', '8A']","['sub r10d, [rdx+r9*4] ']"
entry,0000000100000772,0000000100000776,"['41', '0F', 'AF', 'FA']","['imul edi, r10d ']"
entry,0000000100000776,0000000100000778,"['01', 'FE']","['add esi, edi ']"
entry,0000000100000778,000000010000077B,"['4C', '63', 'CE']","['movsxd r9, esi ']"
entry,000000010000077B,000000010000077F,"['4C', '89', '4D', 'F0']","['mov [rbp+var_10], r9 ']"
entry,000000010000077F,0000000100000783,"['4C', '63', '4D', 'F8']","['movsxd r9, [rbp+var_8] ']"
entry,0000000100000783,000000010000078B,"['43', '69', '34', '88', '10', '27', '00', '00']","['imul esi, [r8+r9*4], 2710h ']"
entry,000000010000078B,000000010000078F,"['4C', '63', '4D', 'FC']","['movsxd r9, [rbp+var_4] ']"
entry,000000010000078F,0000000100000797,"['43', '69', '3C', '88', '64', '00', '00', '00']","['imul edi, [r8+r9*4], 64h  ']"
entry,0000000100000797,000000010000079B,"['4C', '63', '45', 'F8']","['movsxd r8, [rbp+var_8] ']"
entry,000000010000079B,000000010000079F,"['42', '2B', '0C', '82']","['sub ecx, [rdx+r8*4] ']"
entry,000000010000079F,00000001000007A2,"['0F', 'AF', 'F9']","['imul edi, ecx ']"
entry,00000001000007A2,00000001000007A4,"['01', 'FE']","['add esi, edi ']"
entry,00000001000007A4,00000001000007A7,"['48', '63', 'D6']","['movsxd rdx, esi ']"
entry,00000001000007A7,00000001000007AB,"['48', '89', '55', 'E8']","['mov [rbp+var_18], rdx ']"
entry,00000001000007AB,00000001000007AF,"['48', '8B', '55', 'F0']","['mov rdx, [rbp+var_10] ']"
entry,00000001000007AF,00000001000007B3,"['48', '3B', '55', 'E8']","['cmp rdx, [rbp+var_18] ']"
