type,start_point,end_point,hex_code,d_code
gap,0000000000401020,0000000000401022,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000401022,0000000000401025,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000401025,0000000000401026,['5E'],['pop rsi  ']
entry,0000000000401026,0000000000401029,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000401029,000000000040102D,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,000000000040102D,000000000040102E,['50'],['push rax ']
entry,000000000040102E,000000000040102F,['54'],['push rsp  ']
entry,000000000040102F,0000000000401036,"['49', 'C7', 'C0', '40', '60', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000401036,000000000040103D,"['48', 'C7', 'C1', 'B0', '5F', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,000000000040103D,0000000000401044,"['48', 'C7', 'C7', '10', '11', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000401044,0000000000401049,"['E8', '67', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000401049,000000000040104A,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,000000000040104A,000000000040104C,"['90', '90']",['align 4 ']
gap,000000000040104C,0000000000401050,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000401050,0000000000401057,"['48', '8B', '05', '99', '75', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000401057,000000000040105A,"['48', '85', 'C0']","['test rax, rax ']"
entry,000000000040105A,000000000040105C,"['74', '02']",['jz short loc_40105E ']
entry,000000000040105C,000000000040105E,"['FF', 'D0']",['call rax  ']
gap,000000000040105E,0000000000401062,"['48', '83', 'C4', '08']","['None', 'loc_40105E:  ', 'add rsp, 8 ']"
entry,0000000000401062,0000000000401063,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000401063,0000000000401070,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 10h ']
gap,0000000000401070,0000000000401071,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000401071,0000000000401074,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000401074,0000000000401075,['53'],['push rbx ']
entry,0000000000401075,0000000000401079,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
entry,0000000000401079,0000000000401080,"['80', '3D', 'A0', '82', '20', '00', '00']","['cmp cs:completed_6531, 0 ']"
entry,0000000000401080,0000000000401082,"['75', '4B']",['jnz short loc_4010CD ']
entry,0000000000401082,0000000000401087,"['BB', '28', '80', '60', '00']","['mov ebx, offset __DTOR_END__ ']"
entry,0000000000401087,000000000040108E,"['48', '8B', '05', '9A', '82', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,000000000040108E,0000000000401095,"['48', '81', 'EB', '20', '80', '60', '00']","['sub rbx, offset __DTOR_LIST__ ']"
entry,0000000000401095,0000000000401099,"['48', 'C1', 'FB', '03']","['sar rbx, 3 ']"
entry,0000000000401099,000000000040109D,"['48', '83', 'EB', '01']","['sub rbx, 1 ']"
entry,000000000040109D,00000000004010A0,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,00000000004010A0,00000000004010A2,"['73', '24']",['jnb short loc_4010C6 ']
entry,00000000004010A2,00000000004010A8,"['66', '0F', '1F', '44', '00', '00']",['nop word ptr [rax+rax+00h] ']
gap,00000000004010A8,00000000004010AC,"['48', '83', 'C0', '01']","['None', 'loc_4010A8:  ', 'add rax, 1 ']"
entry,00000000004010AC,00000000004010B3,"['48', '89', '05', '75', '82', '20', '00']","['mov cs:dtor_idx_6533, rax ']"
entry,00000000004010B3,00000000004010BA,"['FF', '14', 'C5', '20', '80', '60', '00']",['call ds:__DTOR_LIST__[rax*8] ']
entry,00000000004010BA,00000000004010C1,"['48', '8B', '05', '67', '82', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,00000000004010C1,00000000004010C4,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,00000000004010C4,00000000004010C6,"['72', 'E2']",['jb short loc_4010A8 ']
gap,00000000004010C6,00000000004010CD,"['C6', '05', '53', '82', '20', '00', '01']","['None', 'loc_4010C6:  ', 'mov cs:completed_6531, 1 ']"
gap,00000000004010CD,00000000004010D1,"['48', '83', 'C4', '08']","['None', 'loc_4010CD:  ', 'add rsp, 8 ']"
entry,00000000004010D1,00000000004010D2,['5B'],['pop rbx ']
entry,00000000004010D2,00000000004010D3,['5D'],['pop rbp ']
entry,00000000004010D3,00000000004010D4,['C3'],"['retn ', '__do_global_dtors_aux endp ', 'None', 'None']"
entry,00000000004010D4,00000000004010E0,"['66', '66', '66', '2E', '0F', '1F', '84', '00', '00', '00', '00', '00']",['align 20h ']
gap,00000000004010E0,00000000004010E8,"['48', '83', '3D', '48', '6F', '20', '00', '00']","['None', 'None', 'None', 'None', 'None', 'frame_dummy proc near  ', 'cmp cs:__JCR_LIST__, 0 ']"
entry,00000000004010E8,00000000004010E9,['55'],['push rbp ']
entry,00000000004010E9,00000000004010EC,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,00000000004010EC,00000000004010EE,"['74', '12']",['jz short loc_401100 ']
entry,00000000004010EE,00000000004010F3,"['B8', '00', '00', '00', '00']","['mov eax, 0 ']"
entry,00000000004010F3,00000000004010F6,"['48', '85', 'C0']","['test rax, rax ']"
entry,00000000004010F6,00000000004010F8,"['74', '08']",['jz short loc_401100 ']
entry,00000000004010F8,00000000004010F9,['5D'],['pop rbp ']
entry,00000000004010F9,00000000004010FE,"['BF', '30', '80', '60', '00']","['mov edi, offset __JCR_LIST__ ']"
entry,00000000004010FE,0000000000401100,"['FF', 'E0']",['jmp rax ']
gap,0000000000401100,0000000000401101,['5D'],"['None', 'None', 'loc_401100:  ', 'None', 'pop rbp ']"
entry,0000000000401101,0000000000401102,['C3'],"['retn ', 'frame_dummy endp ', 'None', 'None']"
