type,start_point,end_point,hex_code,d_code
gap,0000000000400930,0000000000400932,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000400932,0000000000400935,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000400935,0000000000400936,['5E'],['pop rsi  ']
entry,0000000000400936,0000000000400939,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000400939,000000000040093D,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,000000000040093D,000000000040093E,['50'],['push rax ']
entry,000000000040093E,000000000040093F,['54'],['push rsp  ']
entry,000000000040093F,0000000000400946,"['49', 'C7', 'C0', '10', '19', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000400946,000000000040094D,"['48', 'C7', 'C1', '80', '18', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,000000000040094D,0000000000400954,"['48', 'C7', 'C7', '20', '0A', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000400954,0000000000400959,"['E8', '17', 'FF', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000400959,000000000040095A,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,000000000040095A,000000000040095C,"['90', '90']",['align 4 ']
gap,000000000040095C,0000000000400960,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000400960,0000000000400967,"['48', '8B', '05', 'E9', '27', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000400967,000000000040096A,"['48', '85', 'C0']","['test rax, rax ']"
entry,000000000040096A,000000000040096C,"['74', '02']",['jz short loc_40096E ']
entry,000000000040096C,000000000040096E,"['FF', 'D0']",['call rax  ']
gap,000000000040096E,0000000000400972,"['48', '83', 'C4', '08']","['None', 'loc_40096E:  ', 'add rsp, 8 ']"
entry,0000000000400972,0000000000400973,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000400973,0000000000400980,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 20h ']
gap,0000000000400980,0000000000400981,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000400981,0000000000400984,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000400984,0000000000400985,['53'],['push rbx ']
entry,0000000000400985,0000000000400989,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
