type,start_point,end_point,hex_code,d_code
gap,00401000,00401001,['55'],"['None', 'None', 'None', 'None', 'sub_401000 proc near  ', 'None', 'var_18 = dword ptr -18h ', 'var_14 = dword ptr -14h ', 'var_C = dword ptr -0Ch ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'None', 'push ebp ']"
entry,00401001,00401003,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401003,00401006,"['83', 'EC', '1C']","['sub esp, 1Ch ']"
entry,00401006,00401007,['53'],['push ebx ']
entry,00401007,00401008,['56'],['push esi ']
entry,00401008,00401009,['57'],['push edi ']
entry,00401009,0040100F,"['8B', '3D', '74', '33', '40', '00']","['mov edi, dword_403374 ']"
entry,0040100F,00401012,"['83', 'CE', 'FF']","['or esi, 0FFFFFFFFh ']"
entry,00401012,00401014,"['33', 'DB']","['xor ebx, ebx ']"
entry,00401014,00401016,"['8B', 'CF']","['mov ecx, edi ']"
entry,00401016,00401019,"['89', '75', 'F8']","['mov [ebp+var_8], esi ']"
entry,00401019,0040101B,"['3B', 'FB']","['cmp edi, ebx ']"
entry,0040101B,0040101D,"['74', '1A']",['jz short loc_401037 ']
entry,0040101D,00401020,"['8D', '49', '00']","['lea ecx, [ecx+0] ']"
gap,00401020,00401025,"['B8', '67', '66', '66', '66']","['None', 'loc_401020:  ', 'mov eax, 66666667h ']"
entry,00401025,00401027,"['F7', 'E9']",['imul ecx ']
entry,00401027,0040102A,"['C1', 'FA', '02']","['sar edx, 2 ']"
entry,0040102A,0040102C,"['8B', 'CA']","['mov ecx, edx ']"
entry,0040102C,0040102F,"['C1', 'E9', '1F']","['shr ecx, 1Fh ']"
entry,0040102F,00401030,['46'],['inc esi ']
entry,00401030,00401032,"['03', 'CA']","['add ecx, edx ']"
entry,00401032,00401034,"['75', 'EC']",['jnz short loc_401020 ']
entry,00401034,00401037,"['89', '75', 'F8']","['mov [ebp+var_8], esi ']"
gap,00401037,0040103C,"['B9', '01', '00', '00', '00']","['None', 'loc_401037:  ', 'mov ecx, 1 ']"
entry,0040103C,0040103F,"['89', '4D', 'FC']","['mov [ebp+var_4], ecx ']"
entry,0040103F,00401041,"['3B', 'F3']","['cmp esi, ebx ']"
entry,00401041,00401043,"['7E', '12']",['jle short loc_401055 ']
entry,00401043,00401045,"['8B', 'C6']","['mov eax, esi ']"
entry,00401045,00401047,"['EB', '03']",['jmp short loc_40104A ']
gap,00401047,0040104A,"['8B', '4D', 'FC']","['None', 'None', 'loc_401047:  ', 'mov ecx, [ebp+var_4] ']"
gap,0040104A,0040104D,"['8D', '0C', '89']","['None', 'loc_40104A:  ', 'lea ecx, [ecx+ecx*4] ']"
entry,0040104D,0040104F,"['03', 'C9']","['add ecx, ecx ']"
entry,0040104F,00401050,['48'],['dec eax ']
entry,00401050,00401053,"['89', '4D', 'FC']","['mov [ebp+var_4], ecx ']"
entry,00401053,00401055,"['75', 'F2']",['jnz short loc_401047 ']
gap,00401055,0040105A,"['68', '80', '77', '8E', '06']","['None', 'loc_401055:  ', 'push offset unk_68E7780  ']"
entry,0040105A,0040105B,['53'],['push ebx  ']
