type,start_point,end_point,hex_code,d_code
gap,00401000,00401001,['55'],"['None', 'None', 'None', 'None', 'None', '_main proc near  ', 'None', 'var_18 = dword ptr -18h ', 'var_14 = dword ptr -14h ', 'var_10 = dword ptr -10h ', 'var_C = dword ptr -0Ch ', 'var_8 = dword ptr -8 ', 'var_4 = dword ptr -4 ', 'argc = dword ptr 8 ', 'argv = dword ptr 0Ch ', 'envp = dword ptr 10h ', 'None', 'push ebp ']"
entry,00401001,00401003,"['8B', 'EC']","['mov ebp, esp ']"
entry,00401003,00401006,"['83', 'E4', 'F8']","['and esp, 0FFFFFFF8h ']"
entry,00401006,00401009,"['83', 'EC', '1C']","['sub esp, 1Ch ']"
entry,00401009,0040100F,"['8B', '0D', '74', '30', '40', '00']","['mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ']"
entry,0040100F,00401010,['53'],['push ebx ']
entry,00401010,00401011,['56'],['push esi ']
entry,00401011,00401012,['57'],['push edi ']
entry,00401012,00401016,"['8D', '44', '24', '18']","['lea eax, [esp+28h+var_10] ']"
entry,00401016,00401017,['50'],['push eax ']
entry,00401017,0040101D,"['FF', '15', '58', '30', '40', '00']",['call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ']
entry,0040101D,00401022,"['B8', '01', '00', '00', '00']","['mov eax, 1 ']"
entry,00401022,00401026,"['89', '44', '24', '14']","['mov [esp+28h+var_14], eax ']"
entry,00401026,0040102A,"['39', '44', '24', '18']","['cmp [esp+28h+var_10], eax ']"
entry,0040102A,00401030,"['0F', '8C', '19', '02', '00', '00']",['jl loc_401249 ']
gap,00401030,00401036,"['8B', '3D', 'D8', '30', '40', '00']","['None', 'loc_401030:  ', 'mov edi, ds:scanf ']"
entry,00401036,0040103B,"['68', 'F8', '81', '40', '00']",['push offset dword_4081F8 ']
entry,0040103B,00401040,"['68', '10', '53', '40', '00']",['push offset dword_405310 ']
entry,00401040,00401045,"['68', '14', '53', '40', '00']",['push offset dword_405314 ']
entry,00401045,0040104A,"['68', '34', '31', '40', '00']",['push offset Format  ']
entry,0040104A,0040104C,"['FF', 'D7']",['call edi  ']
entry,0040104C,00401051,"['A1', '14', '53', '40', '00']","['mov eax, dword_405314 ']"
entry,00401051,00401054,"['83', 'C4', '10']","['add esp, 10h ']"
entry,00401054,00401056,"['33', 'F6']","['xor esi, esi ']"
entry,00401056,00401058,"['85', 'C0']","['test eax, eax ']"
entry,00401058,0040105A,"['7E', '29']",['jle short loc_401083 ']
entry,0040105A,00401060,"['8D', '9B', '00', '00', '00', '00']","['lea ebx, [ebx+0] ']"
gap,00401060,00401067,"['8D', '0C', 'F5', 'A0', '91', '40', '00']","['None', 'loc_401060:  ', 'lea ecx, dword_4091A0[esi*8] ']"
entry,00401067,00401068,['51'],['push ecx ']
entry,00401068,0040106D,"['68', '3C', '31', '40', '00']",['push offset aD  ']
entry,0040106D,0040106F,"['FF', 'D7']",['call edi  ']
entry,0040106F,00401074,"['A1', '14', '53', '40', '00']","['mov eax, dword_405314 ']"
entry,00401074,0040107B,"['89', '34', 'F5', 'A4', '91', '40', '00']","['mov dword_4091A4[esi*8], esi ']"
entry,0040107B,0040107C,['46'],['inc esi ']
entry,0040107C,0040107F,"['83', 'C4', '08']","['add esp, 8 ']"
entry,0040107F,00401081,"['3B', 'F0']","['cmp esi, eax ']"
entry,00401081,00401083,"['7C', 'DD']",['jl short loc_401060 ']
gap,00401083,0040108A,"['8D', '04', 'C5', 'A0', '91', '40', '00']","['None', 'loc_401083:  ', 'lea eax, dword_4091A0[eax*8] ']"
entry,0040108A,0040108C,"['8B', 'D0']","['mov edx, eax ']"
entry,0040108C,00401092,"['81', 'EA', 'A0', '91', '40', '00']","['sub edx, offset dword_4091A0 ']"
entry,00401092,00401095,"['C1', 'FA', '03']","['sar edx, 3 ']"
entry,00401095,00401096,['52'],['push edx ']
entry,00401096,00401097,['50'],['push eax ']
entry,00401097,0040109C,"['68', 'A0', '91', '40', '00']",['push offset dword_4091A0 ']
entry,0040109C,004010A1,"['E8', 'DF', '04', '00', '00']",['call sub_401580 ']
entry,004010A1,004010A7,"['8B', '35', '14', '53', '40', '00']","['mov esi, dword_405314 ']"
entry,004010A7,004010AE,"['8D', '04', 'F5', 'A0', '91', '40', '00']","['lea eax, dword_4091A0[esi*8] ']"
entry,004010AE,004010B3,"['B9', 'A0', '91', '40', '00']","['mov ecx, offset dword_4091A0 ']"
entry,004010B3,004010B6,"['83', 'C4', '0C']","['add esp, 0Ch ']"
entry,004010B6,004010B8,"['3B', 'C1']","['cmp eax, ecx ']"
entry,004010B8,004010BA,"['74', '28']",['jz short loc_4010E2 ']
entry,004010BA,004010C0,"['8D', '9B', '00', '00', '00', '00']","['lea ebx, [ebx+0] ']"
gap,004010C0,004010C3,"['83', 'E8', '08']","['None', 'loc_4010C0:  ', 'sub eax, 8 ']"
entry,004010C3,004010C5,"['3B', 'C8']","['cmp ecx, eax ']"
entry,004010C5,004010C7,"['74', '1B']",['jz short loc_4010E2 ']
entry,004010C7,004010C9,"['8B', '11']","['mov edx, [ecx] ']"
entry,004010C9,004010CB,"['8B', '38']","['mov edi, [eax] ']"
entry,004010CB,004010CD,"['89', '39']","['mov [ecx], edi ']"
entry,004010CD,004010CF,"['89', '10']","['mov [eax], edx ']"
entry,004010CF,004010D2,"['8B', '51', '04']","['mov edx, [ecx+4] ']"
entry,004010D2,004010D5,"['8B', '78', '04']","['mov edi, [eax+4] ']"
entry,004010D5,004010D8,"['89', '79', '04']","['mov [ecx+4], edi ']"
entry,004010D8,004010DB,"['83', 'C1', '08']","['add ecx, 8 ']"
entry,004010DB,004010DE,"['89', '50', '04']","['mov [eax+4], edx ']"
entry,004010DE,004010E0,"['3B', 'C8']","['cmp ecx, eax ']"
entry,004010E0,004010E2,"['75', 'DE']",['jnz short loc_4010C0 ']
gap,004010E2,004010E7,"['B8', '00', '6C', 'CA', '88']","['None', 'loc_4010E2:  ', 'None', 'mov eax, 88CA6C00h ']"
entry,004010E7,004010EC,"['A3', '18', '53', '40', '00']","['mov dword_405318, eax ']"
entry,004010EC,004010F1,"['A3', 'B8', '62', '40', '00']","['mov dword_4062B8, eax ']"
entry,004010F1,004010F3,"['33', 'D2']","['xor edx, edx ']"
entry,004010F3,004010F5,"['33', 'C0']","['xor eax, eax ']"
entry,004010F5,004010FA,"['BB', '01', '00', '00', '00']","['mov ebx, 1 ']"
entry,004010FA,00401104,"['C7', '05', '70', '43', '40', '00', '00', '94', '35', '77']","['mov dword_404370, 77359400h ']"
entry,00401104,00401108,"['89', '44', '24', '10']","['mov [esp+28h+var_18], eax ']"
entry,00401108,0040110A,"['3B', 'F2']","['cmp esi, edx ']"
entry,0040110A,00401110,"['0F', '8E', 'AA', '00', '00', '00']",['jle loc_4011BA ']
entry,00401110,00401112,"['EB', '02']",['jmp short loc_401114 ']
gap,00401112,00401114,"['33', 'D2']","['None', 'None', 'loc_401112:  ', 'xor edx, edx ']"
gap,00401114,0040111B,"['8B', '0C', 'C5', 'A0', '91', '40', '00']","['None', 'loc_401114:  ', 'mov ecx, dword_4091A0[eax*8] ']"
entry,0040111B,0040111D,"['3B', 'DA']","['cmp ebx, edx ']"
entry,0040111D,0040111F,"['7E', '63']",['jle short loc_401182 ']
entry,0040111F,00401123,"['89', '54', '24', '20']","['mov [esp+28h+var_8], edx ']"
entry,00401123,00401127,"['89', '54', '24', '24']","['mov [esp+28h+var_4], edx ']"
gap,00401127,0040112E,"['8B', '04', '95', '18', '53', '40', '00']","['None', 'loc_401127:  ', 'mov eax, dword_405318[edx*4] ']"
entry,0040112E,00401130,"['03', 'C1']","['add eax, ecx ']"
entry,00401130,00401134,"['89', '44', '24', '1C']","['mov [esp+28h+var_C], eax ']"
entry,00401134,00401136,"['85', 'C0']","['test eax, eax ']"
entry,00401136,0040113A,"['8D', '44', '24', '1C']","['lea eax, [esp+28h+var_C] ']"
entry,0040113A,0040113C,"['7F', '04']",['jg short loc_401140 ']
entry,0040113C,00401140,"['8D', '44', '24', '20']","['lea eax, [esp+28h+var_8] ']"
gap,00401140,00401142,"['8B', '30']","['None', 'loc_401140:  ', 'mov esi, [eax] ']"
entry,00401142,00401149,"['8B', '04', '95', 'B8', '62', '40', '00']","['mov eax, dword_4062B8[edx*4] ']"
entry,00401149,0040114B,"['03', 'C1']","['add eax, ecx ']"
entry,0040114B,0040114F,"['89', '44', '24', '1C']","['mov [esp+28h+var_C], eax ']"
entry,0040114F,00401151,"['85', 'C0']","['test eax, eax ']"
entry,00401151,00401155,"['8D', '44', '24', '1C']","['lea eax, [esp+28h+var_C] ']"
entry,00401155,00401157,"['7F', '04']",['jg short loc_40115B ']
entry,00401157,0040115B,"['8D', '44', '24', '24']","['lea eax, [esp+28h+var_4] ']"
gap,0040115B,0040115D,"['8B', '00']","['None', 'loc_40115B:  ', 'mov eax, [eax] ']"
entry,0040115D,00401163,"['3B', '35', '10', '53', '40', '00']","['cmp esi, dword_405310 ']"
entry,00401163,00401165,"['7F', '18']",['jg short loc_40117D ']
entry,00401165,0040116B,"['3B', '05', 'F8', '81', '40', '00']","['cmp eax, dword_4081F8 ']"
entry,0040116B,0040116D,"['7F', '10']",['jg short loc_40117D ']
entry,0040116D,00401170,"['8D', '3C', '08']","['lea edi, [eax+ecx] ']"
entry,00401170,00401177,"['3B', '3C', '95', '70', '43', '40', '00']","['cmp edi, dword_404370[edx*4] ']"
entry,00401177,0040117D,"['0F', '8E', 'D5', '00', '00', '00']",['jle loc_401252 ']
gap,0040117D,0040117E,['42'],"['None', 'loc_40117D:  ', 'None', 'inc edx ']"
entry,0040117E,00401180,"['3B', 'D3']","['cmp edx, ebx ']"
entry,00401180,00401182,"['7C', 'A5']",['jl short loc_401127 ']
gap,00401182,00401187,"['A1', '44', '30', '40', '00']","['None', 'loc_401182:  ', 'mov eax, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z  ']"
entry,00401187,00401188,['50'],['push eax ']
entry,00401188,00401189,['51'],['push ecx ']
entry,00401189,0040118F,"['8B', '0D', '70', '30', '40', '00']","['mov ecx, ds:?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A  ']"
entry,0040118F,00401194,"['68', '40', '31', '40', '00']",['push offset aBad  ']
entry,00401194,00401195,['51'],['push ecx ']
entry,00401195,0040119A,"['E8', '96', '01', '00', '00']",['call sub_401330 ']
entry,0040119A,0040119D,"['83', 'C4', '0C']","['add esp, 0Ch ']"
entry,0040119D,0040119F,"['8B', 'C8']","['mov ecx, eax ']"
entry,0040119F,004011A5,"['FF', '15', '4C', '30', '40', '00']",['call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z  ']
gap,004011A5,004011A9,"['8B', '44', '24', '10']","['None', 'loc_4011A5:  ', 'mov eax, [esp+28h+var_18] ']"
entry,004011A9,004011AA,['40'],['inc eax ']
entry,004011AA,004011AE,"['89', '44', '24', '10']","['mov [esp+28h+var_18], eax ']"
entry,004011AE,004011B4,"['3B', '05', '14', '53', '40', '00']","['cmp eax, dword_405314 ']"
entry,004011B4,004011BA,"['0F', '8C', '58', 'FF', 'FF', 'FF']",['jl loc_401112 ']
gap,004011BA,004011BE,"['8B', '7C', '24', '14']","['None', 'loc_4011BA:  ', 'mov edi, [esp+28h+var_14] ']"
entry,004011BE,004011C4,"['8B', '15', '60', '30', '40', '00']","['mov edx, ds:?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A  ']"
entry,004011C4,004011C9,"['68', '44', '31', '40', '00']",['push offset asc_403144  ']
entry,004011C9,004011CA,['57'],['push edi ']
entry,004011CA,004011CF,"['68', '48', '31', '40', '00']",['push offset aCase  ']
entry,004011CF,004011D0,['52'],['push edx ']
entry,004011D0,004011D5,"['E8', '5B', '01', '00', '00']",['call sub_401330 ']
entry,004011D5,004011D8,"['83', 'C4', '08']","['add esp, 8 ']"
entry,004011D8,004011DA,"['8B', 'C8']","['mov ecx, eax ']"
entry,004011DA,004011E0,"['FF', '15', '50', '30', '40', '00']",['call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z  ']
entry,004011E0,004011E1,['50'],['push eax ']
entry,004011E1,004011E6,"['E8', '4A', '01', '00', '00']",['call sub_401330 ']
entry,004011E6,004011E8,"['33', 'F6']","['xor esi, esi ']"
entry,004011E8,004011EB,"['83', 'C4', '08']","['add esp, 8 ']"
entry,004011EB,004011F1,"['39', '35', '14', '53', '40', '00']","['cmp dword_405314, esi ']"
entry,004011F1,004011F3,"['7E', '34']",['jle short loc_401227 ']
entry,004011F3,004011F5,"['EB', '0B']","['jmp short loc_401200 ', 'None']"
entry,004011F5,00401200,"['8D', 'A4', '24', '00', '00', '00', '00', '8D', '64', '24', '00']",['align 10h ']
gap,00401200,00401207,"['8B', '04', 'B5', '00', '82', '40', '00']","['None', 'loc_401200:  ', 'None', 'mov eax, dword_408200[esi*4] ']"
entry,00401207,0040120E,"['8B', '0C', 'B5', '58', '72', '40', '00']","['mov ecx, dword_407258[esi*4] ']"
