type,start_point,end_point,hex_code,d_code
gap,0000000000401150,0000000000401152,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000401152,0000000000401155,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000401155,0000000000401156,['5E'],['pop rsi  ']
entry,0000000000401156,0000000000401159,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000401159,000000000040115D,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,000000000040115D,000000000040115E,['50'],['push rax ']
entry,000000000040115E,000000000040115F,['54'],['push rsp  ']
entry,000000000040115F,0000000000401166,"['49', 'C7', 'C0', 'F0', '32', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000401166,000000000040116D,"['48', 'C7', 'C1', '60', '32', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,000000000040116D,0000000000401174,"['48', 'C7', 'C7', '40', '12', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000401174,0000000000401179,"['E8', '67', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000401179,000000000040117A,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,000000000040117A,000000000040117C,"['90', '90']",['align 4 ']
gap,000000000040117C,0000000000401180,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000401180,0000000000401187,"['48', '8B', '05', '69', '44', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000401187,000000000040118A,"['48', '85', 'C0']","['test rax, rax ']"
entry,000000000040118A,000000000040118C,"['74', '02']",['jz short loc_40118E ']
entry,000000000040118C,000000000040118E,"['FF', 'D0']",['call rax  ']
gap,000000000040118E,0000000000401192,"['48', '83', 'C4', '08']","['None', 'loc_40118E:  ', 'add rsp, 8 ']"
entry,0000000000401192,0000000000401193,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000401193,00000000004011A0,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 20h ']
gap,00000000004011A0,00000000004011A1,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,00000000004011A1,00000000004011A4,"['48', '89', 'E5']","['mov rbp, rsp ']"
