type,start_point,end_point,hex_code,d_code
gap,0000000000400E30,0000000000400E32,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000400E32,0000000000400E35,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000400E35,0000000000400E36,['5E'],['pop rsi  ']
entry,0000000000400E36,0000000000400E39,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000400E39,0000000000400E3D,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,0000000000400E3D,0000000000400E3E,['50'],['push rax ']
entry,0000000000400E3E,0000000000400E3F,['54'],['push rsp  ']
entry,0000000000400E3F,0000000000400E46,"['49', 'C7', 'C0', '60', '23', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000400E46,0000000000400E4D,"['48', 'C7', 'C1', 'D0', '22', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,0000000000400E4D,0000000000400E54,"['48', 'C7', 'C7', '20', '0F', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000400E54,0000000000400E59,"['E8', '97', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000400E59,0000000000400E5A,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,0000000000400E5A,0000000000400E5C,"['90', '90']",['align 4 ']
gap,0000000000400E5C,0000000000400E60,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000400E60,0000000000400E67,"['48', '8B', '05', '29', '2F', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000400E67,0000000000400E6A,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000400E6A,0000000000400E6C,"['74', '02']",['jz short loc_400E6E ']
entry,0000000000400E6C,0000000000400E6E,"['FF', 'D0']",['call rax  ']
gap,0000000000400E6E,0000000000400E72,"['48', '83', 'C4', '08']","['None', 'loc_400E6E:  ', 'add rsp, 8 ']"
entry,0000000000400E72,0000000000400E73,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000400E73,0000000000400E80,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 20h ']
gap,0000000000400E80,0000000000400E81,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000400E81,0000000000400E84,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000400E84,0000000000400E85,['53'],['push rbx ']
entry,0000000000400E85,0000000000400E89,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
entry,0000000000400E89,0000000000400E90,"['80', '3D', 'C0', '33', '20', '00', '00']","['cmp cs:completed_6531, 0 ']"
entry,0000000000400E90,0000000000400E92,"['75', '4B']",['jnz short loc_400EDD ']
entry,0000000000400E92,0000000000400E97,"['BB', 'D0', '37', '60', '00']","['mov ebx, offset __DTOR_END__ ']"
entry,0000000000400E97,0000000000400E9E,"['48', '8B', '05', 'BA', '33', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,0000000000400E9E,0000000000400EA5,"['48', '81', 'EB', 'C8', '37', '60', '00']","['sub rbx, offset __DTOR_LIST__ ']"
entry,0000000000400EA5,0000000000400EA9,"['48', 'C1', 'FB', '03']","['sar rbx, 3 ']"
entry,0000000000400EA9,0000000000400EAD,"['48', '83', 'EB', '01']","['sub rbx, 1 ']"
entry,0000000000400EAD,0000000000400EB0,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000400EB0,0000000000400EB2,"['73', '24']",['jnb short loc_400ED6 ']
entry,0000000000400EB2,0000000000400EB8,"['66', '0F', '1F', '44', '00', '00']",['nop word ptr [rax+rax+00h] ']
gap,0000000000400EB8,0000000000400EBC,"['48', '83', 'C0', '01']","['None', 'loc_400EB8:  ', 'add rax, 1 ']"
entry,0000000000400EBC,0000000000400EC3,"['48', '89', '05', '95', '33', '20', '00']","['mov cs:dtor_idx_6533, rax ']"
entry,0000000000400EC3,0000000000400ECA,"['FF', '14', 'C5', 'C8', '37', '60', '00']",['call ds:__DTOR_LIST__[rax*8] ']
entry,0000000000400ECA,0000000000400ED1,"['48', '8B', '05', '87', '33', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,0000000000400ED1,0000000000400ED4,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000400ED4,0000000000400ED6,"['72', 'E2']",['jb short loc_400EB8 ']
gap,0000000000400ED6,0000000000400EDD,"['C6', '05', '73', '33', '20', '00', '01']","['None', 'loc_400ED6:  ', 'mov cs:completed_6531, 1 ']"
gap,0000000000400EDD,0000000000400EE1,"['48', '83', 'C4', '08']","['None', 'loc_400EDD:  ', 'add rsp, 8 ']"
entry,0000000000400EE1,0000000000400EE2,['5B'],['pop rbx ']
entry,0000000000400EE2,0000000000400EE3,['5D'],['pop rbp ']
entry,0000000000400EE3,0000000000400EE4,['C3'],"['retn ', '__do_global_dtors_aux endp ', 'None', 'None']"
entry,0000000000400EE4,0000000000400EF0,"['66', '66', '66', '2E', '0F', '1F', '84', '00', '00', '00', '00', '00']",['align 10h ']
gap,0000000000400EF0,0000000000400EF8,"['48', '83', '3D', 'E0', '28', '20', '00', '00']","['None', 'None', 'None', 'None', 'None', 'frame_dummy proc near  ', 'cmp cs:__JCR_LIST__, 0 ']"
entry,0000000000400EF8,0000000000400EF9,['55'],['push rbp ']
entry,0000000000400EF9,0000000000400EFC,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000400EFC,0000000000400EFE,"['74', '12']",['jz short loc_400F10 ']
entry,0000000000400EFE,0000000000400F03,"['B8', '00', '00', '00', '00']","['mov eax, 0 ']"
entry,0000000000400F03,0000000000400F06,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000400F06,0000000000400F08,"['74', '08']",['jz short loc_400F10 ']
entry,0000000000400F08,0000000000400F09,['5D'],['pop rbp ']
entry,0000000000400F09,0000000000400F0E,"['BF', 'D8', '37', '60', '00']","['mov edi, offset __JCR_LIST__ ']"
entry,0000000000400F0E,0000000000400F10,"['FF', 'E0']",['jmp rax ']
gap,0000000000400F10,0000000000400F11,['5D'],"['None', 'None', 'loc_400F10:  ', 'None', 'pop rbp ']"
entry,0000000000400F11,0000000000400F12,['C3'],"['retn ', 'frame_dummy endp ', 'None', 'None']"
entry,0000000000400F12,0000000000400F20,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 20h ']
gap,0000000000400F20,0000000000400F21,['55'],"['None', 'None', 'None', 'None', 'None', 'None', 'public main ', 'main proc near  ', 'None', 'var_80 = qword ptr -80h ', 'var_78 = qword ptr -78h ', 'var_70 = qword ptr -70h ', 'var_68 = dword ptr -68h ', 'var_64 = dword ptr -64h ', 'var_60 = xmmword ptr -60h ', 'None', 'None', 'push rbp ']"
entry,0000000000400F21,0000000000400F24,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000400F24,0000000000400F28,"['48', '83', 'E4', '80']","['and rsp, 0FFFFFFFFFFFFFF80h ']"
entry,0000000000400F28,0000000000400F29,['53'],['push rbx ']
entry,0000000000400F29,0000000000400F2D,"['48', '83', 'EC', '78']","['sub rsp, 78h ']"
entry,0000000000400F2D,0000000000400F37,"['48', 'BE', '00', '00', '00', '00', '00', '00', '00', '00']","['mov rsi, 0 ']"
entry,0000000000400F37,0000000000400F3C,"['BF', '03', '00', '00', '00']","['mov edi, 3 ']"
entry,0000000000400F3C,0000000000400F41,"['E8', '5F', '06', '00', '00']",['call __intel_new_feature_proc_init ']
entry,0000000000400F41,0000000000400F46,"['0F', 'AE', '5C', '24', '18']",['stmxcsr [rsp+80h+var_68] ']
entry,0000000000400F46,0000000000400F4B,"['BF', '20', '40', '60', '00']","['mov edi, offset _ZSt3cin@@GLIBCXX_3_4 ']"
entry,0000000000400F4B,0000000000400F50,"['48', '8D', '74', '24', '1C']","['lea rsi, [rsp+80h+var_64] ']"
entry,0000000000400F50,0000000000400F58,"['81', '4C', '24', '18', '40', '80', '00', '00']","['or [rsp+80h+var_68], 8040h ']"
entry,0000000000400F58,0000000000400F5D,"['0F', 'AE', '54', '24', '18']",['ldmxcsr [rsp+80h+var_68] ']
entry,0000000000400F5D,0000000000400F62,"['E8', '6E', 'FE', 'FF', 'FF']",['call __ZNSirsERi  ']
entry,0000000000400F62,0000000000400F66,"['8B', '74', '24', '1C']","['mov esi, [rsp+80h+var_64] ']"
entry,0000000000400F66,0000000000400F68,"['33', 'DB']","['xor ebx, ebx ']"
entry,0000000000400F68,0000000000400F6A,"['85', 'F6']","['test esi, esi ']"
entry,0000000000400F6A,0000000000400F70,"['0F', '8E', 'A1', '02', '00', '00']",['jle loc_401211 ']
entry,0000000000400F70,0000000000400F75,"['B8', '04', '00', '00', '00']","['mov eax, 4 ']"
entry,0000000000400F75,0000000000400F7A,"['4C', '89', '6C', '24', '08']","['mov [rsp+80h+var_78], r13 ']"
entry,0000000000400F7A,0000000000400F7F,"['4C', '89', '74', '24', '10']","['mov [rsp+80h+var_70], r14 ']"
entry,0000000000400F7F,0000000000400F83,"['4C', '89', '3C', '24']","['mov [rsp+80h+var_80], r15 ']"
entry,0000000000400F83,0000000000400F87,"['66', '0F', '6E', 'C0']","['movd xmm0, eax ']"
entry,0000000000400F87,0000000000400F8C,"['66', '0F', '70', 'C0', '00']","['pshufd xmm0, xmm0, 0 ']"
entry,0000000000400F8C,0000000000400F92,"['66', '0F', '7F', '44', '24', '20']","['movdqa [rsp+80h+var_60], xmm0 ']"
gap,0000000000400F92,0000000000400F97,"['BF', '40', '41', '60', '00']","['None', 'loc_400F92:  ', 'mov edi, offset _ZSt4cerr@@GLIBCXX_3_4 ']"
entry,0000000000400F97,0000000000400F99,"['89', 'DE']","['mov esi, ebx ']"
entry,0000000000400F99,0000000000400F9E,"['E8', 'F2', 'FC', 'FF', 'FF']",['call __ZNSolsEi  ']
entry,0000000000400F9E,0000000000400FA1,"['48', '89', 'C7']","['mov rdi, rax ']"
entry,0000000000400FA1,0000000000400FA6,"['BE', 'C4', '23', '40', '00']","['mov esi, offset unk_4023C4 ']"
entry,0000000000400FA6,0000000000400FAB,"['E8', '95', 'FD', 'FF', 'FF']",['call __ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc  ']
entry,0000000000400FAB,0000000000400FAE,"['48', '89', 'C7']","['mov rdi, rax ']"
entry,0000000000400FAE,0000000000400FB2,"['8B', '74', '24', '1C']","['mov esi, [rsp+80h+var_64] ']"
entry,0000000000400FB2,0000000000400FB7,"['E8', 'D9', 'FC', 'FF', 'FF']",['call __ZNSolsEi  ']
entry,0000000000400FB7,0000000000400FBA,"['48', '89', 'C7']","['mov rdi, rax ']"
entry,0000000000400FBA,0000000000400FBF,"['BE', '20', '00', '00', '00']","['mov esi, 20h  ']"
entry,0000000000400FBF,0000000000400FC4,"['E8', '5C', 'FD', 'FF', 'FF']",['call __ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_c  ']
entry,0000000000400FC4,0000000000400FC7,"['49', '89', 'C5']","['mov r13, rax ']"
entry,0000000000400FC7,0000000000400FCC,"['E8', 'F4', 'FD', 'FF', 'FF']",['call _clock ']
entry,0000000000400FCC,0000000000400FCF,"['4C', '89', 'EF']","['mov rdi, r13 ']"
entry,0000000000400FCF,0000000000400FD2,"['48', '89', 'C6']","['mov rsi, rax ']"
entry,0000000000400FD2,0000000000400FD7,"['E8', '99', 'FC', 'FF', 'FF']",['call __ZNSolsEl  ']
entry,0000000000400FD7,0000000000400FDA,"['48', '89', 'C7']","['mov rdi, rax ']"
entry,0000000000400FDA,0000000000400FDF,"['BE', '00', '0E', '40', '00']","['mov esi, offset __ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_  ']"
entry,0000000000400FDF,0000000000400FE4,"['E8', 'FC', 'FD', 'FF', 'FF']",['call __ZNSolsEPFRSoS_E  ']
entry,0000000000400FE4,0000000000400FE9,"['BF', '20', '40', '60', '00']","['mov edi, offset _ZSt3cin@@GLIBCXX_3_4 ']"
entry,0000000000400FE9,0000000000400FEE,"['BE', '60', '78', '60', '00']","['mov esi, offset n ']"
entry,0000000000400FEE,0000000000400FF3,"['E8', 'DD', 'FD', 'FF', 'FF']",['call __ZNSirsERi  ']
entry,0000000000400FF3,0000000000400FFA,"['44', '8B', '2D', '66', '68', '20', '00']","['mov r13d, cs:n ']"
entry,0000000000400FFA,0000000000400FFD,"['45', '33', 'FF']","['xor r15d, r15d ']"
entry,0000000000400FFD,0000000000401003,"['41', 'BE', '60', '42', '60', '00']","['mov r14d, offset l ']"
entry,0000000000401003,0000000000401006,"['45', '85', 'ED']","['test r13d, r13d ']"
entry,0000000000401006,0000000000401008,"['7E', '25']",['jle short loc_40102D ']
gap,0000000000401008,000000000040100D,"['BF', 'F8', '27', '40', '00']","['None', 'loc_401008:  ', 'mov edi, offset format  ']"
entry,000000000040100D,0000000000401010,"['4C', '89', 'F6']","['mov rsi, r14 ']"
entry,0000000000401010,0000000000401012,"['33', 'C0']","['xor eax, eax ']"
entry,0000000000401012,0000000000401017,"['E8', '39', 'FD', 'FF', 'FF']",['call _scanf ']
entry,0000000000401017,000000000040101E,"['44', '8B', '2D', '42', '68', '20', '00']","['mov r13d, cs:n ']"
entry,000000000040101E,0000000000401021,"['49', 'FF', 'C7']",['inc r15 ']
entry,0000000000401021,0000000000401024,"['4D', '63', 'ED']","['movsxd r13, r13d ']"
entry,0000000000401024,0000000000401028,"['49', '83', 'C6', '04']","['add r14, 4 ']"
entry,0000000000401028,000000000040102B,"['4D', '3B', 'FD']","['cmp r15, r13 ']"
entry,000000000040102B,000000000040102D,"['7C', 'DB']",['jl short loc_401008 ']
