type,start_point,end_point,hex_code,d_code
gap,0000000000400CC0,0000000000400CC2,"['31', 'ED']","['None', 'None', 'None', 'None', 'public _start ', '_start proc near  ', 'xor ebp, ebp ']"
entry,0000000000400CC2,0000000000400CC5,"['49', '89', 'D1']","['mov r9, rdx  ']"
entry,0000000000400CC5,0000000000400CC6,['5E'],['pop rsi  ']
entry,0000000000400CC6,0000000000400CC9,"['48', '89', 'E2']","['mov rdx, rsp  ']"
entry,0000000000400CC9,0000000000400CCD,"['48', '83', 'E4', 'F0']","['and rsp, 0FFFFFFFFFFFFFFF0h ']"
entry,0000000000400CCD,0000000000400CCE,['50'],['push rax ']
entry,0000000000400CCE,0000000000400CCF,['54'],['push rsp  ']
entry,0000000000400CCF,0000000000400CD6,"['49', 'C7', 'C0', '20', '20', '40', '00']","['mov r8, offset __libc_csu_fini  ']"
entry,0000000000400CD6,0000000000400CDD,"['48', 'C7', 'C1', '90', '1F', '40', '00']","['mov rcx, offset __libc_csu_init  ']"
entry,0000000000400CDD,0000000000400CE4,"['48', 'C7', 'C7', 'B0', '0D', '40', '00']","['mov rdi, offset main  ']"
entry,0000000000400CE4,0000000000400CE9,"['E8', 'B7', 'FE', 'FF', 'FF']",['call ___libc_start_main ']
entry,0000000000400CE9,0000000000400CEA,['F4'],"['hlt ', '_start endp ', 'None', 'None']"
entry,0000000000400CEA,0000000000400CEC,"['90', '90']",['align 4 ']
gap,0000000000400CEC,0000000000400CF0,"['48', '83', 'EC', '08']","['None', 'None', 'None', 'None', 'call_gmon_start proc near  ', 'sub rsp, 8 ']"
entry,0000000000400CF0,0000000000400CF7,"['48', '8B', '05', '79', '2C', '20', '00']","['mov rax, cs:__gmon_start___ptr ']"
entry,0000000000400CF7,0000000000400CFA,"['48', '85', 'C0']","['test rax, rax ']"
entry,0000000000400CFA,0000000000400CFC,"['74', '02']",['jz short loc_400CFE ']
entry,0000000000400CFC,0000000000400CFE,"['FF', 'D0']",['call rax  ']
gap,0000000000400CFE,0000000000400D02,"['48', '83', 'C4', '08']","['None', 'loc_400CFE:  ', 'add rsp, 8 ']"
entry,0000000000400D02,0000000000400D03,['C3'],"['retn ', 'call_gmon_start endp ', 'None', 'None']"
entry,0000000000400D03,0000000000400D10,"['90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90', '90']",['align 10h ']
gap,0000000000400D10,0000000000400D11,['55'],"['None', 'None', 'None', 'None', 'None', '__do_global_dtors_aux proc near  ', 'push rbp ']"
entry,0000000000400D11,0000000000400D14,"['48', '89', 'E5']","['mov rbp, rsp ']"
entry,0000000000400D14,0000000000400D15,['53'],['push rbx ']
entry,0000000000400D15,0000000000400D19,"['48', '83', 'EC', '08']","['sub rsp, 8 ']"
entry,0000000000400D19,0000000000400D20,"['80', '3D', 'F0', '30', '20', '00', '00']","['cmp cs:completed_6531, 0 ']"
entry,0000000000400D20,0000000000400D22,"['75', '4B']",['jnz short loc_400D6D ']
entry,0000000000400D22,0000000000400D27,"['BB', 'A8', '33', '60', '00']","['mov ebx, offset __DTOR_END__ ']"
entry,0000000000400D27,0000000000400D2E,"['48', '8B', '05', 'EA', '30', '20', '00']","['mov rax, cs:dtor_idx_6533 ']"
entry,0000000000400D2E,0000000000400D35,"['48', '81', 'EB', 'A0', '33', '60', '00']","['sub rbx, offset __DTOR_LIST__ ']"
entry,0000000000400D35,0000000000400D39,"['48', 'C1', 'FB', '03']","['sar rbx, 3 ']"
entry,0000000000400D39,0000000000400D3D,"['48', '83', 'EB', '01']","['sub rbx, 1 ']"
entry,0000000000400D3D,0000000000400D40,"['48', '39', 'D8']","['cmp rax, rbx ']"
entry,0000000000400D40,0000000000400D42,"['73', '24']",['jnb short loc_400D66 ']
