idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@   | * | sub_401000 endp ",msvc,1
jmp ds:??1exception@std@@UAE@XZ   | * | align 10h ,msvc,1
sub_401000 endp  | * | sub_401010 proc near  ,msvc,1
sub_401010 proc near   | * | push ebp ,msvc,1
push ebp  | * | push esi ,msvc,3
"mov ebp, esp  | * | mov esi, ecx ",msvc,2
"push esi  | * | mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ",msvc,1
"mov esi, ecx  | * | call ds:??1exception@std@@UAE@XZ  ",msvc,1
"mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@   | * | test [ebp+arg_0], 1 ",msvc,1
call ds:??1exception@std@@UAE@XZ   | * | jz short loc_401032 ,msvc,1
"test [ebp+arg_0], 1  | * | push esi ",msvc,1
jz short loc_401032  | * | call ds:__imp_??3@YAXPAX@Z  ,msvc,1
"push esi  | * | add esp, 4 ",msvc,1
call ds:__imp_??3@YAXPAX@Z   | * | loc_401032:  ,msvc,1
"add esp, 4  | * | mov eax, esi ",msvc,1
loc_401032:   | * | pop esi ,msvc,1
"mov eax, esi  | * | pop ebp ",msvc,6
pop esi  | * | retn 4 ,msvc,7
pop ebp  | * | sub_401010 endp ,msvc,1
retn 4  | * | align 10h ,msvc,3
sub_401010 endp  | * | sub_401040 proc near  ,msvc,1
arg_0 = dword ptr 8  | * | arg_8 = dword ptr 10h ,data,1
"push ebp  | * | mov ecx, [ebp+arg_8] ",msvc,1
"mov ebp, esp  | * | push ebx ",msvc,1
"mov ecx, [ebp+arg_8]  | * | mov ebx, [ebp+arg_0] ",msvc,1
"push ebx  | * | mov eax, ebx ",msvc,1
"mov ebx, [ebp+arg_0]  | * | imul eax, 1771h ",msvc,1
"mov eax, ebx  | * | add eax, [ebp+arg_4] ",msvc,1
"imul eax, 1771h  | * | push esi ",msvc,1
"add eax, [ebp+arg_4]  | * | add eax, eax ",msvc,1
"push esi  | * | add eax, eax ",msvc,1
"add eax, eax  | * | push edi ",msvc,1
"add eax, eax  | * | mov edi, dword_422964 ",msvc,1
"push edi  | * | mov dword_116EC4C0[eax], ecx ",msvc,1
"mov edi, dword_422964  | * | mov dword_422970[eax], edi ",msvc,1
"mov dword_116EC4C0[eax], ecx  | * | xor esi, esi ",msvc,1
"mov dword_422970[eax], edi  | * | nop ",msvc,1
"xor esi, esi  | * | loc_401070:  ",msvc,1
"nop  | * | mov edx, ds:dword_404184[esi] ",msvc,1
"loc_401070:   | * | mov eax, ds:dword_40416C[esi] ",msvc,1
"mov edx, ds:dword_404184[esi]  | * | add edx, [ebp+arg_4] ",msvc,1
"mov eax, ds:dword_40416C[esi]  | * | add eax, ebx ",msvc,1
"add edx, [ebp+arg_4]  | * | js short loc_4010C9 ",msvc,1
"add eax, ebx  | * | test edx, edx ",msvc,1
js short loc_4010C9  | * | js short loc_4010C9 ,msvc,1
"test edx, edx  | * | mov ecx, dword_422968 ",msvc,1
"js short loc_4010C9  | * | add ecx, ecx ",msvc,1
"mov ecx, dword_422968  | * | cmp eax, ecx ",msvc,1
"add ecx, ecx  | * | jg short loc_4010C9 ",msvc,1
"cmp eax, ecx  | * | cmp edx, ecx ",msvc,1
jg short loc_4010C9  | * | jg short loc_4010C9 ,msvc,1
"cmp edx, ecx  | * | mov ecx, eax ",msvc,1
"jg short loc_4010C9  | * | imul ecx, 1771h ",msvc,1
"mov ecx, eax  | * | add ecx, edx ",msvc,1
"imul ecx, 1771h  | * | add ecx, ecx ",msvc,1
"add ecx, edx  | * | add ecx, ecx ",msvc,1
"add ecx, ecx  | * | cmp dword_422970[ecx], edi ",msvc,1
