idiom,label,count
"movsx edx, byte ptr [rax+rcx]  | * | sub edx, 30h  ",xcode,1
"add edx, 1Ah  | * | mov rax, [rbp+var_F0] ",xcode,1
"sub edx, 30h   | * | mov [rbp+var_68], rax ",xcode,1
"mov rax, [rbp+var_F0]  | * | mov [rbp+var_70], 0 ",xcode,1
"mov [rbp+var_68], rax  | * | mov rcx, [rbp+var_68] ",xcode,1
"mov [rbp+var_70], 0  | * | mov [rbp+var_60], rcx ",xcode,1
"mov rcx, [rbp+var_68]  | * | mov rcx, [rbp+var_60] ",xcode,2
"mov [rbp+var_60], rcx  | * | mov [rbp+var_58], rcx ",xcode,1
"mov rcx, [rbp+var_60]  | * | mov rsi, [rbp+var_58] ",xcode,1
"mov [rbp+var_58], rcx  | * | mov [rbp+var_50], rsi ",xcode,1
"mov rsi, [rbp+var_58]  | * | mov rsi, [rbp+var_50] ",xcode,1
"mov [rbp+var_50], rsi  | * | mov [rbp+var_48], rsi ",xcode,1
"mov rsi, [rbp+var_50]  | * | mov rsi, [rbp+var_48] ",xcode,1
"mov [rbp+var_48], rsi  | * | movzx edi, byte ptr [rsi] ",xcode,1
"mov rsi, [rbp+var_48]  | * | and edi, 1 ",xcode,1
"movzx edi, byte ptr [rsi]  | * | cmp edi, 0 ",xcode,1
"and edi, 1  | * | mov [rbp+var_104], edx ",xcode,1
"cmp edi, 0  | * | mov [rbp+var_110], rcx ",xcode,1
"mov [rbp+var_104], edx  | * | jz loc_100000F75 ",xcode,1
"mov [rbp+var_110], rcx  | * | mov rax, [rbp+var_110] ",xcode,1
"jz loc_100000F75  | * | mov [rbp+var_18], rax ",xcode,1
"mov rax, [rbp+var_110]  | * | mov rcx, [rbp+var_18] ",xcode,1
"mov [rbp+var_18], rax  | * | mov [rbp+var_10], rcx ",xcode,1
"mov rcx, [rbp+var_18]  | * | mov rcx, [rbp+var_10] ",xcode,2
"mov [rbp+var_10], rcx  | * | mov [rbp+var_8], rcx ",xcode,2
"mov rcx, [rbp+var_10]  | * | mov rcx, [rbp+var_8] ",xcode,2
"mov [rbp+var_8], rcx  | * | mov rcx, [rcx+10h] ",xcode,1
"mov rcx, [rbp+var_8]  | * | mov [rbp+var_118], rcx ",xcode,1
"mov rcx, [rcx+10h]  | * | jmp loc_100000FB2 ",xcode,1
"mov [rbp+var_118], rcx  | * | loc_100000F75:  ",xcode,1
"jmp loc_100000FB2  | * | mov rax, [rbp+var_110] ",xcode,1
"loc_100000F75:   | * | mov [rbp+var_40], rax ",xcode,1
"mov rax, [rbp+var_110]  | * | mov rcx, [rbp+var_40] ",xcode,1
"mov [rbp+var_40], rax  | * | mov [rbp+var_38], rcx ",xcode,1
"mov rcx, [rbp+var_40]  | * | mov rcx, [rbp+var_38] ",xcode,3
"mov [rbp+var_38], rcx  | * | mov [rbp+var_30], rcx ",xcode,2
"mov rcx, [rbp+var_38]  | * | mov rcx, [rbp+var_30] ",xcode,1
"mov [rbp+var_30], rcx  | * | add rcx, 1 ",xcode,1
"mov rcx, [rbp+var_30]  | * | mov [rbp+var_28], rcx ",xcode,1
"add rcx, 1  | * | mov rcx, [rbp+var_28] ",xcode,1
"mov [rbp+var_28], rcx  | * | mov [rbp+var_20], rcx ",xcode,1
"mov rcx, [rbp+var_28]  | * | mov rcx, [rbp+var_20] ",xcode,2
"mov [rbp+var_20], rcx  | * | mov [rbp+var_118], rcx ",xcode,1
"mov rcx, [rbp+var_20]  | * | loc_100000FB2:  ",xcode,1
"mov [rbp+var_118], rcx  | * | mov rax, [rbp+var_118] ",xcode,1
"loc_100000FB2:   | * | lea rdi, _ma ",xcode,1
"mov rax, [rbp+var_118]  | * | lea rsi, [rbp+var_E4] ",xcode,1
"lea rdi, _ma  | * | mov rcx, [rbp+var_70] ",xcode,1
"lea rsi, [rbp+var_E4]  | * | movsx edx, byte ptr [rax+rcx] ",xcode,1
"mov rcx, [rbp+var_70]  | * | sub edx, 61h  ",xcode,1
"movsx edx, byte ptr [rax+rcx]  | * | mov [rbp+var_E4], edx ",xcode,1
"sub edx, 61h   | * | call j___ZNSt3__13mapIiiNS_4lessIiEENS_9allocatorINS_4pairIKiiEEEEEixERS5_  ",xcode,1
"mov [rbp+var_E4], edx  | * | mov edx, [rbp+var_104] ",xcode,1
"call j___ZNSt3__13mapIiiNS_4lessIiEENS_9allocatorINS_4pairIKiiEEEEEixERS5_   | * | mov [rax], edx ",xcode,1
"mov edx, [rbp+var_104]  | * | add rsp, 120h ",xcode,1
"mov [rax], edx  | * | pop rbp ",xcode,1
"add rsp, 120h  | * | retn ",xcode,2
pop rbp  | * | __Z3addNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEES5_ endp ,xcode,1
retn  | * | align 20h ,xcode,18
__Z3addNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEES5_ endp  | * | public __Z4readv ,xcode,1
align 20h  | * | __Z4readv proc near  ,xcode,1
var_1C = dword ptr -1Ch  | * | var_10 = qword ptr -10h ,data,1
"push rbp  | * | sub rsp, 30h ",xcode,2
"mov rbp, rsp  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,1
"sub rsp, 30h  | * | lea rsi, _k ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,2
"lea rsi, _k  | * | lea rdi, aS  ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | lea rsi, _buf ",xcode,1
"lea rdi, aS   | * | mov [rbp+var_18], rax ",xcode,1
"lea rsi, _buf  | * | mov al, 0 ",xcode,1
"mov [rbp+var_18], rax  | * | call _scanf ",xcode,1
