idiom,label,count
"mov [r8], r9  | * | mov [rbp+var_F0], r8 ",xcode,1
"mov r8, [rbp+var_D8]  | * | mov r8, [rbp+var_F0] ",xcode,1
"mov [rbp+var_F0], r8  | * | mov [rbp+var_118], r8 ",xcode,1
"mov r8, [rbp+var_F0]  | * | movsxd r8, [rbp+var_108] ",xcode,1
"mov [rbp+var_118], r8  | * | imul r8, 18h ",xcode,1
"movsxd r8, [rbp+var_108]  | * | add rdi, r8 ",xcode,1
"imul r8, 18h  | * | mov [rbp+var_48], rdi ",xcode,1
"add rdi, r8  | * | mov rdi, [rbp+var_48] ",xcode,1
"mov [rbp+var_48], rdi  | * | mov r8, [rdi+8] ",xcode,1
"mov rdi, [rbp+var_48]  | * | mov [rbp+var_30], rdi ",xcode,1
"mov r8, [rdi+8]  | * | mov [rbp+var_38], r8 ",xcode,1
"mov [rbp+var_30], rdi  | * | mov rdi, [rbp+var_38] ",xcode,1
"mov [rbp+var_38], r8  | * | mov [rbp+var_18], rsi ",xcode,1
"mov rdi, [rbp+var_38]  | * | mov [rbp+var_20], rdi ",xcode,1
"mov [rbp+var_18], rsi  | * | mov rsi, [rbp+var_18] ",xcode,1
"mov [rbp+var_20], rdi  | * | mov rdi, [rbp+var_20] ",xcode,1
"mov rsi, [rbp+var_18]  | * | mov [rbp+var_8], rsi ",xcode,1
"mov rdi, [rbp+var_20]  | * | mov [rbp+var_10], rdi ",xcode,1
"mov [rbp+var_8], rsi  | * | mov rsi, [rbp+var_8] ",xcode,1
"mov [rbp+var_10], rdi  | * | mov rdi, [rbp+var_10] ",xcode,1
"mov rsi, [rbp+var_8]  | * | mov [rsi], rdi ",xcode,1
"mov rdi, [rbp+var_10]  | * | mov rsi, [rbp+var_28] ",xcode,1
"mov [rsi], rdi  | * | mov [rbp+var_40], rsi ",xcode,1
"mov rsi, [rbp+var_28]  | * | mov rsi, [rbp+var_40] ",xcode,1
"mov [rbp+var_40], rsi  | * | mov [rbp+var_120], rsi ",xcode,1
"mov rsi, [rbp+var_40]  | * | mov rsi, [rbp+var_118] ",xcode,1
"mov [rbp+var_120], rsi  | * | mov rdi, [rbp+var_120] ",xcode,1
"mov rsi, [rbp+var_118]  | * | mov [rbp+var_90], rsi ",xcode,1
"mov rdi, [rbp+var_120]  | * | mov [rbp+var_98], rdi ",xcode,1
"mov [rbp+var_90], rsi  | * | mov [rbp+var_88], rcx ",xcode,1
"mov [rbp+var_98], rdi  | * | mov rcx, [rbp+var_88] ",xcode,1
"mov [rbp+var_88], rcx  | * | mov rcx, [rcx] ",xcode,1
"mov rcx, [rbp+var_88]  | * | mov [rbp+var_50], rax ",xcode,1
"mov rcx, [rcx]  | * | mov rax, [rbp+var_50] ",xcode,1
"mov [rbp+var_50], rax  | * | mov rax, [rax] ",xcode,1
"mov rax, [rbp+var_50]  | * | mov [rbp+var_70], rcx ",xcode,1
"mov rax, [rax]  | * | mov [rbp+var_78], rax ",xcode,1
"mov [rbp+var_70], rcx  | * | mov rax, [rbp+var_70] ",xcode,1
"mov [rbp+var_78], rax  | * | mov rcx, [rbp+var_78] ",xcode,1
"mov rax, [rbp+var_70]  | * | mov [rbp+var_58], rax ",xcode,1
"mov rcx, [rbp+var_78]  | * | mov [rbp+var_60], rcx ",xcode,2
"mov [rbp+var_58], rax  | * | mov rdi, [rbp+var_58] ",xcode,1
"mov [rbp+var_60], rcx  | * | mov rsi, [rbp+var_60] ",xcode,1
"mov rdi, [rbp+var_58]  | * | call __ZNSt3__16__sortIRNS_6__lessIiiEEPiEEvT0_S5_T_  ",xcode,1
"mov rsi, [rbp+var_60]  | * | mov [rbp+var_124], 0 ",xcode,1
call __ZNSt3__16__sortIRNS_6__lessIiiEEPiEEvT0_S5_T_   | * | loc_1000013B9:  ,xcode,1
"mov [rbp+var_124], 0  | * | lea rax, _v ",xcode,1
"loc_1000013B9:   | * | mov ecx, [rbp+var_124] ",xcode,1
"lea rax, _v  | * | movsxd rdx, [rbp+var_108] ",xcode,1
"mov ecx, [rbp+var_124]  | * | imul rdx, 18h ",xcode,1
"movsxd rdx, [rbp+var_108]  | * | add rax, rdx ",xcode,1
"imul rdx, 18h  | * | mov [rbp+var_A0], rax ",xcode,1
"add rax, rdx  | * | mov rax, [rbp+var_A0] ",xcode,1
"mov [rbp+var_A0], rax  | * | mov rdx, [rax+8] ",xcode,1
"mov rax, [rbp+var_A0]  | * | mov rax, [rax] ",xcode,1
"mov rdx, [rax+8]  | * | sub rdx, rax ",xcode,1
"mov rax, [rax]  | * | sar rdx, 2 ",xcode,1
"sub rdx, rax  | * | mov esi, edx ",xcode,1
"sar rdx, 2  | * | cmp ecx, esi ",xcode,1
"mov esi, edx  | * | jge loc_100001517 ",xcode,1
"cmp ecx, esi  | * | lea rax, _y ",xcode,1
"jge loc_100001517  | * | lea rcx, _v ",xcode,1
"lea rax, _y  | * | movsxd rdx, [rbp+var_108] ",xcode,1
"lea rcx, _v  | * | imul rdx, 18h ",xcode,1
"movsxd rdx, [rbp+var_108]  | * | add rcx, rdx ",xcode,1
"imul rdx, 18h  | * | movsxd rdx, [rbp+var_124] ",xcode,1
"add rcx, rdx  | * | mov [rbp+var_A8], rcx ",xcode,1
"movsxd rdx, [rbp+var_124]  | * | mov [rbp+var_B0], rdx ",xcode,1
