idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@   | * | sub_401000 endp ",msvc,1
jmp ds:??1exception@std@@UAE@XZ   | * | align 10h ,msvc,1
sub_401000 endp  | * | sub_401010 proc near  ,msvc,1
sub_401010 proc near   | * | push ebp ,msvc,1
push ebp  | * | push esi ,msvc,2
"mov ebp, esp  | * | mov esi, ecx ",msvc,1
"push esi  | * | mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ",msvc,1
"mov esi, ecx  | * | call ds:??1exception@std@@UAE@XZ  ",msvc,1
"mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@   | * | test [ebp+arg_0], 1 ",msvc,1
call ds:??1exception@std@@UAE@XZ   | * | jz short loc_401032 ,msvc,1
"test [ebp+arg_0], 1  | * | push esi ",msvc,1
jz short loc_401032  | * | call ds:__imp_??3@YAXPAX@Z  ,msvc,1
"push esi  | * | add esp, 4 ",msvc,1
call ds:__imp_??3@YAXPAX@Z   | * | loc_401032:  ,msvc,1
"add esp, 4  | * | mov eax, esi ",msvc,1
loc_401032:   | * | pop esi ,msvc,1
"mov eax, esi  | * | pop ebp ",msvc,2
pop esi  | * | retn 4 ,msvc,2
pop ebp  | * | sub_401010 endp ,msvc,1
retn 4  | * | align 10h ,msvc,3
sub_401010 endp  | * | sub_401040 proc near  ,msvc,1
push ebp  | * | push ebx ,msvc,1
"mov ebp, esp  | * | push esi ",msvc,2
"push ebx  | * | mov esi, [ebp+arg_0] ",msvc,1
"push esi  | * | mov ecx, dword_405360[esi*4] ",msvc,1
"mov esi, [ebp+arg_0]  | * | push edi ",msvc,1
"mov ecx, dword_405360[esi*4]  | * | mov edi, [ebp+arg_4] ",msvc,1
"push edi  | * | mov eax, dword_405360[edi*4] ",msvc,1
"mov edi, [ebp+arg_4]  | * | mov edx, 64h  ",msvc,1
"mov eax, dword_405360[edi*4]  | * | sub edx, dword_4043C0[esi*4] ",msvc,1
"mov edx, 64h   | * | mov ebx, ecx ",msvc,1
"sub edx, dword_4043C0[esi*4]  | * | imul ebx, 64h  ",msvc,1
"mov ebx, ecx  | * | imul edx, eax ",msvc,1
"imul ebx, 64h   | * | imul eax, 64h  ",msvc,1
"imul edx, eax  | * | add edx, ebx ",msvc,1
"imul eax, 64h   | * | mov ebx, 64h  ",msvc,1
"add edx, ebx  | * | sub ebx, dword_4043C0[edi*4] ",msvc,1
"mov ebx, 64h   | * | imul ebx, ecx ",msvc,1
"sub ebx, dword_4043C0[edi*4]  | * | add eax, ebx ",msvc,1
"imul ebx, ecx  | * | cmp edx, eax ",msvc,1
"add eax, ebx  | * | jl short loc_401095 ",msvc,1
"cmp edx, eax  | * | jnz short loc_40108E ",msvc,1
"jl short loc_401095  | * | cmp esi, edi ",msvc,1
jnz short loc_40108E  | * | jl short loc_401095 ,msvc,1
"cmp esi, edi  | * | loc_40108E:  ",msvc,1
jl short loc_401095  | * | pop edi ,msvc,1
loc_40108E:   | * | pop esi ,msvc,1
"pop edi  | * | xor eax, eax ",msvc,2
pop esi  | * | pop ebx ,msvc,7
"xor eax, eax  | * | pop ebp ",msvc,1
pop ebx  | * | retn ,msvc,2
pop ebp  | * | loc_401095:  ,msvc,1
retn  | * | pop edi ,msvc,1
loc_401095:   | * | pop esi ,msvc,1
"pop edi  | * | mov eax, 1 ",msvc,1
"mov eax, 1  | * | pop ebp ",msvc,1
pop ebp  | * | sub_401040 endp ,msvc,1
retn  | * | align 10h ,msvc,22
sub_401040 endp  | * | _main proc near  ,msvc,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,4
