idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@   | * | sub_401000 endp ",msvc,1
jmp ds:??1exception@std@@UAE@XZ   | * | align 10h ,msvc,1
sub_401000 endp  | * | sub_401010 proc near  ,msvc,1
sub_401010 proc near   | * | push ebp ,msvc,1
push ebp  | * | push esi ,msvc,2
"mov ebp, esp  | * | mov esi, ecx ",msvc,2
"push esi  | * | mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ",msvc,1
"mov esi, ecx  | * | call ds:??1exception@std@@UAE@XZ  ",msvc,1
"mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@   | * | test [ebp+arg_0], 1 ",msvc,1
call ds:??1exception@std@@UAE@XZ   | * | jz short loc_401032 ,msvc,1
"test [ebp+arg_0], 1  | * | push esi ",msvc,1
jz short loc_401032  | * | call ds:__imp_??3@YAXPAX@Z  ,msvc,1
"push esi  | * | add esp, 4 ",msvc,1
call ds:__imp_??3@YAXPAX@Z   | * | loc_401032:  ,msvc,1
"add esp, 4  | * | mov eax, esi ",msvc,1
loc_401032:   | * | pop esi ,msvc,1
"mov eax, esi  | * | pop ebp ",msvc,6
pop esi  | * | retn 4 ,msvc,7
pop ebp  | * | sub_401010 endp ,msvc,1
retn 4  | * | align 10h ,msvc,8
sub_401010 endp  | * | sub_401040 proc near  ,msvc,1
var_10 = dword ptr -10h  | * | var_4 = dword ptr -4 ,data,4
var_C = dword ptr -0Ch  | * | arg_0 = dword ptr 8 ,data,5
var_4 = dword ptr -4  | * | arg_4 = dword ptr 0Ch ,data,6
arg_0 = dword ptr 8  | * | arg_10 = dword ptr 18h ,data,1
arg_4 = dword ptr 0Ch  | * | arg_14 = dword ptr 1Ch ,data,1
arg_10 = dword ptr 18h  | * | arg_1C = dword ptr 24h ,data,1
arg_14 = dword ptr 1Ch  | * | arg_30 = dword ptr 38h ,data,1
push ebp  | * | push 0FFFFFFFFh ,msvc,7
"mov ebp, esp  | * | push offset SEH_401040 ",msvc,1
"push 0FFFFFFFFh  | * | mov eax, large fs:0 ",msvc,8
push offset SEH_401040  | * | push eax ,msvc,1
"mov eax, large fs:0  | * | push ecx ",msvc,3
push eax  | * | push esi ,msvc,3
push ecx  | * | push edi ,msvc,1
"push esi  | * | mov eax, ___security_cookie ",msvc,5
"push edi  | * | xor eax, ebp ",msvc,4
"mov eax, ___security_cookie  | * | push eax ",msvc,8
"xor eax, ebp  | * | lea eax, [ebp+var_C] ",msvc,7
"push eax  | * | mov large fs:0, eax ",msvc,8
"lea eax, [ebp+var_C]  | * | mov [ebp+var_4], 1 ",msvc,1
"mov large fs:0, eax  | * | mov eax, [ebp+arg_0] ",msvc,1
"mov [ebp+var_4], 1  | * | mov edi, 10h ",msvc,1
"mov eax, [ebp+arg_0]  | * | cmp [ebp+arg_14], edi ",msvc,1
"mov edi, 10h  | * | jnb short loc_40107C ",msvc,1
"cmp [ebp+arg_14], edi  | * | lea eax, [ebp+arg_0] ",msvc,1
jnb short loc_40107C  | * | loc_40107C:  ,msvc,1
"lea eax, [ebp+arg_0]  | * | movsx eax, byte ptr [eax] ",msvc,1
"loc_40107C:   | * | sub eax, 61h  ",msvc,1
"movsx eax, byte ptr [eax]  | * | mov [ebp+var_10], eax ",msvc,1
"sub eax, 61h   | * | mov eax, [ebp+arg_1C] ",msvc,1
"mov [ebp+var_10], eax  | * | cmp [ebp+arg_30], edi ",msvc,1
"mov eax, [ebp+arg_1C]  | * | jnb short loc_401090 ",msvc,1
"cmp [ebp+arg_30], edi  | * | lea eax, [ebp+arg_1C] ",msvc,1
jnb short loc_401090  | * | loc_401090:  ,msvc,1
