idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
var_18 = dword ptr -18h  | * | var_10 = dword ptr -10h ,data,2
var_14 = dword ptr -14h  | * | var_C = dword ptr -0Ch ,data,2
var_10 = dword ptr -10h  | * | var_8 = dword ptr -8 ,data,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,2
var_8 = dword ptr -8  | * | argc = dword ptr 8 ,data,1
var_4 = dword ptr -4  | * | argv = dword ptr 0Ch ,data,1
argc = dword ptr 8  | * | envp = dword ptr 10h ,data,1
"push ebp  | * | and esp, 0FFFFFFF8h ",msvc,1
"mov ebp, esp  | * | sub esp, 24h ",msvc,1
"and esp, 0FFFFFFF8h  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
"sub esp, 24h  | * | push ebx ",msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push esi ",msvc,1
push ebx  | * | push edi ,msvc,3
"push esi  | * | lea eax, [esp+30h+var_C] ",msvc,1
push edi  | * | push eax ,msvc,2
"lea eax, [esp+30h+var_C]  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ",msvc,1
"push eax  | * | mov eax, 1 ",msvc,1
"call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | mov [esp+30h+var_1C], eax ",msvc,1
"mov eax, 1  | * | cmp [esp+30h+var_C], eax ",msvc,1
"mov [esp+30h+var_1C], eax  | * | jl loc_40151A ",msvc,1
"cmp [esp+30h+var_C], eax  | * | loc_401150:  ",msvc,1
jl loc_40151A  | * | push offset dword_406308 ,msvc,1
loc_401150:   | * | push offset Format  ,msvc,1
push offset dword_406308  | * | call ds:scanf ,msvc,1
"push offset Format   | * | mov esi, dword_406308 ",msvc,1
"call ds:scanf  | * | add esp, 8 ",msvc,1
"mov esi, dword_406308  | * | mov [esp+30h+var_14], 0 ",msvc,1
"add esp, 8  | * | test esi, esi ",msvc,1
"mov [esp+30h+var_14], 0  | * | jle short loc_4011BD ",msvc,1
"test esi, esi  | * | mov ebx, offset dword_408254 ",msvc,1
"jle short loc_4011BD  | * | lea ebx, [ebx+0] ",msvc,1
"mov ebx, offset dword_408254  | * | loc_401180:  ",msvc,1
"lea ebx, [ebx+0]  | * | mov ecx, [ebx] ",msvc,1
"loc_401180:   | * | mov edi, [ebx-4] ",msvc,1
"mov ecx, [ebx]  | * | cmp edi, ecx ",msvc,1
"mov edi, [ebx-4]  | * | jz short loc_4011AD ",msvc,1
"cmp edi, ecx  | * | mov eax, ecx ",msvc,1
"jz short loc_4011AD  | * | sub eax, ecx ",msvc,1
"mov eax, ecx  | * | sar eax, 2 ",msvc,2
"sub eax, ecx  | * | lea esi, ds:0[eax*4] ",msvc,1
"sar eax, 2  | * | push esi  ",msvc,1
"lea esi, ds:0[eax*4]  | * | push ecx  ",msvc,1
push esi   | * | push edi  ,msvc,1
push ecx   | * | call ds:memmove ,msvc,1
"push edi   | * | add esp, 0Ch ",msvc,1
"call ds:memmove  | * | add esi, edi ",msvc,1
"add esp, 0Ch  | * | mov [ebx], esi ",msvc,1
"add esi, edi  | * | mov esi, dword_406308 ",msvc,1
"mov [ebx], esi  | * | loc_4011AD:  ",msvc,1
