idiom,label,count
call ds:SetUnhandledExceptionFilter  | * | retn ,msvc,1
"xor eax, eax  | * | sub_4018AA endp ",msvc,1
retn  | * | sub_401976 proc near  ,msvc,1
"sub_4018AA endp  | * | mov edi, edi ",msvc,1
sub_401976 proc near   | * | push esi ,msvc,1
"mov edi, edi  | * | mov eax, offset unk_402230 ",msvc,1
"push esi  | * | mov esi, offset unk_402230 ",msvc,1
"mov eax, offset unk_402230  | * | push edi ",msvc,1
"mov esi, offset unk_402230  | * | mov edi, eax ",msvc,1
"push edi  | * | cmp eax, esi ",msvc,2
"mov edi, eax  | * | jnb short loc_401999 ",msvc,1
"cmp eax, esi  | * | loc_40198A:  ",msvc,1
"jnb short loc_401999  | * | mov eax, [edi] ",msvc,1
"loc_40198A:   | * | test eax, eax ",msvc,1
"mov eax, [edi]  | * | jz short loc_401992 ",msvc,1
"test eax, eax  | * | call eax ",msvc,2
jz short loc_401992  | * | loc_401992:  ,msvc,1
"call eax  | * | add edi, 4 ",msvc,2
"loc_401992:   | * | cmp edi, esi ",msvc,1
"add edi, 4  | * | jb short loc_40198A ",msvc,1
"cmp edi, esi  | * | loc_401999:  ",msvc,1
jb short loc_40198A  | * | pop edi ,msvc,1
loc_401999:   | * | pop esi ,msvc,1
pop edi  | * | retn ,msvc,2
pop esi  | * | sub_401976 endp ,msvc,1
retn  | * | sub_40199C proc near  ,msvc,1
"sub_401976 endp  | * | mov edi, edi ",msvc,1
sub_40199C proc near   | * | push esi ,msvc,1
"mov edi, edi  | * | mov eax, offset unk_402238 ",msvc,1
"push esi  | * | mov esi, offset unk_402238 ",msvc,1
"mov eax, offset unk_402238  | * | push edi ",msvc,1
"mov esi, offset unk_402238  | * | mov edi, eax ",msvc,1
"mov edi, eax  | * | jnb short loc_4019BF ",msvc,1
"cmp eax, esi  | * | loc_4019B0:  ",msvc,1
"jnb short loc_4019BF  | * | mov eax, [edi] ",msvc,1
"loc_4019B0:   | * | test eax, eax ",msvc,1
"mov eax, [edi]  | * | jz short loc_4019B8 ",msvc,1
jz short loc_4019B8  | * | loc_4019B8:  ,msvc,1
"loc_4019B8:   | * | cmp edi, esi ",msvc,1
"add edi, 4  | * | jb short loc_4019B0 ",msvc,1
"cmp edi, esi  | * | loc_4019BF:  ",msvc,1
jb short loc_4019B0  | * | pop edi ,msvc,1
loc_4019BF:   | * | pop esi ,msvc,1
pop esi  | * | sub_40199C endp ,msvc,1
sub_40199C endp  | * | align 10h ,msvc,1
align 10h  | * | align 10h ,msvc,2
align 10h  | * | sub_401BD6 proc near  ,msvc,1
"align 10h  | * | xor eax, eax ",msvc,1
sub_401BD6 proc near   | * | retn ,msvc,1
"xor eax, eax  | * | sub_401BD6 endp ",msvc,1
sub_401BD6 endp  | * | loc_401CB0:  ,msvc,1
"align 10h  | * | mov eax, [ebp+arg_0] ",msvc,1
loc_401CB0:   | * | jmp loc_401270 ,msvc,1
"mov eax, [ebp+arg_0]  | * | SEH_401200:  ",msvc,1
"jmp loc_401270  | * | mov edx, [esp-4+arg_4] ",msvc,2
"SEH_401200:   | * | lea eax, [edx+0Ch] ",msvc,1
"mov edx, [esp-4+arg_4]  | * | mov ecx, [edx-8] ",msvc,1
"lea eax, [edx+0Ch]  | * | xor ecx, eax ",msvc,2
"mov ecx, [edx-8]  | * | call @__security_check_cookie@4  ",msvc,1
"xor ecx, eax  | * | mov eax, offset stru_4022A4 ",msvc,1
call @__security_check_cookie@4   | * | jmp __CxxFrameHandler3 ,msvc,2
"mov eax, offset stru_4022A4  | * | align 10h ",msvc,1
jmp __CxxFrameHandler3  | * | loc_401CE0:  ,msvc,1
"align 10h  | * | lea eax, [ebp+var_20] ",msvc,1
loc_401CE0:   | * | jmp loc_401270 ,msvc,1
"lea eax, [ebp+var_20]  | * | loc_401CE8:  ",msvc,1
"jmp loc_401270  | * | lea eax, [ebp+var_20] ",msvc,1
loc_401CE8:   | * | push eax ,msvc,1
"lea eax, [ebp+var_20]  | * | call sub_401200 ",msvc,1
push eax  | * | retn ,msvc,1
call sub_401200  | * | loc_401CF2:  ,msvc,1
"retn  | * | lea eax, [ebp+var_20] ",msvc,1
loc_401CF2:   | * | jmp loc_401270 ,msvc,1
"lea eax, [ebp+var_20]  | * | SEH_401290:  ",msvc,1
"SEH_401290:   | * | lea eax, [edx+0Ch] ",msvc,1
"mov edx, [esp-4+arg_4]  | * | mov ecx, [edx-24h] ",msvc,1
"mov ecx, [edx-24h]  | * | call @__security_check_cookie@4  ",msvc,1
"xor ecx, eax  | * | mov eax, offset stru_402314 ",msvc,1
"mov eax, offset stru_402314  | * | align 100h ",msvc,1
jmp __CxxFrameHandler3  | * | dd 80h dup(?) ,msvc,1
align 100h  | * | _text ends ,msvc,1
