idiom,label,count
"push offset Str   | * | add esp, 4 ",msvc,2
call ds:puts  | * | pop edi ,msvc,3
"add esp, 4  | * | pop esi ",msvc,3
pop edi  | * | pop ebx ,msvc,4
"pop esi  | * | mov esp, ebp ",msvc,4
pop ebx  | * | pop ebp ,msvc,4
"mov esp, ebp  | * | retn ",msvc,5
pop ebp  | * | loc_401135:  ,msvc,1
"retn  | * | cmp eax, edi ",msvc,1
loc_401135:   | * | jg short loc_40114E ,msvc,1
"cmp eax, edi  | * | loc_401139:  ",msvc,1
jg short loc_40114E  | * | push offset Str  ,msvc,1
loc_401139:   | * | call ds:puts ,msvc,1
pop ebp  | * | loc_40114E:  ,msvc,1
retn  | * | push offset aNo  ,msvc,1
loc_40114E:   | * | call ds:puts ,msvc,1
"push offset aNo   | * | add esp, 4 ",msvc,1
pop ebp  | * | sub_401070 endp ,msvc,1
sub_401070 endp  | * | _main proc near  ,msvc,1
var_4 = dword ptr -4  | * | argv = dword ptr 0Ch ,data,1
argc = dword ptr 8  | * | envp = dword ptr 10h ,data,1
"push ebp  | * | and esp, 0FFFFFFF8h ",msvc,1
"mov ebp, esp  | * | sub esp, 8 ",msvc,1
"and esp, 0FFFFFFF8h  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
"sub esp, 8  | * | push esi ",msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push edi ",msvc,1
"push esi  | * | lea eax, [esp+10h+var_4] ",msvc,1
push edi  | * | push eax ,msvc,1
"lea eax, [esp+10h+var_4]  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ",msvc,1
"push eax  | * | mov eax, [esp+10h+var_4] ",msvc,1
"call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | xor esi, esi ",msvc,1
"mov eax, [esp+10h+var_4]  | * | test eax, eax ",msvc,1
"xor esi, esi  | * | jle short loc_4011EC ",msvc,1
"test eax, eax  | * | mov edi, ds:printf ",msvc,1
"jle short loc_4011EC  | * | lea esp, [esp+0] ",msvc,1
"mov edi, ds:printf  | * | loc_4011A0:  ",msvc,1
"lea esp, [esp+0]  | * | mov ecx, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z  ",msvc,1
loc_4011A0:   | * | push ecx ,msvc,1
"mov ecx, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z   | * | mov ecx, ds:?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A  ",msvc,1
push ecx  | * | push eax ,msvc,1
"mov ecx, ds:?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A   | * | push esi ",msvc,1
push eax  | * | call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z  ,msvc,1
push esi  | * | push eax ,msvc,1
call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z   | * | call sub_401290 ,msvc,1
"push eax  | * | add esp, 4 ",msvc,1
"call sub_401290  | * | mov ecx, eax ",msvc,1
"add esp, 4  | * | call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z  ",msvc,1
"mov ecx, eax  | * | mov ecx, eax ",msvc,1
call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z   | * | call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z  ,msvc,1
"mov ecx, eax  | * | call sub_401000 ",msvc,1
call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z   | * | inc esi ,msvc,1
call sub_401000  | * | push esi ,msvc,1
inc esi  | * | push offset aCaseD  ,msvc,1
push esi  | * | call edi  ,msvc,1
"push offset aCaseD   | * | add esp, 8 ",msvc,1
call edi   | * | call sub_401070 ,msvc,1
"add esp, 8  | * | mov eax, [esp+10h+var_4] ",msvc,1
"call sub_401070  | * | cmp esi, eax ",msvc,1
"mov eax, [esp+10h+var_4]  | * | jl short loc_4011A0 ",msvc,1
"cmp esi, eax  | * | loc_4011EC:  ",msvc,1
jl short loc_4011A0  | * | pop edi ,msvc,1
"loc_4011EC:   | * | xor eax, eax ",msvc,1
pop edi  | * | pop esi ,msvc,1
"xor eax, eax  | * | mov esp, ebp ",msvc,1
pop esi  | * | pop ebp ,msvc,2
pop ebp  | * | _main endp ,msvc,1
_main endp  | * | sub_401200 proc near  ,msvc,1
var_C = dword ptr -0Ch  | * | arg_0 = dword ptr 8 ,data,2
var_4 = dword ptr -4  | * | arg_4 = dword ptr 0Ch ,data,2
push ebp  | * | push 0FFFFFFFFh ,msvc,2
"mov ebp, esp  | * | push offset SEH_401200 ",msvc,1
"push 0FFFFFFFFh  | * | mov eax, large fs:0 ",msvc,2
push offset SEH_401200  | * | push eax ,msvc,1
"mov eax, large fs:0  | * | push esi ",msvc,1
"push eax  | * | mov eax, ___security_cookie ",msvc,1
"push esi  | * | xor eax, ebp ",msvc,1
"mov eax, ___security_cookie  | * | push eax ",msvc,2
"xor eax, ebp  | * | lea eax, [ebp+var_C] ",msvc,2
"push eax  | * | mov large fs:0, eax ",msvc,2
"lea eax, [ebp+var_C]  | * | mov esi, [ebp+arg_0] ",msvc,1
"mov large fs:0, eax  | * | mov [ebp+var_4], 0 ",msvc,1
"mov esi, [ebp+arg_0]  | * | call ds:?uncaught_exception@std@@YA_NXZ  ",msvc,1
"mov [ebp+var_4], 0  | * | test al, al ",msvc,1
call ds:?uncaught_exception@std@@YA_NXZ   | * | jnz short loc_40123F ,msvc,1
"test al, al  | * | mov ecx, [esi] ",msvc,1
jnz short loc_40123F  | * | call ds:?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ  ,msvc,1
"mov ecx, [esi]  | * | loc_40123F:  ",msvc,1
"call ds:?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ   | * | mov [ebp+var_4], 0FFFFFFFFh ",msvc,2
"loc_40123F:   | * | mov eax, [esi] ",msvc,1
"mov [ebp+var_4], 0FFFFFFFFh  | * | mov ecx, [eax] ",msvc,1
"mov eax, [esi]  | * | mov edx, [ecx+4] ",msvc,1
"mov ecx, [eax]  | * | mov eax, [edx+eax+38h] ",msvc,2
"mov edx, [ecx+4]  | * | test eax, eax ",msvc,2
"mov eax, [edx+eax+38h]  | * | jz short loc_40125E ",msvc,1
"test eax, eax  | * | mov edx, [eax] ",msvc,2
"jz short loc_40125E  | * | mov ecx, eax ",msvc,1
"mov edx, [eax]  | * | mov eax, [edx+8] ",msvc,2
"mov ecx, eax  | * | call eax ",msvc,1
"mov eax, [edx+8]  | * | loc_40125E:  ",msvc,1
"call eax  | * | mov ecx, [ebp+var_C] ",msvc,1
"loc_40125E:   | * | mov large fs:0, ecx ",msvc,1
"mov ecx, [ebp+var_C]  | * | pop ecx ",msvc,2
"mov large fs:0, ecx  | * | pop esi ",msvc,1
"pop ecx  | * | mov esp, ebp ",msvc,1
"mov esp, ebp  | * | retn 4 ",msvc,1
pop ebp  | * | sub_401200 endp ,msvc,1
retn 4  | * | loc_401270:  ,msvc,1
"sub_401200 endp  | * | mov eax, [eax] ",msvc,1
"loc_401270:   | * | mov ecx, [eax] ",msvc,1
"mov eax, [eax]  | * | mov edx, [ecx+4] ",msvc,1
"mov eax, [edx+eax+38h]  | * | jz short locret_401288 ",msvc,1
"jz short locret_401288  | * | mov ecx, eax ",msvc,1
"mov ecx, eax  | * | jmp eax ",msvc,1
"mov eax, [edx+8]  | * | locret_401288:  ",msvc,1
jmp eax  | * | retn ,msvc,1
locret_401288:   | * | align 10h ,msvc,1
retn  | * | sub_401290 proc near  ,msvc,1
var_20 = dword ptr -20h  | * | var_18 = dword ptr -18h ,data,1
var_1C = byte ptr -1Ch  | * | var_14 = dword ptr -14h ,data,1
var_18 = dword ptr -18h  | * | var_10 = dword ptr -10h ,data,1
var_14 = dword ptr -14h  | * | var_C = dword ptr -0Ch ,data,1
var_10 = dword ptr -10h  | * | var_4 = dword ptr -4 ,data,1
"mov ebp, esp  | * | push offset SEH_401290 ",msvc,1
push offset SEH_401290  | * | push eax ,msvc,1
"mov eax, large fs:0  | * | sub esp, 14h ",msvc,1
push eax  | * | push ebx ,msvc,1
"sub esp, 14h  | * | push esi ",msvc,1
"push esi  | * | mov eax, ___security_cookie ",msvc,1
"push edi  | * | xor eax, ebp ",msvc,1
"lea eax, [ebp+var_C]  | * | mov [ebp+var_10], esp ",msvc,1
"mov large fs:0, eax  | * | mov esi, [ebp+arg_0] ",msvc,1
"mov [ebp+var_10], esp  | * | mov eax, [esi] ",msvc,1
"mov esi, [ebp+arg_0]  | * | mov edx, [eax+4] ",msvc,1
"mov eax, [esi]  | * | mov ecx, [edx+esi+24h] ",msvc,1
"mov edx, [eax+4]  | * | mov eax, [edx+esi+20h] ",msvc,1
"mov ecx, [edx+esi+24h]  | * | xor ebx, ebx ",msvc,1
"mov eax, [edx+esi+20h]  | * | mov [ebp+var_14], ebx ",msvc,1
"xor ebx, ebx  | * | cmp ecx, ebx ",msvc,1
"mov [ebp+var_14], ebx  | * | jl short loc_4012F0 ",msvc,1
"cmp ecx, ebx  | * | jg short loc_4012E5 ",msvc,2
"jl short loc_4012F0  | * | cmp eax, ebx ",msvc,1
jg short loc_4012E5  | * | jbe short loc_4012F0 ,msvc,2
"cmp eax, ebx  | * | cmp ecx, ebx ",msvc,1
jbe short loc_4012F0  | * | jl short loc_4012F0 ,msvc,1
"jl short loc_4012F0  | * | cmp eax, 1 ",msvc,1
"cmp eax, 1  | * | loc_4012E5:  ",msvc,1
"jbe short loc_4012F0  | * | sub eax, 1 ",msvc,1
"loc_4012E5:   | * | sbb ecx, ebx ",msvc,1
"sub eax, 1  | * | mov edi, eax ",msvc,1
"sbb ecx, ebx  | * | mov ebx, ecx ",msvc,1
"mov edi, eax  | * | jmp short loc_4012F2 ",msvc,1
"mov ebx, ecx  | * | loc_4012F0:  ",msvc,1
"jmp short loc_4012F2  | * | xor edi, edi ",msvc,1
loc_4012F0:   | * | loc_4012F2:  ,msvc,1
"xor edi, edi  | * | mov ecx, [edx+esi+38h] ",msvc,1
"loc_4012F2:   | * | mov [ebp+var_20], esi ",msvc,1
"mov ecx, [edx+esi+38h]  | * | test ecx, ecx ",msvc,1
"mov [ebp+var_20], esi  | * | jz short loc_401304 ",msvc,1
"test ecx, ecx  | * | mov edx, [ecx] ",msvc,2
"jz short loc_401304  | * | mov eax, [edx+4] ",msvc,1
"mov edx, [ecx]  | * | call eax ",msvc,2
"mov eax, [edx+4]  | * | loc_401304:  ",msvc,1
"call eax  | * | mov [ebp+var_4], 0 ",msvc,1
"loc_401304:   | * | mov ecx, [esi] ",msvc,1
"mov [ebp+var_4], 0  | * | mov eax, [ecx+4] ",msvc,1
"mov ecx, [esi]  | * | cmp dword ptr [eax+esi+0Ch], 0 ",msvc,1
"mov eax, [ecx+4]  | * | jnz short loc_401327 ",msvc,1
"cmp dword ptr [eax+esi+0Ch], 0  | * | mov eax, [eax+esi+3Ch] ",msvc,1
"jnz short loc_401327  | * | test eax, eax ",msvc,1
"mov eax, [eax+esi+3Ch]  | * | jz short loc_401327 ",msvc,1
"test eax, eax  | * | mov ecx, eax ",msvc,1
jz short loc_401327  | * | call ds:?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ  ,msvc,1
