idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"mov rdx, [rbp+var_60]  | * | mov [rbp+var_30], rcx ",xcode,1
"mov [rbp+var_28], rax  | * | mov [rbp+var_38], rdx ",xcode,1
"mov [rbp+var_30], rcx  | * | mov rax, [rbp+var_30] ",xcode,1
"mov [rbp+var_38], rdx  | * | mov esi, [rax] ",xcode,1
"mov rax, [rbp+var_30]  | * | mov rax, [rbp+var_38] ",xcode,1
"mov esi, [rax]  | * | cmp esi, [rax] ",xcode,2
"mov rax, [rbp+var_38]  | * | jnz loc_100000D59 ",xcode,1
"cmp esi, [rax]  | * | mov rax, [rbp+var_48] ",xcode,1
"jnz loc_100000D59  | * | mov [rbp+var_40], rax ",xcode,1
"mov rax, [rbp+var_48]  | * | jmp loc_100000D73 ",xcode,1
"mov [rbp+var_40], rax  | * | loc_100000D59:  ",xcode,1
"jmp loc_100000D73  | * | mov rax, [rbp+var_60] ",xcode,1
"loc_100000D59:   | * | mov [rbp+var_48], rax ",xcode,1
"mov rax, [rbp+var_60]  | * | jmp loc_100000D0A ",xcode,1
"mov [rbp+var_48], rax  | * | loc_100000D66:  ",xcode,1
jmp loc_100000D0A  | * | jmp $+5 ,xcode,1
loc_100000D66:   | * | loc_100000D6B:  ,xcode,1
"jmp $+5  | * | mov rax, [rbp+var_50] ",xcode,1
"loc_100000D6B:   | * | mov [rbp+var_40], rax ",xcode,1
"mov rax, [rbp+var_50]  | * | loc_100000D73:  ",xcode,1
"mov [rbp+var_40], rax  | * | mov rax, [rbp+var_40] ",xcode,1
"loc_100000D73:   | * | mov [rbp+var_68], rax ",xcode,1
"mov rax, [rbp+var_40]  | * | mov rax, [rbp+var_68] ",xcode,1
"mov [rbp+var_68], rax  | * | cmp rax, [rbp+var_70] ",xcode,1
"mov rax, [rbp+var_68]  | * | jz loc_100000E17 ",xcode,1
"cmp rax, [rbp+var_70]  | * | mov rax, [rbp+var_68] ",xcode,1
"jz loc_100000E17  | * | mov [rbp+var_80], rax ",xcode,1
"mov rax, [rbp+var_68]  | * | mov rax, [rbp+var_80] ",xcode,1
"mov [rbp+var_80], rax  | * | add rax, 4 ",xcode,1
"mov rax, [rbp+var_80]  | * | mov [rbp+var_80], rax ",xcode,2
"add rax, 4  | * | loc_100000D9F:  ",xcode,1
"mov [rbp+var_80], rax  | * | mov rax, [rbp+var_80] ",xcode,1
"loc_100000D9F:   | * | add rax, 4 ",xcode,1
"add rax, 4  | * | cmp rax, [rbp+var_70] ",xcode,1
"mov [rbp+var_80], rax  | * | jz loc_100000E09 ",xcode,1
"cmp rax, [rbp+var_70]  | * | lea rax, [rbp+var_78] ",xcode,1
"jz loc_100000E09  | * | mov rcx, [rbp+var_68] ",xcode,1
"lea rax, [rbp+var_78]  | * | mov rdx, [rbp+var_80] ",xcode,1
"mov rcx, [rbp+var_68]  | * | mov [rbp+var_8], rax ",xcode,1
"mov rdx, [rbp+var_80]  | * | mov [rbp+var_10], rcx ",xcode,1
"mov [rbp+var_8], rax  | * | mov [rbp+var_18], rdx ",xcode,1
"mov [rbp+var_10], rcx  | * | mov rax, [rbp+var_10] ",xcode,1
"mov [rbp+var_18], rdx  | * | mov esi, [rax] ",xcode,1
"mov rax, [rbp+var_10]  | * | mov rax, [rbp+var_18] ",xcode,1
"mov rax, [rbp+var_18]  | * | jz loc_100000E04 ",xcode,1
"cmp esi, [rax]  | * | mov rax, [rbp+var_80] ",xcode,1
"jz loc_100000E04  | * | mov [rbp+var_20], rax ",xcode,1
"mov rax, [rbp+var_80]  | * | mov rax, [rbp+var_20] ",xcode,1
"mov [rbp+var_20], rax  | * | mov ecx, [rax] ",xcode,1
"mov rax, [rbp+var_20]  | * | mov rax, [rbp+var_68] ",xcode,1
"mov ecx, [rax]  | * | mov rdx, rax ",xcode,1
"mov rax, [rbp+var_68]  | * | add rdx, 4 ",xcode,1
"mov rdx, rax  | * | mov [rbp+var_68], rdx ",xcode,1
"add rdx, 4  | * | mov [rax+4], ecx ",xcode,1
"mov [rbp+var_68], rdx  | * | loc_100000E04:  ",xcode,1
"mov [rax+4], ecx  | * | jmp loc_100000D9F ",xcode,1
loc_100000E04:   | * | loc_100000E09:  ,xcode,1
"jmp loc_100000D9F  | * | mov rax, [rbp+var_68] ",xcode,1
"loc_100000E09:   | * | add rax, 4 ",xcode,1
"mov rax, [rbp+var_68]  | * | mov [rbp+var_68], rax ",xcode,1
"add rax, 4  | * | loc_100000E17:  ",xcode,1
"mov [rbp+var_68], rax  | * | mov rax, [rbp+var_68] ",xcode,1
loc_100000E17:   | * | pop rbp ,xcode,1
"mov rax, [rbp+var_68]  | * | retn ",xcode,1
pop rbp  | * | __ZNSt3__16uniqueIPiNS_10__equal_toIiiEEEET_S4_S4_T0_ endp ,xcode,1
retn  | * | __text ends ,xcode,1
