idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"jg loc_100000AE9  | * | movsxd rcx, [rbp+var_74] ",xcode,1
"lea rax, _u  | * | test byte ptr [rax+rcx], 1 ",xcode,1
"movsxd rcx, [rbp+var_74]  | * | jz loc_100000952 ",xcode,1
"test byte ptr [rax+rcx], 1  | * | jmp loc_100000AD9 ",xcode,1
jz loc_100000952  | * | loc_100000952:  ,xcode,1
"jmp loc_100000AD9  | * | mov eax, [rbp+var_74] ",xcode,1
"loc_100000952:   | * | mov [rbp+var_78], eax ",xcode,1
"mov eax, [rbp+var_74]  | * | mov [rbp+var_7C], 0 ",xcode,1
"mov [rbp+var_78], eax  | * | mov [rbp+var_80], 0 ",xcode,1
"mov [rbp+var_7C], 0  | * | loc_100000966:  ",xcode,1
"mov [rbp+var_80], 0  | * | mov eax, [rbp+var_80] ",xcode,1
"loc_100000966:   | * | mov ecx, [rbp+var_5C] ",xcode,1
"mov eax, [rbp+var_80]  | * | add ecx, 1 ",xcode,1
"mov ecx, [rbp+var_5C]  | * | cmp eax, ecx ",xcode,1
"add ecx, 1  | * | jge loc_100000A17 ",xcode,1
"cmp eax, ecx  | * | lea rax, _u ",xcode,1
"jge loc_100000A17  | * | movsxd rcx, [rbp+var_78] ",xcode,1
"lea rax, _u  | * | mov byte ptr [rax+rcx], 1 ",xcode,1
"movsxd rcx, [rbp+var_78]  | * | mov edx, [rbp+var_78] ",xcode,1
"mov byte ptr [rax+rcx], 1  | * | cmp edx, [rbp+var_60] ",xcode,1
"mov edx, [rbp+var_78]  | * | jl loc_1000009D1 ",xcode,1
"cmp edx, [rbp+var_60]  | * | mov eax, cs:_a ",xcode,1
"jl loc_1000009D1  | * | cmp eax, [rbp+var_78] ",xcode,1
"mov eax, cs:_a  | * | jg loc_1000009D1 ",xcode,1
"cmp eax, [rbp+var_78]  | * | mov eax, [rbp+var_78] ",xcode,1
"jg loc_1000009D1  | * | cmp eax, cs:_b ",xcode,1
"mov eax, [rbp+var_78]  | * | jg loc_1000009D1 ",xcode,1
"cmp eax, cs:_b  | * | lea rax, _v ",xcode,1
"jg loc_1000009D1  | * | mov ecx, [rbp+var_78] ",xcode,1
"lea rax, _v  | * | mov edx, [rbp+var_7C] ",xcode,1
"mov ecx, [rbp+var_78]  | * | mov esi, edx ",xcode,1
"mov edx, [rbp+var_7C]  | * | add esi, 1 ",xcode,1
"mov esi, edx  | * | mov [rbp+var_7C], esi ",xcode,1
"add esi, 1  | * | movsxd rdi, edx ",xcode,1
"mov [rbp+var_7C], esi  | * | mov [rax+rdi*4], ecx ",xcode,1
"movsxd rdi, edx  | * | loc_1000009D1:  ",xcode,1
"mov [rax+rdi*4], ecx  | * | mov eax, 0Ah ",xcode,1
"loc_1000009D1:   | * | mov ecx, [rbp+var_78] ",xcode,1
"mov eax, 0Ah  | * | mov [rbp+var_84], eax ",xcode,1
"mov ecx, [rbp+var_78]  | * | mov eax, ecx ",xcode,1
