idiom,label,count
var_280 = qword ptr -280h  | * | var_270 = qword ptr -270h ,data,7
var_278 = qword ptr -278h  | * | var_268 = qword ptr -268h ,data,8
var_270 = qword ptr -270h  | * | var_258 = qword ptr -258h ,data,1
var_268 = qword ptr -268h  | * | var_250 = qword ptr -250h ,data,1
var_258 = qword ptr -258h  | * | var_248 = byte ptr -248h ,data,1
var_250 = qword ptr -250h  | * | var_240 = qword ptr -240h ,data,8
var_248 = byte ptr -248h  | * | var_238 = qword ptr -238h ,data,1
var_240 = qword ptr -240h  | * | var_230 = qword ptr -230h ,data,9
var_238 = qword ptr -238h  | * | var_228 = qword ptr -228h ,data,7
var_230 = qword ptr -230h  | * | var_220 = qword ptr -220h ,data,8
var_228 = qword ptr -228h  | * | var_218 = qword ptr -218h ,data,7
var_220 = qword ptr -220h  | * | var_210 = qword ptr -210h ,data,8
var_218 = qword ptr -218h  | * | var_208 = qword ptr -208h ,data,8
var_210 = qword ptr -210h  | * | var_200 = qword ptr -200h ,data,6
var_208 = qword ptr -208h  | * | var_1F8 = qword ptr -1F8h ,data,8
var_200 = qword ptr -200h  | * | var_1F0 = qword ptr -1F0h ,data,6
var_1F8 = qword ptr -1F8h  | * | var_1E8 = qword ptr -1E8h ,data,8
var_1F0 = qword ptr -1F0h  | * | var_1E0 = qword ptr -1E0h ,data,9
var_1E8 = qword ptr -1E8h  | * | var_1D8 = qword ptr -1D8h ,data,7
var_1E0 = qword ptr -1E0h  | * | var_1D0 = qword ptr -1D0h ,data,8
var_1D8 = qword ptr -1D8h  | * | var_1C8 = qword ptr -1C8h ,data,8
var_1D0 = qword ptr -1D0h  | * | var_1C0 = qword ptr -1C0h ,data,6
var_1C8 = qword ptr -1C8h  | * | var_1B8 = qword ptr -1B8h ,data,10
var_1C0 = qword ptr -1C0h  | * | var_1B0 = qword ptr -1B0h ,data,6
var_1B8 = qword ptr -1B8h  | * | var_1A8 = qword ptr -1A8h ,data,9
var_1B0 = qword ptr -1B0h  | * | var_1A0 = qword ptr -1A0h ,data,9
var_1A8 = qword ptr -1A8h  | * | var_198 = qword ptr -198h ,data,10
var_1A0 = qword ptr -1A0h  | * | var_190 = qword ptr -190h ,data,11
var_198 = qword ptr -198h  | * | var_188 = qword ptr -188h ,data,12
var_190 = qword ptr -190h  | * | var_180 = qword ptr -180h ,data,11
var_188 = qword ptr -188h  | * | var_170 = qword ptr -170h ,data,1
var_180 = qword ptr -180h  | * | var_168 = qword ptr -168h ,data,1
var_170 = qword ptr -170h  | * | var_160 = byte ptr -160h ,data,1
var_168 = qword ptr -168h  | * | var_158 = qword ptr -158h ,data,13
var_160 = byte ptr -160h  | * | var_150 = qword ptr -150h ,data,1
var_158 = qword ptr -158h  | * | var_148 = qword ptr -148h ,data,13
var_150 = qword ptr -150h  | * | var_140 = qword ptr -140h ,data,13
var_148 = qword ptr -148h  | * | var_138 = qword ptr -138h ,data,10
var_140 = qword ptr -140h  | * | var_128 = qword ptr -128h ,data,1
var_138 = qword ptr -138h  | * | var_120 = qword ptr -120h ,data,1
var_128 = qword ptr -128h  | * | var_118 = byte ptr -118h ,data,1
var_120 = qword ptr -120h  | * | var_110 = qword ptr -110h ,data,11
var_118 = byte ptr -118h  | * | var_108 = qword ptr -108h ,data,1
var_110 = qword ptr -110h  | * | var_100 = qword ptr -100h ,data,14
var_108 = qword ptr -108h  | * | var_F8 = qword ptr -0F8h ,data,12
var_100 = qword ptr -100h  | * | var_F0 = qword ptr -0F0h ,data,12
var_F8 = qword ptr -0F8h  | * | var_E0 = qword ptr -0E0h ,data,2
var_F0 = qword ptr -0F0h  | * | var_D8 = qword ptr -0D8h ,data,1
var_E0 = qword ptr -0E0h  | * | var_D0 = byte ptr -0D0h ,data,1
var_D8 = qword ptr -0D8h  | * | var_C8 = qword ptr -0C8h ,data,17
var_D0 = byte ptr -0D0h  | * | var_C0 = qword ptr -0C0h ,data,1
var_C8 = qword ptr -0C8h  | * | var_B8 = qword ptr -0B8h ,data,19
var_C0 = qword ptr -0C0h  | * | var_B0 = qword ptr -0B0h ,data,20
var_B8 = qword ptr -0B8h  | * | var_A8 = qword ptr -0A8h ,data,20
var_B0 = qword ptr -0B0h  | * | var_98 = qword ptr -98h ,data,1
var_A8 = qword ptr -0A8h  | * | var_90 = qword ptr -90h ,data,1
var_98 = qword ptr -98h  | * | var_88 = byte ptr -88h ,data,1
var_90 = qword ptr -90h  | * | var_80 = qword ptr -80h ,data,21
var_88 = byte ptr -88h  | * | var_78 = qword ptr -78h ,data,1
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,15
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,20
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,18
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,18
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,20
var_58 = qword ptr -58h  | * | var_48 = dword ptr -48h ,data,1
var_50 = qword ptr -50h  | * | var_44 = dword ptr -44h ,data,1
var_48 = dword ptr -48h  | * | var_40 = qword ptr -40h ,data,1
var_44 = dword ptr -44h  | * | var_38 = qword ptr -38h ,data,1
var_40 = qword ptr -40h  | * | var_30 = qword ptr -30h ,data,17
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,23
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,18
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,23
push rbp  | * | push r14 ,xcode,1
"mov rbp, rsp  | * | push rbx ",xcode,1
"push r14  | * | sub rsp, 3E0h ",xcode,1
"push rbx  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,1
"sub rsp, 3E0h  | * | lea rsi, [rbp+var_318] ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | mov [rbp+var_314], 0 ",xcode,1
"lea rsi, [rbp+var_318]  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
