idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov dword ptr [ecx], offset ??_7bad_alloc@std@@6B@   | * | sub_401000 endp ",msvc,1
jmp ds:??1exception@std@@UAE@XZ   | * | align 10h ,msvc,1
sub_401000 endp  | * | sub_401010 proc near  ,msvc,1
sub_401010 proc near   | * | push ebp ,msvc,1
push ebp  | * | push esi ,msvc,1
"mov ebp, esp  | * | mov esi, ecx ",msvc,1
"push esi  | * | mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@  ",msvc,1
"mov esi, ecx  | * | call ds:??1exception@std@@UAE@XZ  ",msvc,1
"mov dword ptr [esi], offset ??_7bad_alloc@std@@6B@   | * | test [ebp+arg_0], 1 ",msvc,1
call ds:??1exception@std@@UAE@XZ   | * | jz short loc_401032 ,msvc,1
"test [ebp+arg_0], 1  | * | push esi ",msvc,1
jz short loc_401032  | * | call ds:__imp_??3@YAXPAX@Z  ,msvc,1
"push esi  | * | add esp, 4 ",msvc,1
call ds:__imp_??3@YAXPAX@Z   | * | loc_401032:  ,msvc,1
"add esp, 4  | * | mov eax, esi ",msvc,1
loc_401032:   | * | pop esi ,msvc,1
"mov eax, esi  | * | pop ebp ",msvc,2
pop esi  | * | retn 4 ,msvc,2
pop ebp  | * | sub_401010 endp ,msvc,1
retn 4  | * | align 10h ,msvc,5
sub_401010 endp  | * | _main proc near  ,msvc,1
var_34 = dword ptr -34h  | * | var_2C = dword ptr -2Ch ,data,1
var_30 = dword ptr -30h  | * | var_28 = dword ptr -28h ,data,1
var_2C = dword ptr -2Ch  | * | var_24 = byte ptr -24h ,data,1
var_28 = dword ptr -28h  | * | var_20 = dword ptr -20h ,data,1
var_24 = byte ptr -24h  | * | var_1C = dword ptr -1Ch ,data,1
var_20 = dword ptr -20h  | * | var_18 = dword ptr -18h ,data,1
var_1C = dword ptr -1Ch  | * | var_14 = dword ptr -14h ,data,2
var_18 = dword ptr -18h  | * | var_10 = dword ptr -10h ,data,2
var_14 = dword ptr -14h  | * | var_C = dword ptr -0Ch ,data,2
var_10 = dword ptr -10h  | * | var_8 = byte ptr -8 ,data,1
var_C = dword ptr -0Ch  | * | argc = dword ptr 8 ,data,1
var_8 = byte ptr -8  | * | argv = dword ptr 0Ch ,data,1
argc = dword ptr 8  | * | envp = dword ptr 10h ,data,1
"push ebp  | * | and esp, 0FFFFFFF8h ",msvc,1
"mov ebp, esp  | * | sub esp, 34h ",msvc,1
"and esp, 0FFFFFFF8h  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
"sub esp, 34h  | * | push ebx ",msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push esi ",msvc,1
push ebx  | * | push edi ,msvc,4
"push esi  | * | lea eax, [esp+40h+var_2C] ",msvc,1
push edi  | * | push eax ,msvc,2
"lea eax, [esp+40h+var_2C]  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ",msvc,1
"push eax  | * | mov eax, 1 ",msvc,1
"call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | mov [esp+40h+var_30], eax ",msvc,1
"mov eax, 1  | * | cmp [esp+40h+var_2C], eax ",msvc,1
"mov [esp+40h+var_30], eax  | * | jl loc_401333 ",msvc,1
"cmp [esp+40h+var_2C], eax  | * | loc_401070:  ",msvc,1
jl loc_401333  | * | push offset dword_4053C4 ,msvc,1
loc_401070:   | * | push offset dword_BA65CC ,msvc,1
push offset dword_4053C4  | * | push offset dword_4053C0 ,msvc,1
push offset dword_BA65CC  | * | push offset Format  ,msvc,1
