idiom,label,count
var_10 = dword ptr -10h  | * | var_8 = dword ptr -8 ,data,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,1
"push ebp  | * | mov ecx, dword_404370 ",msvc,1
"mov ebp, esp  | * | sub esp, 14h ",msvc,1
"mov ecx, dword_404370  | * | push ebx ",msvc,1
"sub esp, 14h  | * | push esi ",msvc,2
"push ebx  | * | xor eax, eax ",msvc,1
push esi  | * | push edi ,msvc,1
"xor eax, eax  | * | test ecx, ecx ",msvc,1
push edi  | * | jle loc_401108 ,msvc,1
"test ecx, ecx  | * | lea esp, [esp+0] ",msvc,1
jle loc_401108  | * | loc_401020:  ,msvc,1
"lea esp, [esp+0]  | * | mov dword_404378[eax*4], eax ",msvc,1
loc_401020:   | * | inc eax ,msvc,1
"mov dword_404378[eax*4], eax  | * | cmp eax, ecx ",msvc,1
inc eax  | * | jl short loc_401020 ,msvc,1
"cmp eax, ecx  | * | test ecx, ecx ",msvc,1
jl short loc_401020  | * | jle loc_401108 ,msvc,1
"test ecx, ecx  | * | mov [ebp+var_8], ecx ",msvc,1
jle loc_401108  | * | loc_401037:  ,msvc,1
"mov [ebp+var_8], ecx  | * | xor eax, eax ",msvc,1
"loc_401037:   | * | lea edx, [ecx-1] ",msvc,1
"xor eax, eax  | * | mov [ebp+var_4], eax ",msvc,1
"lea edx, [ecx-1]  | * | test edx, edx ",msvc,1
"mov [ebp+var_4], eax  | * | jle loc_4010FF ",msvc,1
"test edx, edx  | * | jmp short loc_401053 ",msvc,1
jle loc_4010FF  | * | align 10h ,msvc,1
jmp short loc_401053  | * | loc_401050:  ,msvc,1
"align 10h  | * | mov eax, [ebp+var_4] ",msvc,1
loc_401050:   | * | loc_401053:  ,msvc,1
"mov eax, [ebp+var_4]  | * | mov edi, dword_40437C[eax*4] ",msvc,1
"loc_401053:   | * | mov ebx, dword_404378[eax*4] ",msvc,1
"mov edi, dword_40437C[eax*4]  | * | mov esi, dword_4054A8[ebx*4] ",msvc,1
"mov ebx, dword_404378[eax*4]  | * | mov ecx, dword_4054A8[edi*4] ",msvc,1
"mov esi, dword_4054A8[ebx*4]  | * | mov eax, 64h  ",msvc,1
"mov ecx, dword_4054A8[edi*4]  | * | sub eax, dword_4065D8[ebx*4] ",msvc,1
"mov eax, 64h   | * | mov edx, esi ",msvc,1
"sub eax, dword_4065D8[ebx*4]  | * | imul eax, ecx ",msvc,1
"mov edx, esi  | * | imul edx, 64h  ",msvc,1
"imul eax, ecx  | * | imul ecx, 64h  ",msvc,1
"imul edx, 64h   | * | add eax, edx ",msvc,1
"imul ecx, 64h   | * | imul eax, 64h  ",msvc,1
"add eax, edx  | * | cdq ",msvc,1
"imul eax, 64h   | * | mov [ebp+var_10], eax ",msvc,1
"cdq  | * | mov eax, 64h  ",msvc,1
"mov [ebp+var_10], eax  | * | sub eax, dword_4065D8[edi*4] ",msvc,1
"mov eax, 64h   | * | mov [ebp+var_C], edx ",msvc,1
"sub eax, dword_4065D8[edi*4]  | * | imul eax, esi ",msvc,1
"mov [ebp+var_C], edx  | * | add eax, ecx ",msvc,1
"imul eax, esi  | * | mov ecx, [ebp+var_C] ",msvc,1
"add eax, ecx  | * | imul eax, 64h  ",msvc,1
"mov ecx, [ebp+var_C]  | * | cdq ",msvc,1
"imul eax, 64h   | * | cmp ecx, edx ",msvc,1
cdq  | * | jg short loc_4010C2 ,msvc,1
"cmp ecx, edx  | * | jl short loc_4010B5 ",msvc,1
"jg short loc_4010C2  | * | cmp [ebp+var_10], eax ",msvc,1
jl short loc_4010B5  | * | ja short loc_4010C2 ,msvc,1
"cmp [ebp+var_10], eax  | * | loc_4010B5:  ",msvc,1
"ja short loc_4010C2  | * | cmp [ebp+var_10], eax ",msvc,1
loc_4010B5:   | * | jnz short loc_4010E3 ,msvc,1
"cmp [ebp+var_10], eax  | * | cmp ecx, edx ",msvc,1
jnz short loc_4010E3  | * | jnz short loc_4010E3 ,msvc,1
"cmp ecx, edx  | * | cmp ebx, edi ",msvc,1
jnz short loc_4010E3  | * | jle short loc_4010E3 ,msvc,1
"cmp ebx, edi  | * | loc_4010C2:  ",msvc,1
"jle short loc_4010E3  | * | mov eax, [ebp+var_4] ",msvc,1
"loc_4010C2:   | * | mov edx, dword_40437C[eax*4] ",msvc,1
"mov eax, [ebp+var_4]  | * | mov ecx, dword_404378[eax*4] ",msvc,1
"mov edx, dword_40437C[eax*4]  | * | mov dword_404378[eax*4], edx ",msvc,1
"mov ecx, dword_404378[eax*4]  | * | mov dword_40437C[eax*4], ecx ",msvc,1
"mov dword_404378[eax*4], edx  | * | jmp short loc_4010E6 ",msvc,1
"mov dword_40437C[eax*4], ecx  | * | loc_4010E3:  ",msvc,1
"jmp short loc_4010E6  | * | mov eax, [ebp+var_4] ",msvc,1
loc_4010E3:   | * | loc_4010E6:  ,msvc,1
"mov eax, [ebp+var_4]  | * | mov ecx, dword_404370 ",msvc,1
loc_4010E6:   | * | inc eax ,msvc,1
"mov ecx, dword_404370  | * | dec ecx ",msvc,1
"inc eax  | * | mov [ebp+var_4], eax ",msvc,1
"dec ecx  | * | cmp eax, ecx ",msvc,1
"mov [ebp+var_4], eax  | * | jl loc_401050 ",msvc,1
"cmp eax, ecx  | * | mov ecx, dword_404370 ",msvc,1
jl loc_401050  | * | loc_4010FF:  ,msvc,1
"mov ecx, dword_404370  | * | dec [ebp+var_8] ",msvc,1
loc_4010FF:   | * | jnz loc_401037 ,msvc,1
dec [ebp+var_8]  | * | loc_401108:  ,msvc,1
"jnz loc_401037  | * | xor esi, esi ",msvc,1
"loc_401108:   | * | test ecx, ecx ",msvc,1
"xor esi, esi  | * | jle short loc_40113B ",msvc,1
"test ecx, ecx  | * | mov edi, ds:printf ",msvc,1
jle short loc_40113B  | * | jmp short loc_401120 ,msvc,1
"mov edi, ds:printf  | * | align 10h ",msvc,1
jmp short loc_401120  | * | loc_401120:  ,msvc,1
"align 10h  | * | mov eax, dword_404378[esi*4] ",msvc,1
loc_401120:   | * | push eax ,msvc,1
"mov eax, dword_404378[esi*4]  | * | push offset Format  ",msvc,1
push eax  | * | call edi  ,msvc,1
push offset Format   | * | inc esi ,msvc,1
"call edi   | * | add esp, 8 ",msvc,1
"inc esi  | * | cmp esi, dword_404370 ",msvc,1
"add esp, 8  | * | jl short loc_401120 ",msvc,1
"cmp esi, dword_404370  | * | loc_40113B:  ",msvc,1
jl short loc_401120  | * | push offset Str  ,msvc,1
loc_40113B:   | * | call ds:puts ,msvc,1
"push offset Str   | * | add esp, 4 ",msvc,1
call ds:puts  | * | pop edi ,msvc,1
"add esp, 4  | * | pop esi ",msvc,1
pop edi  | * | pop ebx ,msvc,3
"pop esi  | * | mov esp, ebp ",msvc,3
pop ebx  | * | pop ebp ,msvc,4
"mov esp, ebp  | * | retn ",msvc,4
pop ebp  | * | sub_401000 endp ,msvc,1
