idiom,label,count
"cmp eax, [rbp+var_8]  | * | mov [rbp+var_1A], cl ",xcode,1
setnle cl  | * | loc_1000007DB:  ,xcode,1
"mov [rbp+var_1A], cl  | * | mov al, [rbp+var_1A] ",xcode,1
"loc_1000007DB:   | * | mov [rbp+var_19], al ",xcode,1
"mov al, [rbp+var_1A]  | * | loc_1000007E1:  ",xcode,1
"mov [rbp+var_19], al  | * | mov al, [rbp+var_19] ",xcode,1
"loc_1000007E1:   | * | and al, 1 ",xcode,1
"mov al, [rbp+var_19]  | * | movzx eax, al ",xcode,1
"and al, 1  | * | pop rbp ",xcode,1
"movzx eax, al  | * | retn ",xcode,1
pop rbp  | * | __Z3cmpii endp ,xcode,1
__Z3cmpii endp  | * | public __Z5solvev ,xcode,1
align 10h  | * | __Z5solvev proc near  ,xcode,1
var_44 = dword ptr -44h  | * | var_3C = dword ptr -3Ch ,data,1
var_40 = dword ptr -40h  | * | var_38 = dword ptr -38h ,data,1
var_3C = dword ptr -3Ch  | * | var_34 = dword ptr -34h ,data,1
var_38 = dword ptr -38h  | * | var_30 = dword ptr -30h ,data,1
var_34 = dword ptr -34h  | * | var_2C = dword ptr -2Ch ,data,1
var_30 = dword ptr -30h  | * | var_28 = qword ptr -28h ,data,1
var_2C = dword ptr -2Ch  | * | var_20 = qword ptr -20h ,data,1
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,2
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,5
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,4
"push rbp  | * | sub rsp, 50h ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_30], 0 ",xcode,1
"sub rsp, 50h  | * | loc_1000007FF:  ",xcode,1
"mov [rbp+var_30], 0  | * | mov eax, [rbp+var_30] ",xcode,1
"loc_1000007FF:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_30]  | * | jge loc_10000082F ",xcode,1
"cmp eax, cs:_n  | * | lea rax, _a ",xcode,1
"jge loc_10000082F  | * | mov ecx, [rbp+var_30] ",xcode,1
"lea rax, _a  | * | movsxd rdx, [rbp+var_30] ",xcode,1
"mov ecx, [rbp+var_30]  | * | mov [rax+rdx*4], ecx ",xcode,1
"movsxd rdx, [rbp+var_30]  | * | mov eax, [rbp+var_30] ",xcode,1
"mov [rax+rdx*4], ecx  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_30]  | * | mov [rbp+var_30], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000007FF ",xcode,1
"mov [rbp+var_30], eax  | * | loc_10000082F:  ",xcode,1
"jmp loc_1000007FF  | * | mov [rbp+var_34], 0 ",xcode,1
loc_10000082F:   | * | loc_100000836:  ,xcode,1
"mov [rbp+var_34], 0  | * | mov eax, [rbp+var_34] ",xcode,1
"loc_100000836:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_34]  | * | jge loc_100000925 ",xcode,1
"cmp eax, cs:_n  | * | mov [rbp+var_38], 0 ",xcode,1
jge loc_100000925  | * | loc_10000084C:  ,xcode,1
"mov [rbp+var_38], 0  | * | mov eax, [rbp+var_38] ",xcode,1
"loc_10000084C:   | * | mov ecx, cs:_n ",xcode,1
"mov eax, [rbp+var_38]  | * | sub ecx, 1 ",xcode,1
"mov ecx, cs:_n  | * | cmp eax, ecx ",xcode,1
"sub ecx, 1  | * | jge loc_100000910 ",xcode,1
"cmp eax, ecx  | * | lea rax, _a ",xcode,1
"jge loc_100000910  | * | movsxd rcx, [rbp+var_38] ",xcode,1
"lea rax, _a  | * | mov edi, [rax+rcx*4]  ",xcode,1
"movsxd rcx, [rbp+var_38]  | * | mov edx, [rbp+var_38] ",xcode,1
"mov edi, [rax+rcx*4]   | * | add edx, 1 ",xcode,1
"mov edx, [rbp+var_38]  | * | movsxd rcx, edx ",xcode,1
"add edx, 1  | * | mov esi, [rax+rcx*4]  ",xcode,1
"movsxd rcx, edx  | * | call __Z3cmpii  ",xcode,1
"mov esi, [rax+rcx*4]   | * | test al, 1 ",xcode,1
call __Z3cmpii   | * | jnz loc_100000892 ,xcode,1
"test al, 1  | * | jmp loc_1000008FB ",xcode,1
jnz loc_100000892  | * | loc_100000892:  ,xcode,1
"jmp loc_1000008FB  | * | lea rax, [rbp+var_2C] ",xcode,1
"loc_100000892:   | * | lea rcx, _a ",xcode,1
"lea rax, [rbp+var_2C]  | * | movsxd rdx, [rbp+var_38] ",xcode,1
"lea rcx, _a  | * | shl rdx, 2 ",xcode,1
"movsxd rdx, [rbp+var_38]  | * | mov rsi, rcx ",xcode,1
"shl rdx, 2  | * | add rsi, rdx ",xcode,1
"mov rsi, rcx  | * | mov edi, [rbp+var_38] ",xcode,1
"add rsi, rdx  | * | add edi, 1 ",xcode,1
"mov edi, [rbp+var_38]  | * | movsxd rdx, edi ",xcode,1
"add edi, 1  | * | shl rdx, 2 ",xcode,1
"movsxd rdx, edi  | * | add rcx, rdx ",xcode,1
"shl rdx, 2  | * | mov [rbp+var_20], rsi ",xcode,1
"add rcx, rdx  | * | mov [rbp+var_28], rcx ",xcode,1
"mov [rbp+var_20], rsi  | * | mov rcx, [rbp+var_20] ",xcode,1
"mov [rbp+var_28], rcx  | * | mov [rbp+var_18], rcx ",xcode,1
