idiom,label,count
"mov [rbp+var_1BC], 1  | * | loc_1000009D9:  ",xcode,1
"mov [rbp+var_200], rax  | * | mov eax, [rbp+var_1BC] ",xcode,1
"loc_1000009D9:   | * | cmp eax, [rbp+var_1B8] ",xcode,1
"mov eax, [rbp+var_1BC]  | * | jg loc_100001159 ",xcode,1
"cmp eax, [rbp+var_1B8]  | * | lea rdi, aDDD  ",xcode,1
"jg loc_100001159  | * | lea rsi, _n ",xcode,1
"lea rdi, aDDD   | * | lea rdx, _w ",xcode,1
"lea rsi, _n  | * | lea rcx, _h ",xcode,1
"lea rdx, _w  | * | mov al, 0 ",xcode,1
"lea rcx, _h  | * | call _scanf ",xcode,1
"mov al, 0  | * | mov [rbp+var_1C0], 0 ",xcode,1
"call _scanf  | * | mov [rbp+var_204], eax ",xcode,1
"mov [rbp+var_1C0], 0  | * | loc_100000A1E:  ",xcode,1
"mov [rbp+var_204], eax  | * | mov eax, [rbp+var_1C0] ",xcode,1
"loc_100000A1E:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_1C0]  | * | jge loc_100000A8A ",xcode,1
"cmp eax, cs:_n  | * | lea rdi, aD  ",xcode,1
"jge loc_100000A8A  | * | lea rax, _v ",xcode,1
"lea rdi, aD   | * | movsxd rcx, [rbp+var_1C0] ",xcode,1
"lea rax, _v  | * | shl rcx, 3 ",xcode,3
"movsxd rcx, [rbp+var_1C0]  | * | add rax, rcx ",xcode,1
"shl rcx, 3  | * | mov rsi, rax ",xcode,1
"add rax, rcx  | * | mov al, 0 ",xcode,1
"mov rsi, rax  | * | call _scanf ",xcode,1
"mov al, 0  | * | lea rcx, _v ",xcode,1
"call _scanf  | * | mov edx, [rbp+var_1C0] ",xcode,1
"lea rcx, _v  | * | movsxd rsi, [rbp+var_1C0] ",xcode,1
"mov edx, [rbp+var_1C0]  | * | mov [rcx+rsi*8+4], edx ",xcode,1
"movsxd rsi, [rbp+var_1C0]  | * | mov [rbp+var_208], eax ",xcode,1
"mov [rcx+rsi*8+4], edx  | * | mov eax, [rbp+var_1C0] ",xcode,1
"mov [rbp+var_208], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_1C0]  | * | mov [rbp+var_1C0], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000A1E ",xcode,1
"mov [rbp+var_1C0], eax  | * | loc_100000A8A:  ",xcode,1
"jmp loc_100000A1E  | * | lea rdx, [rbp+var_198] ",xcode,1
"loc_100000A8A:   | * | lea rax, _v ",xcode,1
"lea rdx, [rbp+var_198]  | * | movsxd rcx, cs:_n ",xcode,1
"movsxd rcx, cs:_n  | * | mov rsi, rax ",xcode,1
"shl rcx, 3  | * | add rsi, rcx ",xcode,1
"mov rsi, rax  | * | mov [rbp+var_1A0], rax ",xcode,1
"add rsi, rcx  | * | mov [rbp+var_1A8], rsi ",xcode,1
"mov [rbp+var_1A0], rax  | * | mov rax, [rbp+var_1A0] ",xcode,1
"mov [rbp+var_1A8], rsi  | * | mov rcx, [rbp+var_1A8] ",xcode,1
"mov rax, [rbp+var_1A0]  | * | mov [rbp+var_188], rax ",xcode,1
"mov rcx, [rbp+var_1A8]  | * | mov [rbp+var_190], rcx ",xcode,1
"mov [rbp+var_188], rax  | * | mov rdi, [rbp+var_188] ",xcode,1
"mov [rbp+var_190], rcx  | * | mov rsi, [rbp+var_190] ",xcode,1
"mov rdi, [rbp+var_188]  | * | call j___ZNSt3__16__sortIRNS_6__lessINS_4pairIiiEES3_EEPS3_EEvT0_S7_T_  ",xcode,1
"mov rsi, [rbp+var_190]  | * | lea rax, _v ",xcode,1
"call j___ZNSt3__16__sortIRNS_6__lessINS_4pairIiiEES3_EEPS3_EEvT0_S7_T_   | * | movsxd rcx, cs:_n ",xcode,1
"movsxd rcx, cs:_n  | * | mov rdx, rax ",xcode,1
"shl rcx, 3  | * | add rdx, rcx ",xcode,1
"mov rdx, rax  | * | mov [rbp+var_170], rax ",xcode,1
"add rdx, rcx  | * | mov [rbp+var_178], rdx ",xcode,1
"mov [rbp+var_170], rax  | * | mov rax, [rbp+var_170] ",xcode,1
"mov [rbp+var_178], rdx  | * | mov rcx, [rbp+var_178] ",xcode,1
"mov rax, [rbp+var_170]  | * | mov [rbp+var_158], rax ",xcode,1
"mov rcx, [rbp+var_178]  | * | mov [rbp+var_160], rcx ",xcode,1
"mov [rbp+var_158], rax  | * | mov rax, [rbp+var_158] ",xcode,1
"mov [rbp+var_160], rcx  | * | cmp rax, [rbp+var_160] ",xcode,1
"mov rax, [rbp+var_158]  | * | jz loc_100000CF9 ",xcode,1
"cmp rax, [rbp+var_160]  | * | jmp $+5 ",xcode,1
jz loc_100000CF9  | * | loc_100000B41:  ,xcode,1
"jmp $+5  | * | mov rax, [rbp+var_158] ",xcode,1
"loc_100000B41:   | * | mov rcx, [rbp+var_160] ",xcode,1
"mov rax, [rbp+var_158]  | * | add rcx, 0FFFFFFFFFFFFFFF8h ",xcode,1
"mov rcx, [rbp+var_160]  | * | mov [rbp+var_160], rcx ",xcode,1
"add rcx, 0FFFFFFFFFFFFFFF8h  | * | cmp rax, rcx ",xcode,2
"mov [rbp+var_160], rcx  | * | jnb loc_100000CF4 ",xcode,1
"cmp rax, rcx  | * | lea rax, [rbp+var_DC] ",xcode,1
"jnb loc_100000CF4  | * | lea rcx, [rbp+var_11C] ",xcode,1
"lea rax, [rbp+var_DC]  | * | mov rdx, [rbp+var_158] ",xcode,1
"lea rcx, [rbp+var_11C]  | * | mov rsi, [rbp+var_160] ",xcode,1
"mov rdx, [rbp+var_158]  | * | mov [rbp+var_148], rdx ",xcode,1
"mov rsi, [rbp+var_160]  | * | mov [rbp+var_150], rsi ",xcode,3
"mov [rbp+var_148], rdx  | * | mov rdx, [rbp+var_148] ",xcode,1
"mov [rbp+var_150], rsi  | * | mov rsi, [rbp+var_150] ",xcode,5
"mov rdx, [rbp+var_148]  | * | mov [rbp+var_138], rdx ",xcode,1
"mov rsi, [rbp+var_150]  | * | mov [rbp+var_140], rsi ",xcode,3
"mov [rbp+var_138], rdx  | * | mov rdx, [rbp+var_138] ",xcode,1
"mov [rbp+var_140], rsi  | * | mov rsi, [rbp+var_140] ",xcode,1
"mov rdx, [rbp+var_138]  | * | mov [rbp+var_128], rdx ",xcode,1
"mov rsi, [rbp+var_140]  | * | mov [rbp+var_130], rsi ",xcode,1
"mov [rbp+var_128], rdx  | * | mov rsi, [rbp+var_128] ",xcode,1
"mov [rbp+var_130], rsi  | * | mov rdi, [rbp+var_130] ",xcode,1
"mov rsi, [rbp+var_128]  | * | mov [rbp+var_110], rsi ",xcode,1
"mov rdi, [rbp+var_130]  | * | mov [rbp+var_118], rdi ",xcode,1
"mov [rbp+var_110], rsi  | * | mov rsi, [rbp+var_110] ",xcode,1
"mov [rbp+var_118], rdi  | * | mov [rbp+var_108], rsi ",xcode,1
"mov rsi, [rbp+var_110]  | * | mov rsi, [rbp+var_108] ",xcode,1
"mov [rbp+var_108], rsi  | * | mov r8d, [rsi] ",xcode,1
"mov rsi, [rbp+var_108]  | * | mov [rbp+var_11C], r8d ",xcode,1
"mov r8d, [rsi]  | * | mov rsi, [rbp+var_118] ",xcode,1
"mov [rbp+var_11C], r8d  | * | mov [rbp+var_F8], rsi ",xcode,1
"mov rsi, [rbp+var_118]  | * | mov rsi, [rbp+var_F8] ",xcode,1
"mov [rbp+var_F8], rsi  | * | mov r8d, [rsi] ",xcode,1
"mov rsi, [rbp+var_F8]  | * | mov rsi, [rbp+var_110] ",xcode,1
"mov r8d, [rsi]  | * | mov [rsi], r8d ",xcode,13
"mov rsi, [rbp+var_110]  | * | mov [rbp+var_100], rcx ",xcode,1
"mov [rsi], r8d  | * | mov rcx, [rbp+var_100] ",xcode,1
"mov [rbp+var_100], rcx  | * | mov r8d, [rcx] ",xcode,1
"mov rcx, [rbp+var_100]  | * | mov rcx, [rbp+var_118] ",xcode,1
"mov r8d, [rcx]  | * | mov [rcx], r8d ",xcode,26
"mov rcx, [rbp+var_118]  | * | add rdx, 4 ",xcode,1
"mov [rcx], r8d  | * | mov rcx, [rbp+var_140] ",xcode,1
"add rdx, 4  | * | add rcx, 4 ",xcode,13
"mov rcx, [rbp+var_140]  | * | mov [rbp+var_E8], rdx ",xcode,1
"add rcx, 4  | * | mov [rbp+var_F0], rcx ",xcode,1
"mov [rbp+var_E8], rdx  | * | mov rcx, [rbp+var_E8] ",xcode,3
"mov [rbp+var_F0], rcx  | * | mov rdx, [rbp+var_F0] ",xcode,1
"mov rcx, [rbp+var_E8]  | * | mov [rbp+var_D0], rcx ",xcode,3
"mov rdx, [rbp+var_F0]  | * | mov [rbp+var_D8], rdx ",xcode,3
"mov [rbp+var_D0], rcx  | * | mov rcx, [rbp+var_D0] ",xcode,4
"mov [rbp+var_D8], rdx  | * | mov [rbp+var_C8], rcx ",xcode,1
"mov rcx, [rbp+var_D0]  | * | mov rcx, [rbp+var_C8] ",xcode,1
"mov [rbp+var_C8], rcx  | * | mov r8d, [rcx] ",xcode,1
"mov rcx, [rbp+var_C8]  | * | mov [rbp+var_DC], r8d ",xcode,1
"mov r8d, [rcx]  | * | mov rcx, [rbp+var_D8] ",xcode,1
"mov [rbp+var_DC], r8d  | * | mov [rbp+var_B8], rcx ",xcode,1
"mov rcx, [rbp+var_D8]  | * | mov rcx, [rbp+var_B8] ",xcode,1
"mov [rbp+var_B8], rcx  | * | mov r8d, [rcx] ",xcode,1
"mov rcx, [rbp+var_B8]  | * | mov rcx, [rbp+var_D0] ",xcode,1
"mov rcx, [rbp+var_D0]  | * | mov [rbp+var_C0], rax ",xcode,1
"mov [rcx], r8d  | * | mov rax, [rbp+var_C0] ",xcode,1
"mov [rbp+var_C0], rax  | * | mov r8d, [rax] ",xcode,1
"mov rax, [rbp+var_C0]  | * | mov rax, [rbp+var_D8] ",xcode,1
"mov r8d, [rax]  | * | mov [rax], r8d ",xcode,13
"mov rax, [rbp+var_D8]  | * | mov rax, [rbp+var_158] ",xcode,1
"mov [rax], r8d  | * | add rax, 8 ",xcode,1
"mov rax, [rbp+var_158]  | * | mov [rbp+var_158], rax ",xcode,1
"add rax, 8  | * | jmp loc_100000B41 ",xcode,1
"mov [rbp+var_158], rax  | * | loc_100000CF4:  ",xcode,1
jmp loc_100000B41  | * | jmp $+5 ,xcode,1
loc_100000CF4:   | * | loc_100000CF9:  ,xcode,1
"jmp $+5  | * | mov [rbp+var_1C4], 1 ",xcode,1
"loc_100000CF9:   | * | mov cs:_x, 88CA6C00h ",xcode,1
"mov [rbp+var_1C4], 1  | * | mov cs:_y8687969, 88CA6C00h ",xcode,1
"mov cs:_x, 88CA6C00h  | * | mov cs:_y2, 77359400h ",xcode,1
"mov cs:_y8687969, 88CA6C00h  | * | mov [rbp+var_1C8], 0 ",xcode,1
"mov cs:_y2, 77359400h  | * | loc_100000D2B:  ",xcode,1
"mov [rbp+var_1C8], 0  | * | mov eax, [rbp+var_1C8] ",xcode,1
"loc_100000D2B:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_1C8]  | * | jge loc_100001074 ",xcode,1
"cmp eax, cs:_n  | * | lea rax, _v ",xcode,1
"jge loc_100001074  | * | movsxd rcx, [rbp+var_1C8] ",xcode,1
"lea rax, _v  | * | mov edx, [rax+rcx*8] ",xcode,1
"movsxd rcx, [rbp+var_1C8]  | * | mov [rbp+var_1CC], edx ",xcode,1
"mov edx, [rax+rcx*8]  | * | movsxd rcx, [rbp+var_1C8] ",xcode,1
"mov [rbp+var_1CC], edx  | * | mov edx, [rax+rcx*8+4] ",xcode,1
"movsxd rcx, [rbp+var_1C8]  | * | mov [rbp+var_1D0], edx ",xcode,1
"mov edx, [rax+rcx*8+4]  | * | mov [rbp+var_1D4], 0 ",xcode,1
"mov [rbp+var_1D0], edx  | * | mov [rbp+var_1D8], 0 ",xcode,1
"mov [rbp+var_1D4], 0  | * | loc_100000D79:  ",xcode,1
"mov [rbp+var_1D8], 0  | * | mov eax, [rbp+var_1D8] ",xcode,1
"loc_100000D79:   | * | cmp eax, [rbp+var_1C4] ",xcode,1
"mov eax, [rbp+var_1D8]  | * | jge loc_100001019 ",xcode,1
"cmp eax, [rbp+var_1C4]  | * | lea rax, [rbp+var_88] ",xcode,1
"jge loc_100001019  | * | lea rcx, [rbp+var_1E4] ",xcode,1
"lea rax, [rbp+var_88]  | * | lea rdx, [rbp+var_1E0] ",xcode,1
"lea rcx, [rbp+var_1E4]  | * | lea rsi, _x ",xcode,1
"lea rdx, [rbp+var_1E0]  | * | mov [rbp+var_1E0], 0 ",xcode,1
"lea rsi, _x  | * | movsxd rdi, [rbp+var_1D8] ",xcode,1
"mov [rbp+var_1E0], 0  | * | mov r8d, [rsi+rdi*4] ",xcode,1
"movsxd rdi, [rbp+var_1D8]  | * | add r8d, [rbp+var_1CC] ",xcode,1
"mov r8d, [rsi+rdi*4]  | * | mov [rbp+var_1E4], r8d ",xcode,1
"add r8d, [rbp+var_1CC]  | * | mov [rbp+var_90], rdx ",xcode,1
"mov [rbp+var_1E4], r8d  | * | mov [rbp+var_98], rcx ",xcode,1
"mov [rbp+var_90], rdx  | * | mov rcx, [rbp+var_90] ",xcode,1
"mov [rbp+var_98], rcx  | * | mov rdx, [rbp+var_98] ",xcode,1
"mov rcx, [rbp+var_90]  | * | mov [rbp+var_78], rcx ",xcode,1
"mov rdx, [rbp+var_98]  | * | mov [rbp+var_80], rdx ",xcode,1
"mov [rbp+var_78], rcx  | * | mov rcx, [rbp+var_78] ",xcode,1
"mov [rbp+var_80], rdx  | * | mov rdx, [rbp+var_80] ",xcode,1
"mov rcx, [rbp+var_78]  | * | mov [rbp+var_60], rax ",xcode,1
"mov rdx, [rbp+var_80]  | * | mov [rbp+var_68], rcx ",xcode,1
"mov [rbp+var_60], rax  | * | mov [rbp+var_70], rdx ",xcode,1
"mov [rbp+var_68], rcx  | * | mov rax, [rbp+var_68] ",xcode,1
"mov [rbp+var_70], rdx  | * | mov r8d, [rax] ",xcode,1
"mov rax, [rbp+var_68]  | * | mov rax, [rbp+var_70] ",xcode,1
"mov r8d, [rax]  | * | cmp r8d, [rax] ",xcode,2
"mov rax, [rbp+var_70]  | * | jge loc_100000E26 ",xcode,1
"cmp r8d, [rax]  | * | mov rax, [rbp+var_80] ",xcode,1
