idiom,label,count
"mov [rbp+var_50], rcx  | * | movzx esi, byte ptr [rcx] ",xcode,1
"mov rcx, [rbp+var_50]  | * | and esi, 1 ",xcode,1
"movzx esi, byte ptr [rcx]  | * | cmp esi, 0 ",xcode,1
"and esi, 1  | * | mov [rbp+var_B0], rax ",xcode,1
"cmp esi, 0  | * | jz loc_100000D7E ",xcode,1
"mov [rbp+var_B0], rax  | * | mov rax, [rbp+var_B0] ",xcode,1
"jz loc_100000D7E  | * | mov [rbp+var_20], rax ",xcode,1
"mov rax, [rbp+var_B0]  | * | mov rcx, [rbp+var_20] ",xcode,1
"mov [rbp+var_20], rax  | * | mov [rbp+var_18], rcx ",xcode,1
"mov rcx, [rbp+var_20]  | * | mov rcx, [rbp+var_18] ",xcode,2
"mov [rbp+var_18], rcx  | * | mov [rbp+var_10], rcx ",xcode,2
"mov rcx, [rbp+var_18]  | * | mov rcx, [rbp+var_10] ",xcode,1
"mov [rbp+var_10], rcx  | * | mov rcx, [rcx+10h] ",xcode,1
"mov rcx, [rbp+var_10]  | * | mov [rbp+var_B8], rcx ",xcode,1
"mov rcx, [rcx+10h]  | * | jmp loc_100000DBB ",xcode,1
"mov [rbp+var_B8], rcx  | * | loc_100000D7E:  ",xcode,1
"jmp loc_100000DBB  | * | mov rax, [rbp+var_B0] ",xcode,1
"loc_100000D7E:   | * | mov [rbp+var_48], rax ",xcode,1
"mov rax, [rbp+var_B0]  | * | mov rcx, [rbp+var_48] ",xcode,1
"mov [rbp+var_48], rax  | * | mov [rbp+var_40], rcx ",xcode,1
"mov rcx, [rbp+var_48]  | * | mov rcx, [rbp+var_40] ",xcode,1
"mov [rbp+var_40], rcx  | * | mov [rbp+var_38], rcx ",xcode,1
"mov rcx, [rbp+var_40]  | * | mov rcx, [rbp+var_38] ",xcode,1
"mov [rbp+var_38], rcx  | * | add rcx, 1 ",xcode,1
"mov rcx, [rbp+var_38]  | * | mov [rbp+var_30], rcx ",xcode,1
"add rcx, 1  | * | mov rcx, [rbp+var_30] ",xcode,1
"mov [rbp+var_30], rcx  | * | mov [rbp+var_28], rcx ",xcode,1
"mov rcx, [rbp+var_30]  | * | mov rcx, [rbp+var_28] ",xcode,1
"mov [rbp+var_28], rcx  | * | mov [rbp+var_B8], rcx ",xcode,1
"mov rcx, [rbp+var_28]  | * | loc_100000DBB:  ",xcode,1
"mov [rbp+var_B8], rcx  | * | mov rax, [rbp+var_B8] ",xcode,1
"loc_100000DBB:   | * | lea rdi, aC  ",xcode,1
"mov rax, [rbp+var_B8]  | * | mov [rbp+var_8], rax ",xcode,1
"lea rdi, aC   | * | mov rax, [rbp+var_8] ",xcode,1
"mov [rbp+var_8], rax  | * | mov rcx, [rbp+var_80] ",xcode,1
"mov rax, [rbp+var_8]  | * | movsx esi, byte ptr [rax+rcx] ",xcode,1
"mov rcx, [rbp+var_80]  | * | mov al, 0 ",xcode,1
"movsx esi, byte ptr [rax+rcx]  | * | call _printf ",xcode,1
"mov al, 0  | * | mov [rbp+var_BC], eax ",xcode,1
call _printf  | * | loc_100000DE6:  ,xcode,1
"mov [rbp+var_BC], eax  | * | jmp $+5 ",xcode,1
loc_100000DE6:   | * | loc_100000DEB:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_8C] ",xcode,1
"loc_100000DEB:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_8C]  | * | mov [rbp+var_8C], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000C8E ",xcode,1
"mov [rbp+var_8C], eax  | * | loc_100000E01:  ",xcode,1
"jmp loc_100000C8E  | * | lea rdi, asc_100000F9A  ",xcode,1
"loc_100000E01:   | * | mov al, 0 ",xcode,1
"lea rdi, asc_100000F9A   | * | call _printf ",xcode,1
"mov al, 0  | * | mov [rbp+var_C0], eax ",xcode,1
"call _printf  | * | mov eax, [rbp+var_88] ",xcode,1
"mov [rbp+var_C0], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_88]  | * | mov [rbp+var_88], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000C3D ",xcode,1
"mov [rbp+var_88], eax  | * | loc_100000E2B:  ",xcode,1
"jmp loc_100000C3D  | * | mov eax, 0 ",xcode,1
"loc_100000E2B:   | * | add rsp, 0C0h ",xcode,1
"mov eax, 0  | * | pop rbp ",xcode,1
"add rsp, 0C0h  | * | retn ",xcode,1
pop rbp  | * | _main endp ,xcode,1
retn  | * | align 20h ,xcode,1
_main endp  | * | ___cxx_global_var_init proc near  ,xcode,1
var_5C = dword ptr -5Ch  | * | var_50 = qword ptr -50h ,data,1
"push rbp  | * | sub rsp, 60h ",xcode,1
"mov rbp, rsp  | * | lea rax, aYhesocvxduiglb  ",xcode,1
"sub rsp, 60h  | * | lea rcx, __ZL3res  ",xcode,1
"lea rax, aYhesocvxduiglb   | * | mov [rbp+var_40], rcx ",xcode,1
"lea rcx, __ZL3res   | * | mov [rbp+var_48], rax ",xcode,1
"mov [rbp+var_40], rcx  | * | mov rax, [rbp+var_40] ",xcode,1
"mov [rbp+var_48], rax  | * | mov rcx, [rbp+var_48] ",xcode,1
"mov rax, [rbp+var_40]  | * | mov [rbp+var_30], rax ",xcode,1
"mov rcx, [rbp+var_48]  | * | mov [rbp+var_38], rcx ",xcode,1
"mov [rbp+var_30], rax  | * | mov rax, [rbp+var_30] ",xcode,1
"mov [rbp+var_38], rcx  | * | mov [rbp+var_28], rax ",xcode,1
"mov rax, [rbp+var_30]  | * | mov rcx, [rbp+var_28] ",xcode,1
"mov [rbp+var_28], rax  | * | mov [rbp+var_20], rcx ",xcode,1
"mov rcx, [rbp+var_28]  | * | mov rcx, [rbp+var_20] ",xcode,1
"mov [rbp+var_20], rcx  | * | mov [rbp+var_18], rcx ",xcode,1
"mov rcx, [rbp+var_18]  | * | mov rsi, [rbp+var_38] ",xcode,1
"mov [rbp+var_10], rcx  | * | mov rcx, [rbp+var_38] ",xcode,1
"mov rsi, [rbp+var_38]  | * | mov [rbp+var_8], rcx ",xcode,1
"mov rcx, [rbp+var_38]  | * | mov rdi, [rbp+var_8]  ",xcode,1
"mov [rbp+var_8], rcx  | * | mov [rbp+var_50], rax ",xcode,1
"mov rdi, [rbp+var_8]   | * | mov [rbp+var_58], rsi ",xcode,1
"mov [rbp+var_50], rax  | * | call _strlen ",xcode,1
